Fecha,dias,ndvi,Temperature,Dia_x,Reconstruida_x,Ajustados_x,SRF,Dia_y,Reconstruida_y,Ajustados_y,Precipitation,acum,Evapotranspiration,Dia,Reconstruida,Ajustados,acum_ref,acum_ajustados,RH12,holtwinters_predicts
2022-07-07,68.0,0.4805975423,302.81155,919,303.29045756964024,304.0284604799556,25359154.0,919,27038328.62182009,25316940.778043557,1.42,157.93999999999994,5.9127088,919,6.575442723341563,6.342832005143867,426.89585889999995,429.7036795424816,52.664307,60.6935319876216
2022-07-08,69.0,0.48487343580000003,303.32715,920,303.7147010079351,304.02960934612986,26531290.0,920,27698600.104202643,25295359.283226974,1.0,158.93999999999994,6.440335,920,6.879502743637595,6.332933015584546,433.33619389999996,436.03661255806617,53.2206,45.53829319990293
2022-07-09,70.0,0.48911813930000003,303.84756,921,303.973560446643,304.02929593649725,27209682.0,921,27834875.14453217,25272146.174937565,0.4,159.33999999999995,6.6819143,921,7.022254048591216,6.322592481927892,440.0181082,442.35920503999404,44.63862,52.4172967979532
2022-07-10,71.0,0.4933316528,304.72406,922,303.9734270940033,304.0275203421781,28086468.0,922,27385976.11817912,25247308.39039872,0.06,159.39999999999995,7.1872225,922,6.959437941711325,6.311813434778264,447.2053307,448.6710184747723,45.417698,42.73873804761791
2022-07-11,72.0,0.49751397630000005,304.38232,923,303.690599969096,304.0242830794064,27700116.0,923,26463050.65736654,25220853.352367356,0.68,160.07999999999996,7.3379626,923,6.706400889080588,6.300599033259589,454.5432933,454.9716175080319,43.41445,42.38324225459655
2022-07-12,73.0,0.5016651098,303.95547,924,303.18431811120763,304.01958508937946,25971374.0,924,25317598.15458703,25192788.966915604,2.3,162.37999999999997,6.6945605,924,6.334457847018216,6.288952564089484,461.23785380000004,461.26057007212137,52.774494,41.127205790373374
2022-07-13,74.0,0.5057850533,302.19077,925,302.5841917068617,304.0134277379845,25950306.0,925,24266461.286325198,25163123.62106812,7.62,169.99999999999997,6.4595313,925,5.949865937716918,6.276877440615982,467.6973851,467.53744751273734,52.037216,49.21480769776474
2022-07-14,75.0,0.5098738068,300.8076,926,302.05456902231026,304.0058128154016,23668762.0,926,23597008.966972165,25131866.1802956,4.98,174.97999999999996,5.5053353,926,5.661910738156584,6.264377201817153,473.20272040000003,473.80182471455447,55.52088,50.84235782085209
2022-07-15,76.0,0.5139313703,300.9932,927,301.7459910154594,303.996742535583,18392178.0,927,23481862.06385468,25099025.98586534,4.15,179.12999999999997,4.0692563,927,5.550069349661141,6.251455511263896,477.27197670000004,480.05328022581836,56.457726,53.99504304538836
2022-07-16,77.0,0.5179577438,301.73013,928,301.74855565751045,303.9862195356096,24014542.0,928,23929336.245243143,25064612.852049623,1.63,180.75999999999996,5.6089606,928,5.640472528265591,6.2381161560462255,482.8809373,486.29139638186456,50.48773,54.63584313554034
2022-07-17,78.0,0.5219529273000001,302.2546,929,302.0620554815566,303.9742468749242,26301258.0,929,24784356.24573291,25028637.063192707,1.83,182.58999999999997,6.009512,929,5.898874638231689,6.224363045663342,488.8904493,492.5157594275279,48.058807,52.19195433614994
2022-07-18,79.0,0.5259169208000001,303.06924,930,302.59294973020417,303.960828034442,26532140.0,930,25778634.679760445,24991109.37063737,0.95,183.53999999999996,6.482055,930,6.242055864854283,6.210200210877839,495.3725043,498.7259596384057,49.894646,50.743963302083976
2022-07-19,80.0,0.5298497243,304.20206,931,303.1799792231784,303.9459669155383,27255848.0,931,26613543.93931125,24952040.98951188,0.0,183.53999999999996,7.073051,931,6.563758031211614,6.195631802534372,502.4455553,504.92159144094006,49.66574,48.70927426594596
2022-07-20,81.0,0.5337513378000001,304.21097,932,303.6411254454829,303.9296678389149,27858174.0,932,27049244.887786098,24911443.59537833,0.12,183.65999999999997,7.215248,932,6.7667801178750935,6.180662090343122,509.6608033,511.10225353128317,49.673496,49.19285959287634
2022-07-21,82.0,0.5376217613000001,304.0652,933,303.8276290238248,303.91193554334336,27567622.0,933,26972352.846880723,24869329.320743456,0.1,183.75999999999996,7.109631,933,6.791151498171019,6.16529546162843,516.7704343,517.2675489929115,49.30931,49.102285375102845
2022-07-22,83.0,0.5414609948000001,302.63043,934,303.6682768057088,303.8927751842872,24132176.0,934,26421993.87011481,24825710.751432814,3.07,186.82999999999996,5.7589974,934,6.629852296405122,6.149536420042965,522.5294317,523.4170854129545,53.646988,51.62821913922025
2022-07-23,84.0,0.5452690383000001,301.77313,935,303.1900716532497,303.8721923324032,25606160.0,935,25567933.685410783,24780600.92282949,4.21,191.03999999999996,6.015982,935,6.3277800169477,6.133389584247781,528.5454137,529.5504749972023,51.419514,50.4318996917743
2022-07-24,85.0,0.5490458918,302.1959,936,302.50885991643736,303.850192971922,24429592.0,936,24649950.663592447,24734013.31597853,3.06,194.09999999999997,5.7835116,936,5.965126438904776,6.1168596865587,534.3289253,535.6673346837609,52.19859,50.74647270043035
2022-07-25,86.0,0.5527915553,301.88513,937,301.79311074233505,303.82678349890773,22457854.0,937,23899701.038498458,24685961.85355812,3.12,197.21999999999997,5.369194,937,5.631216894346364,6.099951571559334,539.6981193,541.7672862553203,50.931606,51.335786372394885
2022-07-26,87.0,0.5565060288,302.54364,938,301.21265496669304,303.8019707193991,25791102.0,938,23471113.682712138,24636460.89571878,0.93,198.14999999999998,6.1251,938,5.397601641983891,6.082670194681272,545.8232193,547.8499564500016,47.3457,55.56620844938536
2022-07-27,88.0,0.5601893123,301.2739,939,300.88892710704204,303.7757618474299,23224696.0,939,23401438.745192952,24585525.23579188,6.55,204.7,5.4260364,939,5.298955607003565,6.065020620751703,551.2492557,553.9149770707534,56.258575,61.227408030372295
2022-07-28,89.0,0.5638414058000001,300.97745,940,300.8625134265412,303.74816450293224,24316802.0,940,23613949.581602134,24533170.09586862,15.65,220.35,5.55066,940,5.327324417819682,6.047008022509052,556.7999157,559.9619850932625,48.610653,52.52516529582504
2022-07-29,90.0,0.5674623093,301.08948,941,301.0878318315004,303.71918670952056,23243716.0,941,23958831.17493696,24479411.12225097,5.98,226.32999999999998,5.2392325,941,5.4405557866527605,6.028637679086919,562.0391482,565.9906227723494,56.1651,58.10618588827955
2022-07-30,91.0,0.5710520228,301.27365,942,301.4555752403036,303.68883689215943,24785988.0,942,24275916.396984745,24424264.380775724,2.67,228.99999999999997,5.621991,942,5.581004677344342,6.009914974466904,567.6611392,572.0005377468163,48.082584,46.95354200192333
2022-07-31,92.0,0.5746105463000001,301.7245,943,301.834265353839,303.6571238747136,24519566.0,943,24455989.01773283,24367746.35201329,4.96,233.95999999999998,5.624886,943,5.697391187482964,5.990845395900637,573.2860251999999,577.991383142717,47.704674,44.52568405316653
