Fecha,rh12,rh12_holtwin_predicts
2020-05-18,39.310528,41.92886202139271
2020-05-19,39.603645,39.04237816909996
2020-05-20,44.515198,40.73229829687325
2020-05-21,48.2536,43.61420140023815
2020-05-22,50.566658,46.113922617296346
2020-05-23,48.209976,48.26249991115367
2020-05-24,54.421352,51.592873679885294
2020-05-25,51.23553,51.11356875813593
2020-05-26,51.21993,52.33742282247222
2020-05-27,55.884502,49.97755044374709
2020-05-28,46.56831,51.727190552260005
2020-05-29,61.565487,54.30894406303742
2020-05-30,39.979744,55.060920943825764
2020-05-31,42.797615,48.83344668890547
2020-06-01,52.242996,49.76329606872175
2020-06-02,49.695858,53.50306896434561
2020-06-03,46.439472,51.1886895815162
2020-06-04,45.079525,43.18158874251695
2020-06-05,45.707832,40.71006872606949
2020-06-06,43.642235,41.081204927996836
