Fecha,RH12,holtwinters_predicts
2020-05-19,37.75885,36.623118484342086
2020-05-20,42.662594,40.37680469556152
2020-05-21,46.40059,42.51882317302249
2020-05-22,48.70974,43.64372394093179
2020-05-23,46.391098,47.006474042328946
2020-05-24,52.588264,49.82372340112949
2020-05-25,49.44571,48.21029586497097
2020-05-26,49.440895,50.63800278390248
2020-05-27,54.099216,47.44754477521948
2020-05-28,44.864967,50.33825409441177
2020-05-29,59.77823,54.60850863278627
2020-05-30,38.351826,53.09754146717225
2020-05-31,41.173298,46.88729696100761
2020-06-01,50.582268,48.58698844551606
2020-06-02,48.061886,52.013434762998806
2020-06-03,44.849213,50.13227327038741
2020-06-04,43.521023,41.222587077745864
2020-06-05,44.15605,37.36899770896877
2020-06-06,42.12666,38.586723897022
2020-06-07,38.970234,43.237918293746084
