File,tipo,var_nums,R2,aic,mse,rmse
score_mlr\zafra22_r\max\4\comb_3.json,max,4,0.9545097851012022,70.88002448587451,588.6143674790748,24.261376042571754
score_mlr\zafra21_m\mean\7\comb_1.json,mean,7,0.9537046084174645,62.77819095447101,185.29118106396453,13.61217032893596
score_mlr\zafra21_m\mean\6\comb_2.json,mean,6,0.9536618499105658,60.787422709872715,216.16335264639488,14.702494776275042
score_mlr\zafra21_m\mean\6\comb_4.json,mean,6,0.9535896444898029,60.802992865937945,216.14698608435535,14.701938174416165
score_mlr\zafra21_m\mean\5\comb_5.json,mean,5,0.9535896428505172,58.80299321915345,259.3763828553407,16.10516634050517
score_mlr\zafra21_m\max\2\comb_2.json,max,2,0.9535039637983039,52.821437391489034,648.3826953828467,25.463359860451384
score_mlr\zafra23_r\mean\5\comb_11.json,mean,5,0.9525052570047914,48.72421177796552,185.14320933030632,13.606733969998324
score_mlr\zafra23_m\mean\6\comb_1.json,mean,6,0.9521807689717988,50.77868257974394,154.23344747407782,12.419075950894165
score_mlr\zafra21_r\max\4\comb_5.json,max,4,0.9515829932703125,57.226278038793566,323.5382177119062,17.98716814042461
score_mlr\zafra23_r\mean\6\comb_4.json,mean,6,0.9497214789719907,51.17988327749601,153.83509372931724,12.403027603344162
score_mlr\zafra23_r\mean\5\comb_14.json,mean,5,0.9495106781490498,49.213354452334926,184.56113806522154,13.585328044078345
score_mlr\zafra23_m\mean\5\comb_7.json,mean,5,0.9489246115311871,49.30568150112163,184.44722136637452,13.581134759893024
score_mlr\zafra23_r\mean\5\comb_4.json,mean,5,0.9489215428999753,49.30616213010952,184.4466249011827,13.581112800547041
score_mlr\zafra23_r\mean\4\comb_31.json,mean,4,0.947521915792362,47.522424639157194,230.21821547767544,15.172943533727246
score_mlr\zafra23_r\mean\4\comb_14.json,mean,4,0.9444753091969998,47.973881938169804,229.47798528145856,15.148530796135265
score_mlr\zafra21_m\mean\6\comb_6.json,mean,6,0.9434402339525665,62.78074558382228,213.8464530292484,14.623489769177821
score_mlr\zafra21_m\mean\6\comb_7.json,mean,6,0.943234704569883,62.817018162076295,213.7998663691735,14.621896811603257
