Fecha,Evapotranspiration
2020-10-30,4.3127656
2020-10-31,4.1702886
2020-11-01,4.5856314
2020-11-02,4.5240507
2020-11-03,4.118122
2020-11-04,4.0432453
2020-11-05,3.881574
2020-11-06,3.654677
2020-11-07,3.8512447
2020-11-08,4.4056478
2020-11-09,4.2801437
2020-11-10,4.3150005
2020-11-11,3.7581928
2020-11-12,4.151106
2020-11-13,3.9471169
2020-11-14,4.5197425
2020-11-15,3.8715014
2020-11-16,3.3650997
2020-11-17,3.757362
2020-11-18,3.3134727
2020-11-19,3.2880733
2020-11-20,2.8913348
2020-11-21,1.4441857
2020-11-22,3.0840838
2020-11-23,3.283449
2020-11-24,4.336726
2020-11-25,3.7587118
2020-11-26,3.7809765
2020-11-27,3.9356453
2020-11-28,3.42204
2020-11-29,2.6079054
2020-11-30,3.634522
2020-12-01,3.3261237
2020-12-02,3.6040533
2020-12-03,3.9494011
2020-12-04,2.5406816
2020-12-05,1.9569391
2020-12-06,1.9146945
2020-12-07,2.3367193
2020-12-08,2.9258914
2020-12-09,3.3179944
2020-12-10,3.6462736
2020-12-11,3.469697
2020-12-12,3.0826814
2020-12-13,4.3698835
2020-12-14,4.646962
2020-12-15,4.305286
2020-12-16,4.532226
2020-12-17,2.0535297
2020-12-18,3.6109154
2020-12-19,3.4187195
2020-12-20,3.6294966
2020-12-21,2.3872383
2020-12-22,3.66146
2020-12-23,3.8549016
2020-12-24,5.033191
2020-12-25,3.130327
2020-12-26,3.1213193
2020-12-27,3.3060663
2020-12-28,3.3837624
2020-12-29,3.662755
2020-12-30,3.5996747
2020-12-31,3.8282728
2021-01-01,2.1778479
2021-01-02,2.3004217
2021-01-03,3.1562283
2021-01-04,3.0976646
2021-01-05,2.9518871
2021-01-06,4.0923104
2021-01-07,3.9029224
2021-01-08,3.3298426
2021-01-09,1.8462471
2021-01-10,4.4123907
2021-01-11,1.8386799
2021-01-12,1.5764985
2021-01-13,2.424085
2021-01-14,2.896
2021-01-15,3.7579463
2021-01-16,3.3681207
2021-01-17,3.2374194
2021-01-18,3.7831523
2021-01-19,3.1750422
2021-01-20,1.0451254
2021-01-21,3.2952483
2021-01-22,3.2813532
2021-01-23,3.4196873
2021-01-24,3.2945688
2021-01-25,4.5524898
2021-01-26,4.096558
2021-01-27,4.4819355
2021-01-28,2.6390264
2021-01-29,3.4948983
2021-01-30,4.3542433
2021-01-31,4.9189777
2021-02-01,3.8822846
2021-02-02,3.8499925
2021-02-03,4.037599
2021-02-04,4.277874
2021-02-05,4.5549555
2021-02-06,4.7321563
2021-02-07,4.294274
2021-02-08,4.5566807
2021-02-09,3.7539217
2021-02-10,4.323285
2021-02-11,4.45005
2021-02-12,2.5954921
2021-02-13,2.3859234
2021-02-14,3.1045442
2021-02-15,3.0057642
2021-02-16,2.713313
2021-02-17,3.9853194
2021-02-18,3.6446679
2021-02-19,2.7604725
2021-02-20,3.9803698
2021-02-21,4.676284
2021-02-22,3.5782375
2021-02-23,4.622511
2021-02-24,4.9628954
2021-02-25,4.759106
2021-02-26,4.933667
2021-02-27,5.3040347
2021-02-28,5.385661
2021-03-01,6.08422
2021-03-02,2.9138212
2021-03-03,4.7850394
2021-03-04,5.067274
2021-03-05,5.556087
2021-03-06,5.454303
2021-03-07,3.5362356
2021-03-08,2.132919
2021-03-09,4.028525
2021-03-10,5.65589
2021-03-11,5.489256
2021-03-12,4.946925
2021-03-13,4.665691
2021-03-14,5.92806
2021-03-15,5.303103
2021-03-16,6.3240542
2021-03-17,7.269356
2021-03-18,6.4700904
2021-03-19,5.5892434
2021-03-20,4.958553
2021-03-21,5.3475227
2021-03-22,6.6255894
2021-03-23,6.783571
2021-03-24,8.018439
2021-03-25,7.3350315
2021-03-26,6.45106
2021-03-27,6.562474
2021-03-28,6.9164805
2021-03-29,4.0506167
2021-03-30,6.5178013
2021-03-31,6.461682
2021-04-01,4.988222
2021-04-02,2.3404064
2021-04-03,5.2288795
2021-04-04,4.933662
2021-04-05,6.386713
2021-04-06,6.68261
2021-04-07,7.1335764
2021-04-08,7.1255836
2021-04-09,7.864388
2021-04-10,8.160569
2021-04-11,6.8862677
2021-04-12,7.04117
2021-04-13,6.6699643
2021-04-14,6.6361885
2021-04-15,6.279295
2021-04-16,7.0861044
2021-04-17,5.4733396
2021-04-18,3.2680988
2021-04-19,4.176987
2021-04-20,6.0729017
2021-04-21,4.3588395
2021-04-22,5.9416714
2021-04-23,7.719986
2021-04-24,7.783572
2021-04-25,7.100997
2021-04-26,7.3781633
2021-04-27,7.074581
2021-04-28,7.6187563
2021-04-29,7.6091685
2021-04-30,5.5004325
2021-05-01,3.7982442
2021-05-02,7.019732
2021-05-03,8.243293
2021-05-04,9.288331
2021-05-05,6.714605
2021-05-06,6.1221056
2021-05-07,5.641134
2021-05-08,6.8049226
2021-05-09,7.150826
2021-05-10,6.450835
2021-05-11,5.098876
2021-05-12,3.809318
2021-05-13,5.497248
2021-05-14,4.643723
2021-05-15,5.7180634
2021-05-16,5.86603
2021-05-17,6.810336
2021-05-18,6.2341113
2021-05-19,7.6584654
2021-05-20,6.923709
2021-05-21,6.7830677
2021-05-22,5.816498
2021-05-23,5.957605
2021-05-24,6.37233
2021-05-25,6.142499
2021-05-26,5.921305
2021-05-27,6.961373
2021-05-28,7.3009634
2021-05-29,5.1492276
2021-05-30,4.777713
2021-05-31,5.462937
2021-06-01,5.155731
2021-06-02,4.235771
2021-06-03,2.873136
2021-06-04,4.313241
2021-06-05,5.9737644
2021-06-06,7.010751
2021-06-07,7.0167365
2021-06-08,6.7381973
2021-06-09,6.227342
2021-06-10,5.6961565
2021-06-11,6.201199
2021-06-12,4.945879
2021-06-13,4.409696
2021-06-14,5.528631
2021-06-15,5.828445
2021-06-16,5.934501
2021-06-17,5.5596404
2021-06-18,5.225322
2021-06-19,3.8378015
2021-06-20,6.792119
2021-06-21,6.6913934
2021-06-22,4.1845593
2021-06-23,5.188829
2021-06-24,5.6181993
2021-06-25,5.555087
2021-06-26,5.7912536
2021-06-27,5.12908
2021-06-28,4.108
2021-06-29,4.4296856
2021-06-30,2.7756298
2021-07-01,4.7852054
2021-07-02,5.405937
2021-07-03,5.2734976
2021-07-04,5.822052
2021-07-05,5.2408113
2021-07-06,4.3572354
2021-07-07,2.1186502
2021-07-08,3.8229413
2021-07-09,3.128086
2021-07-10,4.64973
2021-07-11,5.160722
2021-07-12,4.628797
2021-07-13,4.2035584
2021-07-14,5.191309
2021-07-15,4.830339
2021-07-16,4.9550357
2021-07-17,5.4614115
2021-07-18,5.5987926
2021-07-19,5.9172564
2021-07-20,6.300019
2021-07-21,5.6326704
2021-07-22,4.9597564
2021-07-23,5.5509458
2021-07-24,6.5748115
2021-07-25,6.51552
2021-07-26,6.3448777
2021-07-27,6.099358
2021-07-28,5.7005014
2021-07-29,5.2311826
2021-07-30,5.368124
2021-07-31,5.7567215
2021-08-01,6.574567
2021-08-02,6.095333
2021-08-03,5.5265307
2021-08-04,4.843258
2021-08-05,5.6324005
2021-08-06,6.0202317
2021-08-07,5.9341173
2021-08-08,5.5906734
2021-08-09,5.7273407
2021-08-10,5.770165
2021-08-11,6.033173
2021-08-12,6.2957044
2021-08-13,6.355039
2021-08-14,6.152349
2021-08-15,5.915788
2021-08-16,5.9747677
2021-08-17,6.1625876
2021-08-18,6.2118273
2021-08-19,6.141359
2021-08-20,5.546919
2021-08-21,3.6419108
2021-08-22,4.345316
2021-08-23,5.4155025
2021-08-24,5.513388
2021-08-25,5.170956
2021-08-26,5.3941197
2021-08-27,5.895413
2021-08-28,5.823243
2021-08-29,4.7941537
2021-08-30,5.3994265
2021-08-31,5.449139
2021-09-01,5.472377
2021-09-02,5.1038713
2021-09-03,4.439243
2021-09-04,4.301123
2021-09-05,5.3403344
2021-09-06,5.270674
2021-09-07,5.411534
2021-09-08,5.210791
2021-09-09,5.3172536
2021-09-10,5.645473
2021-09-11,4.6039047
2021-09-12,5.2200823
2021-09-13,4.5052752
2021-09-14,5.3461957
2021-09-15,4.955123
2021-09-16,3.683353
2021-09-17,4.6787505
2021-09-18,4.797929
2021-09-19,5.373615
2021-09-20,5.679257
2021-09-21,5.077193
2021-09-22,4.1224794
2021-09-23,4.5123086
2021-09-24,4.0869904
2021-09-25,4.1212335
2021-09-26,4.634197
2021-09-27,5.805632
2021-09-28,5.387839
2021-09-29,4.545572
2021-09-30,3.5675979
2021-10-01,4.3350153
2021-10-02,2.031224
2021-10-03,3.2755148
2021-10-04,3.4753609
2021-10-05,4.122292
2021-10-06,4.4650097
2021-10-07,4.7131815
2021-10-08,4.83179
2021-10-09,5.0931706
2021-10-10,5.4052005
2021-10-11,4.9684196
2021-10-12,5.110531
2021-10-13,4.455827
2021-10-14,4.250378
2021-10-15,4.298676
2021-10-16,4.099992
2021-10-17,3.7566614
2021-10-18,4.44936
2021-10-19,4.575571
2021-10-20,4.5745854
2021-10-21,4.062584
2021-10-22,4.0796857
2021-10-23,4.442768
2021-10-24,4.2702894
2021-10-25,3.030321
2021-10-26,4.844191
2021-10-27,5.3358445
2021-10-28,4.278558
2021-10-29,3.8435245
2021-10-30,4.215136
2021-10-31,3.935884
2021-11-01,3.9445632
2021-11-02,4.099563
2021-11-03,4.185933
2021-11-04,3.7522266
2021-11-05,2.8924696
2021-11-06,3.471554
