Fecha,temp
2020-12-11,295.6879
2020-12-12,296.40344
2020-12-13,298.41824
2020-12-14,291.708
2020-12-15,293.03195
2020-12-16,292.44824
2020-12-17,290.4003
2020-12-18,294.00937
2020-12-19,296.36447
2020-12-20,294.9352
2020-12-21,294.44427
2020-12-22,296.14978
2020-12-23,297.42215
2020-12-24,290.17307
2020-12-25,288.31073
2020-12-26,289.50204
2020-12-27,292.8224
2020-12-28,294.05353
2020-12-29,294.0473
2020-12-30,295.33768
2020-12-31,294.1765
2021-01-01,290.46432
2021-01-02,288.47418
2021-01-03,291.67624
2021-01-04,294.60477
2021-01-05,294.21698
2021-01-06,296.82724
2021-01-07,292.58292
2021-01-08,291.8316
2021-01-09,290.83136
2021-01-10,292.53827
2021-01-11,284.01196
2021-01-12,284.94
2021-01-13,288.99393
2021-01-14,291.83508
2021-01-15,291.36078
2021-01-16,289.4752
2021-01-17,292.931
2021-01-18,294.71634
2021-01-19,295.99496
2021-01-20,294.0166
2021-01-21,296.10095
2021-01-22,296.42206
2021-01-23,297.39276
2021-01-24,296.80643
2021-01-25,299.87042
2021-01-26,298.23856
2021-01-27,295.0434
2021-01-28,293.2712
2021-01-29,294.70596
2021-01-30,297.11627
2021-01-31,297.60236
2021-02-01,293.52036
2021-02-02,292.13596
2021-02-03,293.41748
2021-02-04,295.84213
2021-02-05,297.09753
2021-02-06,298.22296
2021-02-07,296.046
2021-02-08,296.87234
2021-02-09,298.31335
2021-02-10,298.84692
2021-02-11,297.29272
2021-02-12,288.15402
2021-02-13,287.6991
2021-02-14,288.4739
2021-02-15,281.93372
2021-02-16,285.50034
2021-02-17,290.43698
2021-02-18,286.83078
2021-02-19,284.25024
2021-02-20,287.48688
2021-02-21,292.2998
2021-02-22,295.18585
2021-02-23,296.3691
2021-02-24,297.23407
2021-02-25,298.61322
2021-02-26,299.50912
2021-02-27,299.91895
2021-02-28,300.7427
2021-03-01,298.92667
2021-03-02,291.4584
2021-03-03,294.59195
2021-03-04,296.50873
2021-03-05,298.3478
2021-03-06,295.96463
2021-03-07,294.29153
