Fecha,Evapotranspiration,Dia,Reconstruida,Ajustados
2022-07-15,4.0692563,927,5.550069349661141,6.251455511263896
2022-07-16,5.6089606,928,5.640472528265591,6.2381161560462255
2022-07-17,6.009512,929,5.898874638231689,6.224363045663342
2022-07-18,6.482055,930,6.242055864854283,6.210200210877839
2022-07-19,7.073051,931,6.563758031211614,6.195631802534372
2022-07-20,7.215248,932,6.7667801178750935,6.180662090343122
2022-07-21,7.109631,933,6.791151498171019,6.16529546162843
2022-07-22,5.7589974,934,6.629852296405122,6.149536420042965
2022-07-23,6.015982,935,6.3277800169477,6.133389584247781
2022-07-24,5.7835116,936,5.965126438904776,6.1168596865586995
2022-07-25,5.369194,937,5.631216894346364,6.099951571559334
2022-07-26,6.1251,938,5.397601641983891,6.082670194681272
2022-07-27,5.4260364,939,5.298955607003565,6.065020620751703
2022-07-28,5.55066,940,5.327324417819682,6.047008022509052
2022-07-29,5.2392325,941,5.4405557866527605,6.028637679086919
2022-07-30,5.621991,942,5.581004677344342,6.009914974466904
2022-07-31,5.624886,943,5.697391187482964,5.990845395900637
2022-08-01,5.4519167,944,5.762043487314987,5.971434532301604
2022-08-02,5.2952924,945,5.777796057027647,5.95168807260712
2022-08-03,6.1507444,946,5.772740494755453,5.931611804111041
2022-08-04,6.363885,947,5.785425245338766,5.911211610767597
2022-08-05,5.8700185,948,5.8464330414176064,5.890493471466952
2022-08-06,5.8272986,949,5.963400883247947,5.869463458282874
2022-08-07,5.9089527,950,6.115145274902454,5.848127734693172
2022-08-08,6.297967,951,6.257162368161755,5.826492553773275
2022-08-09,5.9397507,952,6.336617910005569,5.80456425636358
2022-08-10,6.3480053,953,6.3114986307249,5.782349269211101
2022-08-11,6.4531136,954,6.167067090175379,5.759854103085888
2022-08-12,6.5967665,955,5.923663917601613,5.7370853508728805
2022-08-13,5.4046264,956,5.6328980210985335,5.714049685639631
2022-08-14,4.7778025,957,5.363292945250059,5.690753858680597
2022-08-15,5.2273808,958,5.180103460198059,5.667204697538436
2022-08-16,4.5956197,959,5.126013786299728,5.643409104003026
2022-08-17,5.539183,960,5.209095402351535,5.619374052088649
2022-08-18,6.036766,961,5.40187249428719,5.5951065859900835
2022-08-19,6.0954046,962,5.651514075456496,5.570613818018058
2022-08-20,5.718854,963,5.897385873576583,5.545902926514809
2022-08-21,5.073409,964,6.08976909264721,5.520981153750212
2022-08-22,6.3000684,965,6.203320105056147,5.495855803799254
2022-08-23,6.33942,966,6.240866314694921,5.47053424040134
2022-08-24,6.426159,967,6.2266803987376615,5.44502388480211
2022-08-25,6.320668,968,6.192186566280284,5.419332213578456
2022-08-26,6.045076,969,6.159776189577656,5.393466756447246
2022-08-27,6.3760743,970,6.13107655014713,5.367435094058556
2022-08-28,6.36686,971,6.08437897663836,5.3412448557738905
2022-08-29,5.480619,972,5.982557321237506,5.314903717430209
2022-08-30,5.5045323,973,5.78887980029431,5.28841939909025
2022-08-31,5.661475,974,5.485031478027143,5.261799662779978
2022-09-01,5.153232,975,5.084539916820802,5.235052310213646
2022-09-02,4.747505,976,4.6360819707152,5.208185180507307
2022-09-03,3.859042,977,4.214459580595847,5.181206147881286
2022-09-04,4.3819532,978,3.9012674331086785,5.154123119352449
2022-09-05,3.9460917,979,3.760991404000784,5.1269440324167626
2022-09-06,3.6184018,980,3.82017652936448,5.099676852723017
2022-09-07,3.370934,981,4.0566833582009,5.072329571738234
2022-09-08,5.09904,982,4.403051731667793,5.044910204405512
2022-09-09,4.9214787,983,4.763559562995078,5.017426786795042
2022-09-10,4.580041,984,5.040148174956144,4.989887373748853
2022-09-11,4.8433757,985,5.1594496331791895,4.962300036520143
2022-09-12,5.4334393,986,5.09268529611069,4.934672860407712
2022-09-13,5.070978,987,4.862388072957271,4.907013942386365
2022-09-14,4.8692303,988,4.53403681879205,4.879331388733801
2022-09-15,3.849091,989,4.195434243432499,4.851633312654882
2022-09-16,3.7092185,990,3.930461022593496,4.823927831903754
2022-09-17,3.813637,991,3.795461932364212,4.796223066404752
2022-09-18,3.8961136,992,3.8054519097167447,4.768527135872561
2022-09-19,3.8811588,993,3.933951495842266,4.740848157432534
2022-09-20,4.2540245,994,4.125716682595158,4.713194243241684
2022-09-21,4.3599567,995,4.31744106345028,4.685573498111208
2022-09-22,4.100431,996,4.459068716218489,4.65799401713111
2022-09-23,4.6453924,997,4.5284555525136705,4.63046388329768
2022-09-24,4.8546996,998,4.5346831436834725,4.602991165144564
2022-09-25,4.8430123,999,4.509455092823418,4.575583914377995
2022-09-26,4.2759843,1000,4.49025909882078,4.548250163517038
2022-09-27,3.7657032,1001,4.501887262416156,4.520997923539381
2022-09-28,4.5769606,1002,4.543465339281993,4.493835181533521
2022-09-29,4.718869,1003,4.586149037402565,4.466769898357856
2022-09-30,4.83765,1004,4.582782227359554,4.4398100063075665
2022-10-01,4.771216,1005,4.4864106990318104,4.412963406789775
2022-10-02,4.3393974,1006,4.271140334137907,4.386237968007837
2022-10-03,4.260834,1007,3.947633717055581,4.359641522655292
2022-10-04,2.783736,1008,3.5670278971792078,4.333181865620301
2022-10-05,3.0174322,1009,3.2107897347514167,4.306866751701069
2022-10-06,2.565826,1010,2.9687878811451553,4.280703893333108
2022-10-07,3.3369591,1011,2.912057102622486,4.254700958328867
2022-10-08,3.4524453,1012,3.068919452073775,4.228865567630424
2022-10-09,4.286346,1013,3.4125062056400406,4.203205293075985
2022-10-10,3.1945987,1014,3.864412934593091,4.177727655180679
2022-10-11,3.9285674,1015,4.314232314297754,4.152440120932489
2022-10-12,4.578083,1016,4.649634581331141,4.127350101603794
2022-10-13,4.9785147,1017,4.78815220677078,4.102464950579298
2022-10-14,4.1173677,1018,4.701040362584644,4.077791961200872
2022-10-15,4.476271,1019,4.421827144586313,4.053338364630056
2022-10-16,4.991291,1020,4.036763228097153,4.029111327728708
2022-10-17,4.138703,1021,3.659894601672642,4.005117950958582
2022-10-18,2.6687667,1022,3.4001785732045535,3.9813652663002865
2022-10-19,2.432261,1023,3.330464462977793,3.957860235192384
2022-10-20,3.811675,1024,3.4675202292663503,3.9346097464911
2022-10-21,4.1967463,1025,3.7688262409593962,3.911620614451365
2022-10-22,4.402077,1026,4.146688724524432,3.888899576729682
2022-10-23,4.452395,1027,4.494985080621885,3.866453292409436
2022-10-24,4.715515,1028,4.720175073001508,3.8442883400492853
2022-10-25,4.402552,1029,4.767205644305103,3.8224112157550763
2022-10-26,3.9366143,1030,4.63284479135949,3.800828331276005
2022-10-27,4.5930514,1031,4.363117329596794,3.7795460121254205
2022-10-28,4.9974303,1032,4.036512969257549,3.758570495726985
2022-10-29,3.857652,1033,3.738896074077414,3.7379079295865663
2022-10-30,3.8039157,1034,3.5382570349064557,3.7175643694905673
2022-10-31,2.838636,1035,3.466997665835371,3.697545777731058
2022-11-01,3.0583484,1036,3.5166003097732994,3.6778580213583822
2022-11-02,3.0468326,1037,3.64531234665726,3.6585068704616077
2022-11-03,4.0950136,1038,3.7953038053592008,3.63949799647746
2022-11-04,4.5942383,1039,3.912968840123473,3.620836970528107
2022-11-05,4.4126134,1040,3.965474763391693,3.6025292617884013
2022-11-06,4.2612367,1041,3.948386355184496,3.584580235882961
2022-11-07,3.154416,1042,3.882525716445884,3.566995153313603
2022-11-08,3.5335963,1043,3.8019880179038945,3.5497791679176167
2022-11-09,3.349116,1044,3.7381516370540657,3.5329373253572536
2022-11-10,4.068934,1045,3.7056626199996647,3.516474561640968
2022-11-11,4.125792,1046,3.695433944161678,3.500395701676746
2022-11-12,3.7083013,1047,3.6770810789764172,3.484705457858046
2022-11-13,2.4493763,1048,3.609861639070892,3.4694084286826667
2022-11-14,4.38767,1049,3.458250509455973,3.454509097405042
2022-11-15,3.8001032,1050,3.206730603822514,3.4400118307222654
2022-11-16,2.8929691,1051,2.8686833626992465,3.425920877494321
2022-11-17,1.4190489,1052,2.4862592120776728,3.4122403674988036
2022-11-18,1.9060531,1053,2.121081600677006,3.3989743102205887
2022-11-19,2.991997,1054,1.8385826506525111,3.386126593676706
2022-11-20,1.1804394,1055,1.6907310710121621,3.373700983276861
2022-11-21,1.4361801,1056,1.7023046110290154,3.3617011207198613
2022-11-22,1.3798615,1057,1.864628420888462,3.350130522926295
2022-11-23,2.8532307,1058,2.138320388462356,3.3389925810078145
2022-11-24,3.4952202,1059,2.4638675558698973,3.328290559273246
2022-11-25,2.2783375,1060,2.7766708506074367,3.318027594271905
2022-11-26,2.0258858,1061,3.022174885329684,3.308206693874319
2022-11-27,3.3425646,1062,3.167062687029707,3.2988307363907
2022-11-28,2.9012494,1063,3.2040036631735256,3.2899024697273465
2022-11-29,3.728605,1064,3.1495200851418423,3.2814245105813082
2022-11-30,4.264691,1065,3.036486377141364,3.273399343673468
2022-12-01,1.4915926,1066,2.904018999938881,3.2658293210203317
2022-12-02,2.8141005,1067,2.7877698052431628,3.2587166612446894
2022-12-03,2.447406,1068,2.7129726231044717,3.25206344892539
2022-12-04,2.6733522,1069,2.6913672491847476,3.2458716339863836
2022-12-05,3.4817123,1070,2.7218205243836815,3.2401430311252457
2022-12-06,3.1117826,1071,2.793509469819729,3.234879319281323
2022-12-07,2.433492,1072,2.8901598107230266,3.2300820411436644
2022-12-08,2.9866676,1073,2.99403106810951,3.2257526026988987
2022-12-09,2.8484073,1074,3.088892017546037,3.2218922728191606
2022-12-10,3.1033802,1075,3.161837159977629,3.218502182890214
2022-12-11,2.6276524,1076,3.2042020666013817,3.2155833264798623
2022-12-12,3.528692,1077,3.2119317951416244,3.213136559046756
2022-12-13,3.7045763,1078,3.1855978153783004,3.211162597689672
2022-12-14,3.7276301,1079,3.130017562607656,3.2096620209373503
2022-12-15,2.9329424,1080,3.0532987588862124,3.2086352685789343
2022-12-16,2.7173355,1081,2.965220424968745,3.2080826415350803
2022-12-17,2.6869504,1082,2.8751507241123835,3.208004301769763
2022-12-18,1.6776,1083,2.790039823011606,3.2084002722428058
2022-12-19,2.790694,1084,2.7132117547566006,3.2092704369031546
2022-12-20,3.6421998,1085,2.6445582069414217,3.2106145407228865
2022-12-21,2.4145494,1086,2.5822866767964845,3.2124321897719557
2022-12-22,2.8811731,1087,2.5257339831769317,3.214722851333647
2022-12-23,3.4363804,1088,2.4781799875275143,3.217485854060701
2022-12-24,1.664109,1089,2.448358431235828,3.220720388172079
2022-12-25,1.2627171,1090,2.449631944404273,3.224425505690285
2022-12-26,2.4190102,1091,2.496555463871333,3.228600120719208
2022-12-27,2.8793535,1092,2.5995680348489074,3.2332430097623686
2022-12-28,3.4190476,1093,2.7594594144292155,3.2383528120815086
2022-12-29,3.3751864,1094,2.9636798230997843,3.2439280300953897
2022-12-30,2.9394298,1095,3.186264144774793,3.249967029818711
2022-12-31,3.1104136,1096,3.392139019304074,3.25646804134099
2023-01-01,3.266455,1097,3.5451539259424765,3.2634291593452973
2023-01-02,3.595453,1098,3.6177948357556113,3.2708483436666578
2023-01-03,4.094306,1099,3.5997011444725007,3.2787234198899906
2023-01-04,3.4632685,1100,3.502163078121778,3.2870520799873804
