Fecha,et,dia,reconstruida_et,ajustados_et
2020-03-20,4.120767,80,4.6469258314760165,4.453084582479303
2020-03-21,3.8505938,81,4.889547726213224,4.479368217832041
2020-03-22,4.8980126,82,5.096373502017592,4.505620587327024
2020-03-23,5.552261,83,5.249205017734672,4.531833966010902
2020-03-24,5.4852414,84,5.350474205826631,4.558000640403658
2020-03-25,5.74121,85,5.415625687734048,4.584112910768358
2020-03-26,6.0334096,86,5.459832001419536,4.610163093376854
2020-03-27,5.7063184,87,5.4853734144519555,4.636143522770779
2020-03-28,5.9020286,88,5.475914158806083,4.662046554017165
2020-03-29,4.1202273,89,5.401154715550289,4.687864564958015
2020-03-30,4.7864037,90,5.230954010665134,4.713589958453189
2020-03-31,4.010464,91,4.953704336161915,4.73921516461591
2020-04-01,4.8967047,92,4.591260235726113,4.764732643040267
2020-04-02,5.749808,93,4.203190895244191,4.790134885020025
2020-04-03,4.023768,94,3.8765693354164714,4.815414415758127
2020-04-04,4.3100843,95,3.7028024006568017,4.840563796566203
2020-04-05,2.804006,96,3.7482370400656917,4.865575627053457
2020-04-06,4.026324,97,4.028451365519345,4.890442547304293
2020-04-07,4.2928805,98,4.495907294870032,4.915157240044019
2020-04-08,5.0509167,99,5.046844885719341,4.939712432792012
2020-04-09,5.4076743,100,5.547077201063347,4.964100900001697
2020-04-10,4.833495,101,5.869781977404068,4.9883154651867185
2020-04-11,5.4431515,102,5.933793963044704,5.012349003032675
2020-04-12,7.696556,103,5.729997590106477,5.0361944414937945
2020-04-13,6.239375,104,5.326693609900232,5.059844763873936
2020-04-14,6.3272214,105,4.8513127255836865,5.083293010891304
2020-04-15,2.0971267,106,4.453470450981491,5.1065322827262705
2020-04-16,2.1652937,107,4.260550643841866,5.129555741051694
2020-04-17,5.4777727,108,4.339650058488041,5.1523566110451515
2020-04-18,4.408059,109,4.677861954713428,5.1749281833824785
2020-04-19,6.1334033,110,5.187084782971804,5.197263816212036
2020-04-20,5.9400716,111,5.731708208757252,5.219356937109127
2020-04-21,6.1383204,112,6.170243847022025,5.241201045009976
2020-04-22,6.323226,113,6.397636761899047,5.2627897121247225
2020-04-23,6.849136,114,6.375019282273749,5.284116585828839
2020-04-24,6.0943537,115,6.137984376781043,5.3051753905324395
2020-04-25,5.5681543,116,5.7815638064104276,5.3259599295269195
2020-04-26,3.8115368,117,5.427594593761934,5.346464086808382
2020-04-27,5.466309,118,5.185567968044758,5.366681828877317
2020-04-28,6.1220512,119,5.119662040215515,5.386607206514004
2020-04-29,6.0814204,120,5.232069011950954,5.406234356529112
2020-04-30,4.244653,121,5.466961479325097,5.425557503488988
2020-05-01,6.0635777,122,5.732545338970037,5.444570961415119
2020-05-02,6.194278,123,5.932957015313484,5.463269135457276
2020-05-03,6.113678,124,5.999106268828084,5.481646523539837
2020-05-04,6.102254,125,5.908657923758806,5.4996977179808155
2020-05-05,4.894252,126,5.6895985880449516,5.517417407083109
2020-05-06,4.8893385,127,5.4076225604706325,5.534800376697506
2020-05-07,5.213177,128,5.142844380718252,5.5518415117569875
2020-05-08,5.769961,129,4.964358715341351,5.568535797781876
2020-05-09,4.933313,130,4.911067652171577,5.584878322355379
2020-05-10,5.230305,131,4.984261154688214,5.600864276569103
2020-05-11,5.0302234,132,5.152912613007093,5.616488956438117
2020-05-12,5.502606,133,5.368245108998178,5.631747764285128
2020-05-13,5.1678395,134,5.581368691907641,5.646636210093385
2020-05-14,5.3879023,135,5.75750911562816,5.661149912827897
2020-05-15,5.9123235,136,5.882412796437563,5.67528460172459
2020-05-16,6.179988,137,5.95994993359623,5.689036117547001
2020-05-17,5.7595696,138,6.003352600743836,5.702400413810178
2020-05-18,6.2368803,139,6.024644388048937,5.715373557971374
2020-05-19,6.815265,140,6.026959222893737,5.727951732587235
2020-05-20,6.3676605,141,6.00273179057803,5.740131236437111
2020-05-21,4.876782,142,5.937997833057527,5.751908485612161
2020-05-22,5.397165,143,5.820437103034688,5.763280014569953
2020-05-23,5.5043283,144,5.647357389750844,5.774242477154219
2020-05-24,5.8419986,145,5.430054613413418,5.78479264757949
2020-05-25,5.7308154,146,5.192689710846629,5.7949274213803035
2020-05-26,4.7912393,147,4.966210903773367,5.80464381632472
2020-05-27,4.723057,148,4.779892660393052,5.8139389732918625
2020-05-28,5.0123763,149,4.6539212626734745,5.822810157113237
2020-05-29,3.6141078,150,4.5958190932367735,5.831254757377573
2020-05-30,5.10657,151,4.601694059189443,5.839270289198959
2020-05-31,4.917715,152,4.66114432049271,5.846854393948039
2020-06-01,4.508732,153,4.763095641982097,5.854004839946052
2020-06-02,4.863992,154,4.899583310213566,5.860719523121526
2020-06-03,5.196612,155,5.065633530373391,5.86699646762941
2020-06-04,5.2497897,156,5.255449803601065,5.872833826432489
2020-06-05,5.22752,157,5.457148839424267,5.878229881844878
2020-06-06,5.44964,158,5.649365709380052,5.883183046037476
2020-06-07,5.9372416,159,5.802585221231323,5.887691861505186
2020-06-08,6.455756,160,5.886128433449386,5.8917550014958
2020-06-09,6.6562595,161,5.879057209258195,5.8953712704004095
2020-06-10,5.207119,162,5.780971936129475,5.898539604105217
2020-06-11,3.6781626,163,5.617828984826987,5.901259070304662
2020-06-12,6.2602043,164,5.43905092921902,5.903528868775757
2020-06-13,5.965226,165,5.305121044051752,5.90534833161356
2020-06-14,5.0847545,166,5.268565925542489,5.906716923427713
2020-06-15,6.092776,167,5.354331825893177,5.90763424149998
2020-06-16,5.1867614,168,5.54674397903515,5.908100015902752
2020-06-17,5.813005,169,5.78881694045733,5.908114109578477
2020-06-18,5.704411,170,5.995911587493447,5.9076765183799855
2020-06-19,5.699033,171,6.080785604492604,5.906787371071715
2020-06-20,5.8329277,172,5.982681531292697,5.905446929291821
2020-06-21,5.852539,173,5.690904571912525,5.903655587475181
2020-06-22,5.6317196,174,5.254345038263388,5.901413872737338
2020-06-23,5.6801867,175,4.772491203924967,5.898722444719389
2020-06-24,4.282377,176,4.369429972585887,5.895582095393877
2020-06-25,2.827072,177,4.158173986207362,5.891993748831753
2020-06-26,3.5518563,178,4.206337441792515,5.887958460930459
2020-06-27,5.3325434,179,4.514313512004625,5.883477419103225
2020-06-28,5.6998377,180,5.013466913203868,5.878551941929656
2020-06-29,5.9863987,181,5.5855350847925775,5.873183478767739
2020-06-30,5.965584,182,6.097494033741345,5.867373609327356
2020-07-01,5.7798104,183,6.4409386443975345,5.8611240432054394
2020-07-02,6.153496,184,6.563373734839205,5.854436619382917
