Fecha,SRF,arima_predicts
2022-02-13,14188583.0,17991182.56189191
2022-02-14,15573669.0,14904558.438414192
2022-02-15,20434424.0,15366058.134240866
2022-02-16,20475748.0,19705844.29174142
2022-02-17,20754844.0,20469553.935937095
2022-02-18,21077452.0,20713010.23502807
2022-02-19,11695479.0,21029096.211131424
2022-02-20,15736607.0,13101745.13586364
2022-02-21,20942834.0,15130881.375220397
2022-02-22,21059068.0,20162471.41254436
2022-02-23,20761030.0,21041645.65844818
2022-02-24,18512630.0,20805702.985799525
2022-02-25,10619468.0,18849643.203925848
2022-02-26,11459447.0,11802575.905499808
2022-02-27,13179509.0,11333542.35046236
2022-02-28,17133472.0,12921688.502948273
2022-03-01,22038762.0,16540811.5575368
2022-03-02,20634762.0,21303506.930134572
2022-03-03,15718914.0,20845207.889660154
2022-03-04,15409602.0,16455751.610964455
2022-03-05,22154222.0,15455964.848306669
2022-03-06,22026488.0,21143269.324558634
2022-03-07,21074274.0,22045634.07925203
2022-03-08,17445166.0,21217001.580040496
2022-03-09,12916347.0,17989133.850237027
2022-03-10,23020110.0,13595172.743279781
2022-03-11,23745222.0,21505654.591559578
2022-03-12,14403649.0,23636534.79206321
2022-03-13,23747360.0,15803859.570377694
2022-03-14,23702480.0,22346828.964300305
2022-03-15,23740358.0,23709207.073737856
2022-03-16,24185774.0,23734680.45768622
2022-03-17,24106254.0,24119010.49117602
2022-03-18,23387722.0,24118173.27147135
2022-03-19,11915028.0,23495422.930191804
2022-03-20,16688766.0,13634672.797456352
2022-03-21,24339738.0,15973229.290303072
2022-03-22,25440302.0,23192932.01046657
2022-03-23,25182804.0,25275338.203626823
2022-03-24,24115320.0,25221400.435680706
2022-03-25,25912072.0,24275325.42740597
2022-03-26,25934454.0,25642756.420841407
2022-03-27,25810470.0,25931099.15676469
2022-03-28,25378894.0,25829053.990871526
2022-03-29,25024240.0,25443583.027974337
2022-03-30,26037996.0,25077399.171333
2022-03-31,25829856.0,25886043.8751294
2022-04-01,25407132.0,25861054.153471414
2022-04-02,24838420.0,25470494.199615885
2022-04-03,22702966.0,24923664.375213966
2022-04-04,25973132.0,23023049.70146605
2022-04-05,26094474.0,25482966.0504228
2022-04-06,26729056.0,26076286.019128814
2022-04-07,26324926.0,26633938.355019715
2022-04-08,25831424.0,26385501.140589997
2022-04-09,26169164.0,25905395.130654603
2022-04-10,26286390.0,26118540.07209842
2022-04-11,27026176.0,26268818.967335254
2022-04-12,25332822.0,26915289.302757744
2022-04-13,27093638.0,25586639.22866067
2022-04-14,26400014.0,26829708.876319207
2022-04-15,24381778.0,26503981.46422339
2022-04-16,24570702.0,24684291.867923185
2022-04-17,25114918.0,24542384.137280516
2022-04-18,21999096.0,25033345.335977715
2022-04-19,20915294.0,22466127.291177124
2022-04-20,21935208.0,21077745.336257447
2022-04-21,16907820.0,21782332.8510635
2022-04-22,18827286.0,17661376.36775412
2022-04-23,25405266.0,18539576.790568076
2022-04-24,22027878.0,24419291.033285823
2022-04-25,18141030.0,22534115.480333
2022-04-26,15097788.0,18723630.559354555
2022-04-27,20997124.0,15553940.257935291
2022-04-28,19045116.0,20112871.141791895
2022-04-29,24863442.0,19337702.937452804
2022-04-30,24586344.0,23991331.7497131
2022-05-01,16587024.0,24627878.2842828
2022-05-02,20359948.0,17786043.953045774
2022-05-03,21979616.0,19794423.535754878
2022-05-04,23749726.0,21736843.583180852
2022-05-05,24929830.0,23484403.796476968
2022-05-06,23279740.0,24752943.934350777
2022-05-07,25415298.0,23527072.377542254
2022-05-08,26731204.0,25095198.70994953
2022-05-09,26791836.0,26533962.540684376
2022-05-10,17741494.0,26782747.855283566
2022-05-11,21986714.0,19098051.887406457
2022-05-12,26271600.0,21350396.97741946
2022-05-13,26866374.0,25629337.431365855
2022-05-14,26354744.0,26777223.18548666
2022-05-15,28114600.0,26431432.34083107
2022-05-16,27788996.0,27850814.770944614
2022-05-17,28182482.0,27837800.86001204
2022-05-18,25478058.0,28123502.29106922
2022-05-19,26296426.0,25883424.748360593
2022-05-20,26506314.0,26173760.628326636
2022-05-21,27036014.0,26474853.838398155
2022-05-22,23627326.0,26956617.14262608
2022-05-23,21440492.0,24138255.04468226
2022-05-24,20931660.0,21768277.06173011
2022-05-25,25247850.0,21007928.9479541
2022-05-26,23127700.0,24600895.267455652
2022-05-27,26649018.0,23445489.781312663
2022-05-28,26940742.0,26121206.818172134
2022-05-29,27279204.0,26897015.421143007
2022-05-30,26824496.0,27228471.85134889
2022-05-31,24448100.0,26892652.288885746
2022-06-01,23868848.0,24804298.5544194
2022-06-02,23884050.0,23955672.218288764
2022-06-03,26326334.0,23881771.36865056
2022-06-04,26822486.0,25960259.477790058
2022-06-05,27970298.0,26748117.660223175
2022-06-06,28254926.0,27798252.189812962
2022-06-07,28346824.0,28212263.04224915
2022-06-08,27788540.0,28333049.387202285
2022-06-09,21090346.0,27872221.319845464
2022-06-10,27148780.0,22094339.871400505
2022-06-11,25881970.0,26240679.905215576
2022-06-12,26355542.0,26071852.448347848
2022-06-13,23220876.0,26284558.181724973
2022-06-14,20138948.0,23690731.822761707
2022-06-15,19862538.0,20600898.911558792
2022-06-16,22579750.0,19903969.159801256
2022-06-17,26439016.0,22172466.455316775
2022-06-18,24479868.0,25860549.71310172
2022-06-19,23715138.0,24773525.153729282
2022-06-20,23935130.0,23829763.559259124
2022-06-21,19848770.0,23902155.347465727
2022-06-22,17818152.0,20461275.459880106
2022-06-23,26544062.0,18122521.808810487
2022-06-24,27612406.0,25236133.3012504
2022-06-25,26758936.0,27452271.6669921
2022-06-26,26532488.0,26886862.818695337
2022-06-27,26648604.0,26566430.343890145
2022-06-28,26767430.0,26631199.345495883
2022-06-29,23250848.0,26749619.142959576
2022-06-30,25464686.0,23777949.301675845
2022-07-01,28255130.0,25132853.302369334
2022-07-02,24411306.0,27836869.693641853
2022-07-03,24617622.0,24987457.68189249
2022-07-04,24099720.0,24586697.24631686
2022-07-05,24373992.0,24177348.45238374
2022-07-06,27948986.0,24332881.305520747
2022-07-07,25359154.0,27413129.309928976
2022-07-08,26531290.0,25747344.526574314
2022-07-09,27209682.0,26355598.25974167
2022-07-10,28086468.0,27107997.663833097
2022-07-11,27700116.0,27955046.340590052
2022-07-12,25971374.0,27758026.391995713
2022-07-13,25950306.0,26230495.544289798
2022-07-14,23668762.0,25953463.88746678
2022-07-15,18392178.0,24010743.16586808
2022-07-16,24014542.0,19183086.414705515
2022-07-17,26301258.0,23171804.53990511
2022-07-18,26532140.0,25958501.601837527
2022-07-19,27255848.0,26497533.04280875
2022-07-20,27858174.0,27147371.23795287
2022-07-21,27567622.0,27767891.214433447
2022-07-22,24132176.0,27611172.907501806
2022-07-23,25606160.0,24647115.80758506
2022-07-24,24429592.0,25385224.192147557
2022-07-25,22457854.0,24605948.053778965
2022-07-26,25791102.0,22753398.271785427
2022-07-27,23224696.0,25291480.674631104
2022-07-28,24316802.0,23609375.197933875
2022-07-29,23243716.0,24153105.97523277
2022-07-30,24785988.0,23404561.112501323
2022-07-31,24519566.0,24554816.487793487
2022-08-01,23838706.0,24559500.056136068
2022-08-02,22509702.0,23940760.265266392
2022-08-03,25167956.0,22708906.72161104
2022-08-04,26320708.0,24769509.683780152
2022-08-05,25132028.0,26147921.732053045
2022-08-06,24784084.0,25310199.524302874
2022-08-07,25333512.0,24836237.40785749
2022-08-08,26340622.0,25251158.10807393
2022-08-09,26171356.0,26189666.04562989
2022-08-10,26879746.0,26196727.320483774
2022-08-11,26323810.0,26773565.256569546
2022-08-12,25721530.0,26407139.37757415
2022-08-13,21454628.0,25811805.890615754
2022-08-14,19935528.0,22094194.94265149
2022-08-15,22887966.0,20163226.255685713
2022-08-16,20408026.0,22445424.37494555
2022-08-17,24652768.0,20779744.7888916
2022-08-18,25900268.0,24016522.62495169
2022-08-19,25326070.0,25713279.93208615
2022-08-20,24109780.0,25412136.67304208
2022-08-21,19137170.0,24292089.99368572
2022-08-22,25808936.0,19882515.68047221
2022-08-23,26446966.0,24808903.42772481
2022-08-24,26362080.0,26351331.533490118
2022-08-25,25980020.0,26374803.58247129
2022-08-26,24751680.0,26037287.06310795
2022-08-27,25218948.0,24935796.17101507
2022-08-28,24672418.0,25148909.089765158
2022-08-29,22735852.0,24754337.510025617
2022-08-30,22531472.0,23026124.332447015
2022-08-31,24642146.0,22562106.566188563
2022-09-01,22739264.0,24325776.57855231
2022-09-02,21125472.0,23024487.429777987
2022-09-03,16099622.0,21367363.66179946
2022-09-04,20025452.0,16852947.836572997
2022-09-05,18351456.0,19437008.419512447
2022-09-06,16222311.0,18602371.653495397
2022-09-07,14850019.0,16541449.043974696
2022-09-08,22652050.0,15055712.170095095
2022-09-09,22785378.0,21482601.741487816
2022-09-10,20633734.0,22765393.434774496
2022-09-11,22092218.0,20956244.424367473
2022-09-12,24415444.0,21873605.490786966
2022-09-13,23673194.0,24067215.109364957
2022-09-14,21171650.0,23784450.026780806
2022-09-15,17589256.0,21546607.01752423
2022-09-16,17398024.0,18126221.87780855
2022-09-17,17541838.0,17426687.809381403
2022-09-18,17702654.0,17520281.685772374
2022-09-19,18547860.0,17678549.252000295
2022-09-20,19372894.0,18421171.874205057
2022-09-21,20826652.0,19249229.460021455
2022-09-22,17752264.0,20608747.872036632
2022-09-23,22032216.0,18213084.73918839
2022-09-24,22909966.0,21390692.98978436
2022-09-25,22281866.0,22778399.846403703
2022-09-26,18478732.0,22376012.056478307
2022-09-27,15848415.0,19048784.64823845
2022-09-28,18026118.0,16242673.83273022
2022-09-29,20701146.0,17699701.586003855
2022-09-30,24355422.0,20300185.424981605
2022-10-01,23964618.0,23807681.71233351
2022-10-02,19759342.0,24023195.703321043
2022-10-03,19882438.0,20389671.807041667
2022-10-04,12364412.0,19863987.111656975
2022-10-05,13450133.0,13491290.68237762
2022-10-06,10232451.0,13287394.024381971
2022-10-07,14426454.0,10714750.11049392
2022-10-08,12741804.0,13797813.905575244
2022-10-09,17405596.0,12994316.584056966
2022-10-10,13987754.0,16706539.122058468
2022-10-11,17228086.0,14500055.139891626
2022-10-12,21153164.0,16742391.875687843
2022-10-13,20121338.0,20564833.136969015
2022-10-14,18909316.0,20275998.641413447
2022-10-15,19992592.0,19090986.26216359
2022-10-16,21741504.0,19830219.50600606
2022-10-17,17547350.0,21479359.169674274
2022-10-18,7276691.5,18176012.72785021
2022-10-19,7419517.5,8816162.914122604
2022-10-20,21603262.0,7398109.277324359
2022-10-21,21462560.0,19477257.20654214
2022-10-22,19758586.0,21483649.855816923
2022-10-23,19095986.0,20013995.062954254
2022-10-24,20319824.0,19195303.26957893
2022-10-25,15136967.0,20136382.634822004
2022-10-26,17970068.0,15913826.652668351
2022-10-27,20528350.0,17545413.825895958
2022-10-28,20134766.0,20144888.510333646
2022-10-29,15130844.0,20193760.39817379
2022-10-30,18715316.0,15880883.043504288
2022-10-31,10960738.0,18178038.650283538
2022-11-01,14181899.0,12123073.517200187
2022-11-02,14448388.0,13699078.421379207
2022-11-03,19030602.0,14408443.901218202
2022-11-04,19379596.0,18343772.867633037
2022-11-05,16331604.0,19327285.20739597
2022-11-06,19662510.0,16788468.236550596
2022-11-07,14741967.0,19163239.717561007
2022-11-08,17313880.0,15479508.345616842
2022-11-09,16663921.0,16928375.35654308
2022-11-10,18476634.0,16761343.507120816
2022-11-11,18583216.0,18204926.022803754
