Fecha,srf,srf_arima
2021-10-03,14842786.0,10123342.721476886
2021-10-04,14389080.0,13924292.161602918
2021-10-05,18416096.0,14455784.832194144
2021-10-06,22189850.0,17824035.44421469
2021-10-07,22562974.0,21635024.5683064
2021-10-08,23124330.0,22508116.50680483
2021-10-09,22461132.0,23041798.233214516
2021-10-10,22801600.0,22558636.79672187
2021-10-11,21306544.0,22751543.662178867
2021-10-12,21663402.0,21526350.3494881
2021-10-13,17966558.0,21610935.969118465
2021-10-14,17449814.0,18510075.958034333
2021-10-15,18299944.0,17525786.814570073
2021-10-16,14719013.0,18174956.058484554
2021-10-17,17733856.0,15245489.1794065
2021-10-18,21619764.0,17290607.29619911
2021-10-19,21477860.0,21048449.445945438
2021-10-20,20667036.0,21498723.03136321
2021-10-21,19052504.0,20786245.088835023
2021-10-22,18383168.0,19289875.968041144
2021-10-23,19781854.0,18481575.21868677
2021-10-24,18421746.0,19576216.175236173
2021-10-25,13119927.0,18621712.00420958
2021-10-26,19822094.0,13899411.835375154
2021-10-27,20500930.0,18836726.989045497
2021-10-28,17557352.0,20401126.070875537
2021-10-29,18865442.0,17990123.170185916
2021-10-30,20445262.0,18673123.794058625
2021-10-31,18434240.0,20212993.46487604
2021-11-01,18156052.0,18729904.780824434
2021-11-02,19380162.0,18196951.798235916
2021-11-03,19684920.0,19200190.714327842
2021-11-04,14696955.0,19640113.823203083
2021-11-05,15476270.0,15430296.345089681
2021-11-06,17487062.0,15361693.432131426
2021-11-07,18319216.0,17191431.034270376
2021-11-08,16967784.0,18196870.92867697
2021-11-09,17612218.0,17166474.44002459
2021-11-10,17314110.0,17517471.926925804
2021-11-11,18300684.0,17357938.479490533
2021-11-12,17377598.0,18155635.768067636
2021-11-13,11751957.0,17513312.08958833
2021-11-14,18221992.0,12579050.84246515
2021-11-15,18506748.0,17270753.53507947
2021-11-16,18639252.0,18464882.56027411
2021-11-17,17920386.0,18619770.97685935
2021-11-18,16076871.0,18026075.22584245
2021-11-19,12758330.0,16347908.541320562
2021-11-20,16795230.0,13246229.037117394
2021-11-21,17702816.0,16201716.277270883
2021-11-22,13104952.0,17569380.75375738
2021-11-23,12829541.0,13780939.856831279
2021-11-24,16389689.0,12870032.517721655
2021-11-25,12120946.0,15866268.38196472
2021-11-26,7550642.0,12748545.779361356
2021-11-27,14894256.0,8222577.926340452
2021-11-28,14102426.0,13814582.071137343
2021-11-29,16121440.0,14218842.550092546
2021-11-30,16916894.0,15824600.218142089
2021-12-01,16187762.0,16799944.64163101
2021-12-02,16387193.0,16294960.55524807
2021-12-03,16767205.0,16357872.22533687
2021-12-04,16568496.0,16711334.818226427
2021-12-05,16079763.0,16597710.624669865
2021-12-06,16056798.0,16151617.577088997
2021-12-07,13172115.0,16060174.363705436
2021-12-08,15632348.0,13596227.300582971
2021-12-09,16584647.0,15270639.25155168
2021-12-10,15733435.0,16444637.952304685
2021-12-11,15869286.0,15858582.019483192
2021-12-12,8701591.0,15849312.893718826
2021-12-13,16404633.0,9755400.939021742
2021-12-14,15546168.0,15272115.193326874
2021-12-15,14701296.0,15672381.371146834
2021-12-16,15920385.0,14825510.89904372
