indice,parcela_id,a,b,c,r2,mse,rmse
msi_mean,1,9.0795e-06,-0.0056710307,1.6514181388,0.8836333329,1.2730928925,1.1283141816444566
msi_mean,10,1.11085e-05,-0.0069758056,1.6086982809,0.8950516379,2.0422210907,1.4290630114519094
msi_mean,11,9.9081e-06,-0.0064934771,1.572026053,0.9382824926,2.318053789,1.5225156120710224
msi_mean,13,1.50734e-05,-0.0089795873,1.867702547,0.9122154256,2.305006497,1.518224784740389
msi_mean,14,7.5832e-06,-0.0054867776,1.5456200266,0.876296509,2.083443055,1.4434136811739038
msi_mean,15,1.25807e-05,-0.0076729412,1.6597354959,0.7642709689,2.1021879047,1.4498923769369918
msi_mean,16,1.39088e-05,-0.0067298169,1.5253296996,0.8399850076,1.0532537414,1.0262815117695534
msi_mean,2,6.112e-06,-0.0051620238,1.6430352369,0.7772677652,2.3017717407,1.5171591019731583
msi_mean,3,8.417e-06,-0.0055250409,1.5664414065,0.8094413858,1.7309983496,1.3156741046322984
msi_mean,4,5.2153e-06,-0.0056805048,2.0655731684,0.9227930156,7.9640182048,2.8220592135531106
msi_mean,5,1.26109e-05,-0.0068891449,1.535734007,0.9065834673,1.0594744202,1.029307738336791
msi_mean,6,1.81212e-05,-0.0082569021,1.5060124963,0.9113771789,1.3081441328,1.1437412875296582
msi_mean,7,1.3331e-06,-0.0033707764,1.5402350965,0.8663892273,2.0490615235,1.4314543386011305
msi_mean,8,1.19617e-05,-0.0063022979,1.4948278142,0.9258052802,1.1912203812,1.0914304289326002
msi_mean,9,1.22541e-05,-0.0065277791,1.4619432089,0.9102614001,1.588351272,1.2602980885488957
ndmi_mean,1,-4.2406e-06,0.0026196038,-0.275152728,0.8425169219,0.2632589692,0.513087681785482
ndmi_mean,10,-4.9775e-06,0.0034136384,-0.2728351799,0.9275538363,0.592739745,0.7698959312790269
ndmi_mean,11,-4.6344e-06,0.0032477023,-0.2585057044,0.9501452504,0.680106291,0.8246855709905442
ndmi_mean,13,-7.3186e-06,0.0043360563,-0.3696782426,0.9056849526,0.529138205,0.7274188648914737
ndmi_mean,14,-3.6412e-06,0.0027603953,-0.2420055765,0.8727547894,0.5833216364,0.7637549583472437
ndmi_mean,15,-6.7427e-06,0.0040580909,-0.2970936932,0.7907147558,0.5659294119,0.7522828004813084
ndmi_mean,16,-6.7449e-06,0.0032087063,-0.2249517154,0.8303092817,0.232711178,0.4824014697324211
ndmi_mean,2,-3.0435e-06,0.0026568496,-0.2988077186,0.7638250728,0.6566589763,0.8103449736377711
ndmi_mean,3,-3.5831e-06,0.002426164,-0.2249491158,0.8654960814,0.3635265104,0.6029315967835821
ndmi_mean,4,-2.0482e-06,0.0024322567,-0.4189404272,0.9144743103,1.765494982,1.3287193014327745
ndmi_mean,5,-7.2071e-06,0.0038611339,-0.2647377753,0.8803739203,0.3161123459,0.5622386912157504
ndmi_mean,6,-9.7185e-06,0.0043322532,-0.227582176,0.9279629582,0.3446723783,0.5870880498698641
ndmi_mean,7,1.666e-07,0.0014761596,-0.2304385131,0.8528576481,0.5929426891,0.7700277196958561
ndmi_mean,8,-6.4956e-06,0.0033850801,-0.2423993147,0.8882216107,0.3327684872,0.5768608906833605
ndmi_mean,9,-7.005e-06,0.0036791631,-0.2312684823,0.8897188102,0.4848164391,0.696287612341337
ndre1_mean,1,-4.5452e-06,0.002491956,0.0172177639,0.8028729664,0.1737863765,0.41687693207948073
ndre1_mean,10,-6.4458e-06,0.0036475953,-0.0324548096,0.9690669738,0.4299323515,0.6556922689036374
ndre1_mean,11,-5.0839e-06,0.0031263353,-0.0068068063,0.9699178776,0.4547501412,0.6743516450636122
ndre1_mean,13,-7.078e-06,0.0037684957,-0.0530636676,0.8556576957,0.3059624732,0.5531387467896278
ndre1_mean,14,-4.0424e-06,0.002626822,0.0206791266,0.9074200915,0.3684720945,0.607019023178022
ndre1_mean,15,-7.2043e-06,0.0038376355,-0.0400173835,0.8970616957,0.3761943123,0.6133468124152925
ndre1_mean,16,-6.9266e-06,0.0030631616,0.0447413953,0.8574204016,0.2033916508,0.4509896349141519
ndre1_mean,2,-4.345e-06,0.0029434353,-0.0635206806,0.8708846067,0.4236191249,0.6508602959929266
ndre1_mean,3,-2.4722e-06,0.0015732793,0.1235320811,0.7252438896,0.1288686561,0.3589828075270458
ndre1_mean,4,-1.8008e-06,0.0018835783,-0.0558785787,0.8520326115,0.79359536,0.8908396937721175
ndre1_mean,5,-9.5801e-06,0.004225234,-0.0141294493,0.9418906943,0.21290543,0.461416763891387
ndre1_mean,6,-7.7848e-06,0.0030676879,0.124663537,0.8423818311,0.1534267361,0.39169725056476973
ndre1_mean,7,-3.2129e-06,0.0025057156,-0.0173267506,0.9147207188,0.4300770157,0.6558025737216956
ndre1_mean,8,-7.5188e-06,0.0033801665,0.0240304777,0.9184369511,0.2274103985,0.4768756635644138
ndre1_mean,9,-8.9263e-06,0.0039454899,0.0096887656,0.942431898,0.3424263144,0.5851720382930135
ndre_mean,1,-4.3568e-06,0.0024203701,0.0881114936,0.7951438069,0.1689470267,0.41103166143254705
ndre_mean,10,-6.1828e-06,0.0035538464,0.0492173829,0.9627483413,0.4254201818,0.652242425636358
ndre_mean,11,-4.9502e-06,0.0031361752,0.0511606215,0.9698970391,0.4956876157,0.7040508615860078
ndre_mean,13,-7.0282e-06,0.0037943873,-0.0008019685,0.8332732723,0.3190181796,0.5648169434427406
ndre_mean,14,-4.0151e-06,0.0026547509,0.0896341048,0.9058496246,0.3934126451,0.6272261514796716
ndre_mean,15,-7.286e-06,0.0039370741,0.0102405674,0.8925742116,0.4061694008,0.6373142088483513
ndre_mean,16,-6.5781e-06,0.0030064068,0.0974715987,0.8527392623,0.1960700121,0.4427979359707992
ndre_mean,2,-4.168e-06,0.0029414689,-0.0138774677,0.8626892681,0.4728155935,0.6876158764164771
ndre_mean,3,-2.5911e-06,0.0016500348,0.1765280757,0.7227292961,0.1420051691,0.37683573224947764
ndre_mean,4,-1.8494e-06,0.0019793882,-0.0184799831,0.8603287074,0.9274092658,0.9630209062112827
ndre_mean,5,-9.4767e-06,0.0042780592,0.0429117114,0.9312745325,0.2343234431,0.4840696676099423
ndre_mean,6,-8.2844e-06,0.0033279176,0.168804885,0.8657986203,0.1804964113,0.42484869224230876
ndre_mean,7,-2.4462e-06,0.0022089834,0.0721714144,0.9013611519,0.418167219,0.6466585026116953
ndre_mean,8,-7.3264e-06,0.0033541283,0.088956909,0.9158598096,0.2317045452,0.48135698312167446
ndre_mean,9,-9.1993e-06,0.0041283081,0.0587940045,0.9407149759,0.3894454829,0.6240556729170884
ndvi_mean,1,-5.7587e-06,0.0032906645,0.1677310004,0.8212680179,0.3349590767,0.578756491713052
ndvi_mean,10,-7.5408e-06,0.0044852055,0.111956259,0.9711256919,0.7400566411,0.8602654480449625
ndvi_mean,11,-6.3224e-06,0.004084932,0.1148049425,0.977325831,0.8848688534,0.9406746798973596
ndvi_mean,13,-8.6682e-06,0.0049598513,0.0391552167,0.8836183934,0.6284264378,0.7927335225660638
ndvi_mean,14,-4.7704e-06,0.0032616025,0.1802524609,0.9324227032,0.6451993755,0.803243036384381
ndvi_mean,15,-8.7695e-06,0.004980219,0.0623815706,0.9137456541,0.7270913955,0.8526965436191236
ndvi_mean,16,-9.9518e-06,0.0045988716,0.1558552034,0.8939577934,0.4621295459,0.6798011076042757
ndvi_mean,2,-5.1444e-06,0.0037390656,0.0458438293,0.9170828801,0.8275296159,0.9096865481582104
ndvi_mean,3,-3.1966e-06,0.00217826,0.2839628512,0.7732876284,0.298153905,0.5460347104351517
ndvi_mean,4,-2.1922e-06,0.0024669735,0.0347054791,0.8947798663,1.618866943,1.2723470214528738
ndvi_mean,5,-1.10744e-05,0.0052045694,0.1305136547,0.9502886426,0.3926095378,0.626585618890188
ndvi_mean,6,-1.09952e-05,0.0045390976,0.2665935923,0.9101968813,0.3402291252,0.5832916296330678
ndvi_mean,7,-2.9906e-06,0.0028121821,0.1463681007,0.9315421849,0.7148718649,0.8455009549965038
ndvi_mean,8,-9.593e-06,0.0045358579,0.167121579,0.9367579228,0.4558045711,0.6751330025261689
ndvi_mean,9,-1.15353e-05,0.0053057097,0.1381256463,0.9596583741,0.6870994302,0.8289146097156208
