indice,parcela_id,a,b,c,r2,mse,rmse
ndre1_mean,1,-1.0118e-05,0.0040965434,-0.0465232128,0.886397642,0.2112688459,0.45963990895047396
ndre1_mean,10,-1.06569e-05,0.004692407,-0.0174160436,0.9863179255,0.3008956617,0.5485395716810229
ndre1_mean,11,-1.09543e-05,0.0047516468,-0.0039692028,0.9858013945,0.2959199937,0.5439852881282728
ndre1_mean,13,-7.3335e-06,0.0031176891,0.024507065,0.9485149787,0.1261351595,0.35515512033476304
ndre1_mean,14,-7.119e-06,0.0036105625,-0.0445059992,0.8877723699,0.2919693352,0.5403418688201017
ndre1_mean,15,-1.05925e-05,0.0043282991,0.007565965,0.9903659236,0.2417758446,0.4917070719442624
ndre1_mean,16,-7.7761e-06,0.0029086015,0.0456295683,0.9467334792,0.0916253566,0.30269680639213886
ndre1_mean,2,-1.22653e-05,0.0048134594,0.0009317111,0.9810894294,0.2833788976,0.5323334458776754
ndre1_mean,3,-7.224e-06,0.0030575001,0.0644831429,0.9401926048,0.1301260083,0.36072982729461117
ndre1_mean,4,-7.2473e-06,0.0036945087,-0.0138760403,0.9576856275,0.254712678,0.5046906755627649
ndre1_mean,5,-9.7218e-06,0.0043342781,-0.0117254723,0.9592589369,0.2684203289,0.5180929732200582
ndre1_mean,6,-1.09539e-05,0.0043466065,0.0225464025,0.8954627991,0.164710151,0.40584498395323304
ndre1_mean,7,-9.4074e-06,0.0046070684,-0.0640915304,0.9515098247,0.3696634441,0.6079995428452228
ndre1_mean,8,-1.14069e-05,0.0043863643,0.0247870182,0.8884870945,0.1487291344,0.385654164245636
ndre1_mean,9,-1.22942e-05,0.0047677079,-0.0020881705,0.9038041488,0.1457488147,0.38177063100767716
ndre_mean,1,-9.5763e-06,0.0039318606,0.0239724476,0.8477668181,0.2002462217,0.4474887950552505
ndre_mean,10,-1.07385e-05,0.0047400481,0.0558390928,0.9822307309,0.3088914315,0.5557800207816038
ndre_mean,11,-1.13799e-05,0.0049468168,0.0581055631,0.9834112046,0.3222185094,0.5676429418217054
ndre_mean,13,-6.6679e-06,0.0030038812,0.0736168092,0.9494640871,0.133767583,0.3657425091509052
ndre_mean,14,-7.014e-06,0.0036607965,0.0071468178,0.877266929,0.3258817319,0.5708605187784491
ndre_mean,15,-1.07515e-05,0.0044824865,0.0525705744,0.983359089,0.2725374728,0.5220512166444975
ndre_mean,16,-7.8571e-06,0.0030273725,0.0883108157,0.9558482815,0.1074151575,0.3277425170770494
ndre_mean,2,-1.26207e-05,0.0050311963,0.0436719402,0.9823672338,0.3222212838,0.5676453856061898
ndre_mean,3,-7.0192e-06,0.0030370887,0.1221442636,0.9395373714,0.135299865,0.3678312996469985
ndre_mean,4,-5.9803e-06,0.0033760996,0.0565165677,0.9239782641,0.2581263712,0.5080613852675678
ndre_mean,5,-9.7814e-06,0.0044188033,0.0469539757,0.9436412611,0.2889455212,0.5375365301074896
ndre_mean,6,-1.15273e-05,0.0046142564,0.0699559913,0.8978677263,0.1903023872,0.4362366183620994
ndre_mean,7,-9.5887e-06,0.0047330705,-0.0024181729,0.9437593447,0.3985363069,0.6312973205233807
ndre_mean,8,-1.22158e-05,0.0047478942,0.0666511573,0.8961870626,0.1796079356,0.42380176450788876
ndre_mean,9,-1.31731e-05,0.0051796156,0.0320923858,0.9128562502,0.1794012035,0.42355779239674013
ndvi_mean,1,-1.36498e-05,0.0056733857,0.0617332841,0.8911380893,0.4284711496,0.6545770768977478
ndvi_mean,10,-1.22509e-05,0.0057132977,0.1304593369,0.9843353418,0.5174600669,0.7193469725382877
ndvi_mean,11,-1.27836e-05,0.005871477,0.1367683315,0.983160879,0.515465422,0.7179592063620328
ndvi_mean,13,-1.1078e-05,0.0048765614,0.1306326807,0.9577018525,0.3344449686,0.5783121722737643
ndvi_mean,14,-9.1501e-06,0.0048688176,0.054712655,0.9180698679,0.6087827939,0.7802453421200283
ndvi_mean,15,-1.48794e-05,0.00616216,0.114689929,0.9902136509,0.5066412126,0.7117873366392521
ndvi_mean,16,-1.20075e-05,0.0046166436,0.1643290939,0.9445402873,0.248309331,0.4983064629322
ndvi_mean,2,-1.58543e-05,0.0065132294,0.1124809504,0.9894148678,0.5832068325,0.763679797100853
ndvi_mean,3,-8.8853e-06,0.0040034047,0.2250567049,0.9712947152,0.2594088953,0.5093219956962393
ndvi_mean,4,-9.6217e-06,0.0049226769,0.1132303089,0.9525959355,0.4555167632,0.6749198198304743
ndvi_mean,5,-1.24524e-05,0.0057509321,0.1118576267,0.9621221685,0.5213272413,0.7220299448776345
ndvi_mean,6,-1.46818e-05,0.0060207663,0.1422893664,0.9403603101,0.3486346311,0.5904529033716406
ndvi_mean,7,-1.0879e-05,0.0056435799,0.0642311692,0.9530343978,0.6485426274,0.8053214435242613
ndvi_mean,8,-1.5204e-05,0.0060994481,0.137981833,0.9400877303,0.3276216342,0.5723824195413413
ndvi_mean,9,-1.61592e-05,0.0065216409,0.1073206009,0.9386644204,0.3104803553,0.5572076410997968
