Fecha,srf,dia,reconstruida_srf,ajustados_srf
2020-10-04,23812176.0,278,23441104.20889603,19091827.34325173
2020-10-05,23881270.0,279,23335263.552252147,18995907.8092277
2020-10-06,20367968.0,280,23028528.883818615,18900248.561465032
2020-10-07,23330148.0,281,22592987.31049669,18804878.1781939
2020-10-08,21941034.0,282,22108483.01545464,18709825.151346114
2020-10-09,22640256.0,283,21631295.736237798,18615117.878043156
2020-10-10,22362480.0,284,21178866.930028334,18520784.652112536
2020-10-11,22628824.0,285,20735256.881913684,18426853.655634984
2020-10-12,20160590.0,286,20273317.80812048,18333352.950525064
2020-10-13,16116358.0,287,19782763.736493647,18240310.47014766
2020-10-14,19139346.0,288,19290952.12109103,18147754.010972865
2020-10-15,21001134.0,289,18866110.418292973,18055711.224271785
2020-10-16,14754752.0,290,18599805.51057905,17964209.60785573
2020-10-17,19228070.0,291,18573979.06105466,17873276.4978612
2020-10-18,21531566.0,292,18824614.290030338,17782939.06058323
2020-10-19,21047556.0,293,19316445.762879614,17693224.28435945
2020-10-20,18765500.0,294,19940048.83846627,17604158.971507303
2020-10-21,20757448.0,295,20535103.063884534,17515769.730316848
2020-10-22,20098362.0,296,20934227.605520725,17428082.967101514
2020-10-23,20506426.0,297,21013895.441827875,17341124.87830922
2020-10-24,19098288.0,298,20735459.9086345,17254921.442696184
2020-10-25,21004892.0,299,20161692.82883135,17169498.413565736
2020-10-26,20256550.0,300,19441830.221855525,17084881.311074536
2020-10-27,20038416.0,301,18768482.948170304,17001095.414608408
2020-10-28,17338654.0,302,18319392.584171373,16918165.7552301
2020-10-29,15922278.0,303,18202554.803431075,16836117.108201284
2020-10-30,20744254.0,304,18422672.866011877,16754973.985580906
2020-10-31,20390592.0,305,18880268.001034282,16674760.628902214
2020-11-01,19623354.0,306,19404165.709674872,16595501.00193059
2020-11-02,16972394.0,307,19807000.632831722,16517218.78350437
2020-11-03,20433374.0,308,19945571.46642689,16439937.360460784
2020-11-04,20039422.0,309,19766030.338038646,16363679.820649114
2020-11-05,19046816.0,310,19318738.744554505,16288468.946033219
2020-11-06,17337906.0,311,18737647.09840688,16214327.205885407
2020-11-07,19300922.0,312,18190968.005372673,16141276.750073718
2020-11-08,19196614.0,313,17819735.35148874,16069339.402444664
2020-11-09,18375804.0,314,17685231.98714908,15998536.654303337
2020-11-10,18045506.0,315,17743659.577274527,15928889.657992879
2020-11-11,16080627.0,316,17857570.030167352,15860419.220575204
2020-11-12,17653854.0,317,17841337.403804235,15793145.797614895
2020-11-13,16545656.0,318,17526357.058385085,15727089.487068094
2020-11-14,18439756.0,319,16824594.081384946,15662270.023278225
2020-11-15,15340382.0,320,15768993.908170508,15598706.771080356
2020-11-16,13835002.0,321,14516267.1676514,15536418.720015954
2020-11-17,12090884.0,322,13309469.961731879,15475424.478659747
2020-11-18,14268732.0,323,12410777.482320786,15415742.2690604
2020-11-19,14927921.0,324,12024664.138336502,15357389.92129669
2020-11-20,14438534.0,325,12235136.014730357,15300384.868150752
2020-11-21,4878248.5,326,12976564.505866272,15244744.139900036
2020-11-22,14346561.0,327,14047352.505624622,15190484.359229498
2020-11-23,16663430.0,328,15162460.084708937,15137621.736265577
2020-11-24,17567304.0,329,16028980.129128765,15086172.063733406
2020-11-25,16918038.0,330,16422256.763707487,15036150.712238736
2020-11-26,16726526.0,331,16240529.16396665,14987572.625675963
2020-11-27,16681470.0,332,15523431.019204585,14940452.316763636
2020-11-28,14889498.0,333,14431317.655640526,14894803.86270877
2020-11-29,6501518.5,334,13194421.514440203,14850640.901001282
2020-11-30,8821724.0,335,12049333.342286523,14807976.62533979
2020-12-01,16992624.0,336,11182656.913897624,14766823.781689985
2020-12-02,17161784.0,337,10697432.534771893,14727194.664476769
2020-12-03,10401035.0,338,10608869.689545678,14689101.112911299
2020-12-04,9234271.0,339,10865450.293427827,14652554.507454013
2020-12-05,7869431.0,340,11383299.499085555,14617565.766414717
2020-12-06,5566157.0,341,12078644.184885314,14584145.34269073
2020-12-07,15881754.0,342,12886031.985646524,14552303.22064409
2020-12-08,16426818.0,343,13757409.93548783,14522048.913118716
2020-12-09,16931966.0,344,14646134.060282847,14493391.458598431
2020-12-10,16818292.0,345,15486932.352621503,14466339.418506734
2020-12-11,16303229.0,346,16184996.887719039,14440900.874649059
2020-12-12,15773205.0,347,16623798.697180962,14417083.426798336
2020-12-13,16177480.0,348,16693183.42037004,14394894.190424556
2020-12-14,12015191.0,349,16329881.986128118,14374339.794569021
2020-12-15,16607525.0,350,15555497.157226684,14355426.379863918
2020-12-16,16742161.0,351,14495322.902339417,14338159.596697804
2020-12-17,9170031.0,352,13366147.13715465,14322544.603527546
2020-12-18,14720782.0,353,12431200.75413261,14308586.065337235
2020-12-19,16305513.0,354,11932313.896682773,14296288.15224452
2020-12-20,13007234.0,355,12018858.498761915,14285654.538254779
2020-12-21,9532617.0,356,12696509.280768372,14276688.400163518
2020-12-22,13609161.0,357,13814511.307935491,14269392.416607294
2020-12-23,16250626.0,358,15098951.74689117,14263768.767263476
2020-12-24,13133166.0,359,16224932.880931722,14259819.13219906
2020-12-25,16602989.0,360,16907362.654581327,14257544.691368762
2020-12-26,16275714.0,361,16982909.634217836,14256946.124262484
2020-12-27,16874154.0,362,16457250.039883047,14258023.609702341
2020-12-28,16461623.0,363,15501923.295892484,14260776.82578922
2020-12-29,16360629.0,364,14400825.390710648,14265204.949998952
2020-12-30,16685622.0,365,13462538.508819712,14271306.659428049
2020-12-31,16019317.0,366,12925943.106107602,14279080.13118891
2021-01-01,7707612.0,367,12889024.603386045,14288523.042954415
2021-01-02,5739022.5,368,13283480.750718383,14299632.573651725
2021-01-03,14891481.0,369,13902935.30639239,14312405.40430507
2021-01-04,17137486.0,370,14475102.206134755,14326837.7190273
2021-01-05,15392170.0,371,14753911.063806191,14342925.206159875
2021-01-06,16701973.0,372,14601194.45436073,14360663.059560994
2021-01-07,14120664.0,373,14031214.53495305,14380045.980041403
2021-01-08,16727022.0,374,13203850.02143855,14401068.176947553
2021-01-09,8006659.0,375,12369461.322116666,14423723.369891543
2021-01-10,16851962.0,376,11784514.745461088,14448004.790627401
2021-01-11,6250054.5,377,11626577.66924304,14473905.185073093
2021-01-12,8335735.5,378,11937121.524901107,14501416.815477677
2021-01-13,11883089.0,379,12610817.737253584,14530531.462732974
2021-01-14,14651942.0,380,13434064.46832931,14561240.428829016
2021-01-15,17153006.0,381,14158807.086590935,14593534.53945258
2021-01-16,16966986.0,382,14585989.873897674,14627404.146728024
2021-01-17,15759620.0,383,14630143.72221636,14662839.132099584
2021-01-18,17044536.0,384,14343543.918072198,14699828.909354303
2021-01-19,12553896.0,385,13892582.659895156,14738362.427784668
2021-01-20,3468739.2,386,13495538.332563054,14778428.17549
2021-01-21,14312457.0,387,13344081.92838909,14820014.182815645
2021-01-22,16145469.0,388,13536150.984149331,14863108.025928918
2021-01-23,15110643.0,389,14043503.464608721,14907696.830530718
2021-01-24,14441956.0,390,14724921.71157164,14953767.275701731
2021-01-25,18147396.0,391,15380000.284346445,15001305.597882055
2021-01-26,18353344.0,392,15824282.422750141,15050297.59498309
2021-01-27,17564736.0,393,15959076.390685664,15100728.630630378
2021-01-28,7681163.0,394,15811096.8928583,15152583.638536256
2021-01-29,13630552.0,395,15527458.398683563,15205847.127000906
2021-01-30,18479958.0,396,15326895.319742497,15260503.183540497
2021-01-31,17341996.0,397,15423141.55289528,15316535.479641054
2021-02-01,13584548.0,398,15946067.692491572,15373927.275636595
2021-02-02,18923932.0,399,16887230.576012455,15432661.425710134
2021-02-03,19079780.0,400,18088658.16697369,15492720.383015972
2021-02-04,19180518.0,401,19279671.441372547,15554086.204921842
2021-02-05,19413842.0,402,20151040.692600638,15616740.558369264
2021-02-06,19416226.0,403,20443881.81023039,15680664.725350562
2021-02-07,18804830.0,404,20026198.590930637,15745839.608500866
2021-02-08,19625018.0,405,18934125.203197982,15812245.73680346
2021-02-09,18057006.0,406,17366124.531645052,15879863.27140676
2021-02-10,17603214.0,407,15632845.78944618,15948672.011551164
2021-02-11,15954106.0,408,14078359.543103447,16018651.400604047
2021-02-12,8285393.5,409,12996085.2992387,16089780.532201048
2021-02-13,10282143.0,410,12562868.980182713,16162038.15649187
2021-02-14,15385038.0,411,12807804.980717514,16235402.68648867
