Fecha,SRF,Dia,Reconstruida,Ajustados
2020-03-15,15293389.0,75,18121859.346685007,18514168.449673656
2020-03-16,15583127.0,76,17631595.56398095,18608637.45624122
2020-03-17,19732902.0,77,17470315.899431195,18703473.172116548
2020-03-18,17861206.0,78,17758404.995975874,18798647.2557032
2020-03-19,23082452.0,79,18484228.08951552,18894131.26428377
2020-03-20,16479040.0,80,19520301.859529763,18989896.662519943
2020-03-21,17468256.0,81,20675488.638399623,19085914.830980282
2020-03-22,19463146.0,82,21760217.460307203,19182157.074693117
2020-03-23,24466536.0,83,22639043.502035744,19278594.63172202
2020-03-24,24622860.0,84,23252286.88541815,19375198.68176131
2020-03-25,25202458.0,85,23602696.211551696,19471940.354748957
2020-03-26,25278404.0,86,23718171.26131665,19568790.7394944
2020-03-27,25016316.0,87,23611435.11233002,19665720.892318632
2020-03-28,24156920.0,88,23258208.243048865,19762701.84570402
2020-03-29,16727299.0,89,22606649.507060744,19859704.616951186
2020-03-30,18307026.0,90,21616154.204017323,19956700.21684052
2020-03-31,19144460.0,91,20309054.857618313,20053659.658295564
2020-04-01,21484516.0,92,18810490.123986557,20150553.965045776
2020-04-02,23622256.0,93,17353519.192977805,20247354.18028609
2020-04-03,15979216.0,94,16238399.866704427,20344031.37533063
2020-04-04,17659782.0,95,15752742.163147824,20440556.658258032
2020-04-05,11579288.0,96,16076327.382206948,20536901.18254577
2020-04-06,15963156.0,97,17203946.292828485,20633036.155690935
2020-04-07,17228526.0,98,18917330.763182368,20728932.847814847
2020-04-08,22725070.0,99,20823036.054147266,20824562.60024897
2020-04-09,24324466.0,100,22451357.39718702,20919896.834099527
2020-04-10,19489298.0,101,23389475.9740939,21014907.058788296
2020-04-11,22014226.0,102,23407928.95359222,21109564.880566992
2020-04-12,25487738.0,103,22538688.892752476,21203842.011002734
2020-04-13,26742332.0,104,21076637.333774254,21297710.275432013
2020-04-14,26007926.0,105,19500026.232194796,21391141.621380683
2020-04-15,7747483.5,106,18331873.277980644,21484108.126947418
2020-04-16,8709733.0,107,17984226.300590836,21576582.009148166
2020-04-17,24865154.0,108,18633897.76720436,21668535.63221906
2020-04-18,19834972.0,109,20169061.973987926,21759941.515875373
2020-04-19,26303590.0,110,22223839.818022516,21850772.343523964
2020-04-20,25063480.0,111,24289947.56467046,21941000.970426828
2020-04-21,26112090.0,112,25869939.643626668,22030600.431813303
2020-04-22,25714798.0,113,26623654.672979046,22119543.950938445
2020-04-23,25230238.0,114,26462376.732989356,22207804.94708527
2020-04-24,26388590.0,115,25562816.40394546,22295357.043508373
2020-04-25,24857594.0,116,24299266.134695373,22382174.075316597
2020-04-26,16663529.0,117,23118370.831232816,22468230.097292412
2020-04-27,24371864.0,118,22398301.00661659,22553499.391645607
2020-04-28,26921082.0,119,22337287.516500074,22637956.47569905
2020-04-29,24726746.0,120,22904938.63965956,22721576.109504163
2020-04-30,18975096.0,121,23867912.958860558,22804333.30338388
2020-05-01,26422908.0,122,24877045.333478212,22886203.32540077
2020-05-02,26766446.0,123,25584147.77611962,22967161.70874819
2020-05-03,25799450.0,124,25749387.944027577,23047184.259062164
2020-05-04,26077214.0,125,25306135.570999242,23126247.06165184
2020-05-05,21684944.0,126,24366608.61663947,23204326.488646403
2020-05-06,19311902.0,127,23172306.9165666,23281399.20605624
2020-05-07,24055244.0,128,22010805.609558843,23357442.180746295
2020-05-08,24565526.0,129,21129251.450552788,23432432.687319487
2020-05-09,20159996.0,130,20672578.19862342,23506348.31490821
2020-05-10,23229800.0,131,20662794.703222018,23579166.97387179
2020-05-11,20582454.0,132,21019624.169687323,23650866.90239796
2020-05-12,20606414.0,133,21608400.354354806,23721426.673006378
2020-05-13,19117964.0,134,22293475.627471767,23790825.198952194
2020-05-14,21709530.0,135,22976633.70259059,23859041.740527835
2020-05-15,24166102.0,136,23608831.12543342,23926055.911261037
2020-05-16,25628788.0,137,24175966.65235891,23991847.684007343
2020-05-17,25358376.0,138,24670190.477702413,24056397.396935195
2020-05-18,26443206.0,139,25063360.65242955,24119685.75940185
2020-05-19,27460410.0,140,25296972.72769861,24181693.857718408
2020-05-20,25666858.0,141,25294583.995252818,24242403.16080212
2020-05-21,20476632.0,142,24992123.091854583,24301795.52571442
2020-05-22,22338326.0,143,24373007.686188407,24359853.203082908
2020-05-23,22980790.0,144,23492159.58154991,24416558.842405766
2020-05-24,24180402.0,145,22476911.20103232,24471895.497236915
2020-05-25,24219412.0,146,21501792.428164426,24525846.630250476
2020-05-26,21912364.0,147,20744587.783046898,24578396.118182916
2020-05-27,19177422.0,148,20338647.408917643,24629528.2566515
2020-05-28,21392538.0,149,20338171.90081959,24679227.764847517
2020-05-29,15638787.0,150,20708392.967469063,24727479.79010296
2020-05-30,23385112.0,151,21343183.346434094,24774269.912329204
2020-05-31,24148152.0,152,22102417.783629164,24819584.14832648
2020-06-01,22115506.0,153,22854440.372118097,24863408.955962718
2020-06-02,22555226.0,154,23508002.63853892,24905731.238220617
2020-06-03,24418838.0,155,24023314.73867364,24946538.34711168
2020-06-04,24260936.0,156,24401135.378197014,24985818.08745605
2020-06-05,24578934.0,157,24658208.15533927,25023558.720527053
2020-06-06,23694642.0,158,24802873.34912527,25059748.96755927
2020-06-07,25756650.0,159,24823965.703352574,25094378.013119232
2020-06-08,26802646.0,160,24699370.65643271,25127435.508337583
2020-06-09,27206646.0,161,24420651.56606024,25158911.574001838
2020-06-10,21985168.0,162,24021273.80785709,25188796.803508773
2020-06-11,15815482.0,163,23592195.61946826,25217082.265675604
2020-06-12,26639468.0,164,23272079.13723495,25243759.50740903
2020-06-13,24588352.0,165,23209263.279387183,25268820.556231476
2020-06-14,23040962.0,166,23505306.81035725,25292257.922663625
2020-06-15,27557050.0,167,24160232.639804542,25314064.602462675
2020-06-16,24434674.0,168,25042943.841509424,25334234.078715533
2020-06-17,26261184.0,169,25904397.374586444,25352760.323786404
2020-06-18,24912738.0,170,26437263.791456945,25369637.801118128
2020-06-19,24742772.0,171,26368506.438934363,25384861.466886796
2020-06-20,25005322.0,172,25556901.84186239,25398426.771509085
2020-06-21,24799062.0,173,24061803.424096733,25410329.661001906
2020-06-22,21356594.0,174,22155465.722461596,25420566.57819391
2020-06-23,24673608.0,175,20267912.318310745,25429134.463788584
2020-06-24,18711214.0,176,18875541.372932434,25436030.757278487
2020-06-25,14476290.0,177,18364895.54902555,25441253.397710472
2020-06-26,17264102.0,178,18913935.430901997,25444800.824301604
2020-06-27,23525164.0,179,20430261.074107483,25446671.976905588
2020-06-28,24351744.0,180,22569176.127704736,25446866.296329595
2020-06-29,25976354.0,181,24829264.771684255,25445383.724501383
2020-06-30,25140130.0,182,26697530.81594639,25442224.704486646
2020-07-01,25122510.0,183,27798922.023008272,25437390.180356614
2020-07-02,26687814.0,184,28002458.229784943,25430881.5969059
2020-07-03,26883500.0,185,27449577.90698871,25422700.899220735
2020-07-04,28450596.0,186,26495595.55119286,25412850.53209769
2020-07-05,28460508.0,187,25583973.7906256,25401333.439313024
2020-07-06,26060434.0,188,25095675.408428233,25388153.06274297
2020-07-07,25068010.0,189,25224324.074451737,25373313.341335107
2020-07-08,24547832.0,190,25919133.96865848,25356818.70993121
2020-07-09,25577118.0,191,26914336.655692372,25338674.097941924
2020-07-10,26514282.0,192,27833962.72369363,25318884.927873578
2020-07-11,27570362.0,193,28334575.738116845,25297457.113707703
2020-07-12,28659364.0,194,28235060.289386652,25274397.059133623
2020-07-13,28650874.0,195,27586692.67157464,25249711.655634727
2020-07-14,28105018.0,196,26657282.848429877,25223408.280428942
2020-07-15,27337726.0,197,25833258.125962168,25195494.794264067
2020-07-16,24305072.0,198,25472844.610180248,25165979.53906859
2020-07-17,26718938.0,199,25761795.050252415,25134871.335458703
2020-07-18,25714078.0,200,26623861.227839254,25102179.480102275
