Fecha,rh12,rh12_arima
2020-05-19,37.75885,36.552172587611665
2020-05-20,42.662594,37.684291333923724
2020-05-21,46.40059,41.45178259643805
2020-05-22,48.70974,45.47762008491697
2020-05-23,46.391098,48.139574601370896
2020-05-24,52.588264,46.9636071224945
2020-05-25,49.44571,51.05808639232587
2020-05-26,49.440895,50.221655934271695
2020-05-27,54.099216,49.4420838991163
2020-05-28,44.864967,52.949003389339225
2020-05-29,59.77823,47.14504809569556
2020-05-30,38.351826,56.09591116265482
2020-05-31,41.173298,43.64234163469164
2020-06-01,50.582268,40.47663225390259
2020-06-02,48.061886,48.25904554553006
2020-06-03,44.849213,48.684207896683894
2020-06-04,43.521023,45.642472416542866
2020-06-05,44.15605,43.848973969319964
2020-06-06,42.12666,43.99925186103318
2020-06-07,38.970234,42.627748261188714
