Fecha,et
2021-05-24,5.748425
2021-05-25,5.618233
2021-05-26,5.5661144
2021-05-27,6.210229
2021-05-28,6.409024
2021-05-29,4.7520466
2021-05-30,4.464082
2021-05-31,5.1598034
2021-06-01,4.4496565
2021-06-02,4.176795
2021-06-03,3.0414643
2021-06-04,3.912403
2021-06-05,5.4616895
2021-06-06,6.3723803
2021-06-07,6.506286
2021-06-08,6.2474055
2021-06-09,6.032467
2021-06-10,5.5472016
2021-06-11,5.98397
2021-06-12,4.783523
2021-06-13,4.437549
2021-06-14,5.2713323
2021-06-15,5.317018
2021-06-16,5.567037
2021-06-17,5.103854
2021-06-18,4.96843
2021-06-19,3.8556678
2021-06-20,6.157268
2021-06-21,5.730916
2021-06-22,3.723146
2021-06-23,5.0029893
2021-06-24,5.539581
2021-06-25,5.572151
2021-06-26,5.734699
2021-06-27,5.0747995
2021-06-28,4.0233893
2021-06-29,4.0409913
2021-06-30,2.3789592
2021-07-01,4.4988112
2021-07-02,4.872607
2021-07-03,4.9397426
2021-07-04,5.426115
2021-07-05,4.8952265
2021-07-06,3.9778645
2021-07-07,1.7403594
2021-07-08,3.4582086
2021-07-09,2.6965654
2021-07-10,4.609235
2021-07-11,4.8617682
2021-07-12,4.7521915
2021-07-13,3.9138758
2021-07-14,4.992454
2021-07-15,4.705769
2021-07-16,5.008846
2021-07-17,5.390807
2021-07-18,5.325853
2021-07-19,5.4951825
2021-07-20,5.739239
2021-07-21,5.166896
2021-07-22,4.825947
2021-07-23,5.495728
2021-07-24,6.332074
2021-07-25,6.0362234
2021-07-26,5.9732695
2021-07-27,5.4820657
2021-07-28,4.988669
2021-07-29,4.6881933
2021-07-30,4.7509904
2021-07-31,5.579784
2021-08-01,6.01203
2021-08-02,5.795232
2021-08-03,5.245101
2021-08-04,4.8548484
2021-08-05,5.3552055
2021-08-06,5.8200607
2021-08-07,5.833863
2021-08-08,5.4782367
2021-08-09,5.6370554
2021-08-10,5.7632957
2021-08-11,5.7559476
2021-08-12,5.976062
2021-08-13,6.089225
2021-08-14,5.678198
2021-08-15,5.3517942
2021-08-16,5.5587935
2021-08-17,5.6337633
2021-08-18,5.930722
2021-08-19,5.8962092
2021-08-20,5.0609417
2021-08-21,3.2407985
2021-08-22,4.166118
2021-08-23,5.2102523
2021-08-24,5.104414
2021-08-25,4.946959
2021-08-26,5.1189785
2021-08-27,5.6315036
2021-08-28,5.521672
