Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndre,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts
9,2023-09-29,47.0,0.320661714,0.3354133831,0.5806704783000001,0.14357163970000003,0.19265342980000003,-0.1712554734,1.471762874,303.72626,1368,303.9699801215166,299.2838677169059,21187268.0,1368,22034522.13114481,18635393.639078915,0.31,70.48000000000002,4.715816,1368,4.637506122553105,3.954240639224452,249.93240079999998,213.8764568535659,41.292576,37.98837110969974
9,2023-09-30,48.0,0.32537084180000003,0.3385665767,0.6010471420000003,0.14733315700000002,0.19673968940000003,-0.1666784931,1.4621716847,303.83762,1369,304.2623948250685,299.19516285851023,22065434.0,1369,22130787.636497807,18542284.71008176,0.74,71.22000000000001,4.6096554,1369,4.666023334390838,3.928933192708499,254.5420562,217.80539004627443,43.814053,41.58878227985945
9,2023-10-01,49.0,0.330051002,0.34170130109999997,0.6212895351000001,0.1510704373,0.2008003338,-0.16212476499999995,1.452630059,304.28238,1370,304.4374144186224,299.10644870410016,21676050.0,1370,22128680.43941969,18449571.735558715,0.26,71.48000000000002,4.708951,1370,4.726992764179924,3.9037596144407622,259.2510072,221.70914966071518,44.022945,43.72433126926392
9,2023-10-02,50.0,0.3347021946,0.3448175563,0.6413976576000002,0.15478348060000002,0.20483536300000005,-0.15759428909999995,1.4431379969,304.19235,1371,304.3479057577632,299.0177518581224,22195600.0,1371,21800934.46303657,18357282.783671,1.1,72.58000000000001,4.7830024,1371,4.767342715744928,3.878727444073165,264.0340096,225.58787710478836,46.343307,51.06789402553091
9,2023-10-03,51.0,0.3393244196,0.3479153423,0.6613715095000001,0.15847228689999998,0.208844777,-0.1530870654,1.4336954983999999,304.0212,1372,303.9052840630073,298.929098919833,21094514.0,1372,20955016.193972036,18265445.7942101,2.77,75.35000000000001,4.538039,1372,4.733783060422558,3.85384417890502,268.5720486,229.44172128369337,45.140846,44.16290480226432
9,2023-10-04,52.0,0.34391767700000003,0.3509946591,0.6812110908000002,0.1621368562,0.2128285758,-0.14860309389999998,1.4243025635,303.59824,1373,303.1180784153565,298.8405164753205,21093764.0,1373,19507472.30148924,18174088.57013925,0.94,76.29,4.7192397,1373,4.590492664408153,3.829117271637572,273.2912883,233.27083855533095,51.576244,47.81796401406305
9,2023-10-05,53.0,0.3484819668,0.35405550669999997,0.7009164015,0.16577718850000003,0.21678675940000003,-0.1441423746,1.4149591922,303.74026,1374,302.1001405753948,298.75203108953326,22641766.0,1374,17534616.345342476,18083238.7691763,1.26,77.55000000000001,5.135801,1374,4.331897974879412,3.804554128141841,278.42708930000003,237.07539268347278,46.81989,45.67840857139737
9,2023-10-06,54.0,0.353017289,0.35709788509999996,0.7204874416000002,0.1693932838,0.2207193278,-0.13970490749999998,1.4056653844999998,300.6833,1375,301.04361773530394,298.66366929831264,14098582.0,1375,15280844.333230916,17992923.895420574,0.58,78.13000000000001,3.3900647,1375,3.986678076406471,3.7801621052405303,281.817154,240.8555547887133,50.431858,46.8827710688066
9,2023-10-07,55.0,0.3575236436,0.3601217943,0.7399242111000002,0.17298514210000002,0.224626281,-0.13529069259999998,1.3964211404,300.1493,1376,300.1636608209261,298.5754576004352,7140914.5,1376,13117564.92479017,17903171.291026127,0.57,78.7,4.088766,1376,3.61181273924032,3.7559485085045865,285.90592000000004,244.6115032972179,44.39168,47.04589664464009
9,2023-10-08,56.0,0.3620010306,0.3631272343,0.7592267100000001,0.17655276340000003,0.22850761900000002,-0.13089972989999998,1.3872264599,297.69815,1377,299.6318685053077,298.48742244966616,7217039.5,1377,11460401.636277642,17814008.12792418,0.2,78.9,2.7235863,1377,3.278425356497409,3.731920590065161,288.62950630000006,248.34342388728305,52.935608,46.265653144120165
