Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,ndwi_mean,ndwi_min,ndwi_max,cire_mean,cire_min,cire_max,ndre1_mean,ndre1_min,ndre1_max,dia,ndvi_mean_pred,ndmi_mean_pred,msi_mean_pred,gndvi_mean_pred,cire_mean_pred
113,2022-05-01,7,0.4627276656186885,0.3383873190902826,0.5897862892034416,-0.0265797707210112,-0.1479881791316208,0.1170046801872074,1.059068380751364,0.7905027932960894,1.347385272145144,0.42550176390821,0.337615988579586,0.5112071293545773,2.099124960024171,1.1722222222222225,3.255711775043937,-0.42550176390821,-0.5112071293545773,-0.337615988579586,0.9264691107218134,0.6120887528691661,1.4908616187989554,0.2563880128138235,0.1806052717214448,0.3577417551704863,91,0.45208590869725135,-0.005964114243572016,0.9540618837478414,0.43172626016902693,0.9368754399704861
114,2022-05-11,7,0.5076062383944613,0.3566621803499327,0.6305290546400694,0.0132068885935617,-0.0966554157717091,0.1316142495155761,0.9772986074354444,0.7673867228661749,1.2139945652173914,0.4731563478602926,0.3689452240832956,0.5598839618731869,1.9913239214846288,1.191784784495227,2.776954035162042,-0.4731563478602926,-0.5598839618731869,-0.3689452240832956,1.152090925222185,0.6717144402379664,1.795918367346939,0.2964911281318771,0.1952121871599564,0.3926516157591855,101,0.49388424472720616,0.04090299805026543,0.832710667364883,0.45162284172933354,1.1179186261541996
115,2022-05-16,7,0.5329268988982281,0.2639507018144471,0.6625341458289556,0.0576412729390314,-0.0732454796199816,0.1828374943937808,0.8941875744845289,0.6908493427704753,1.158068783068783,0.4966834984827562,0.3161200279134682,0.5874799357945425,2.1400386853946847,0.7902829028290282,6.0792741165234,-0.4966834984827562,-0.5874799357945425,-0.3161200279134682,1.271627136624269,0.38801261829653,1.9312741312741315,0.3105580554256645,0.1246116672419744,0.4015711645101663,106,0.5147876948357296,0.0632498775039223,0.78181585592902,0.46296144873431855,1.2132921025015444
116,2022-05-21,7,0.5440832269355033,0.4155495978552279,0.6437864513234635,0.0728472100467998,-0.0564663023679417,0.1873792659368963,0.867252223645451,0.6843817787418656,1.1196911196911197,0.4876103241312128,0.4005305039787798,0.5670810115730819,2.4448937331258374,1.54169360051713,3.2918610679108347,-0.4876103241312128,-0.5670810115730819,-0.4005305039787798,1.2784737505856325,0.7247365158090515,1.925984251968504,0.3193763972381811,0.1995037220843672,0.401930774664469,111,0.535580333785043,0.08471298783130976,0.7377456093544321,0.47515765347592076,1.3113349456846044
118,2022-06-05,7,0.6504480478056268,0.4964705882352941,0.7587221521647751,0.1373297862280248,-0.0089011166855478,0.2759987801158889,0.7617327787567725,0.5673996175908221,1.01796211626388,0.5682506837024561,0.4646038443506798,0.6590007930214116,2.328844282237148,1.5765092647937835,2.923524688879968,-0.5682506837024561,-0.6590007930214116,-0.4646038443506798,1.811112537321716,0.9942233632862644,2.773480662983425,0.39522650075923,0.2603845240920959,0.494413407821229,126,0.5963053308346618,0.14316473338276614,0.64508340073818,0.5158332878106804,1.6166707867848866
119,2022-06-10,7,0.6700731841780617,0.5009560229445507,0.7813696299447044,0.1526209582450634,-0.0008099789405475,0.2822299651567944,0.7386326197248941,0.5597826086956522,1.001621271076524,0.5824541863919556,0.4625882352941176,0.6753760886777513,2.0484899592315715,1.3862433862433865,2.5369424112691616,-0.5824541863919556,-0.6753760886777513,-0.4625882352941176,1.8026110096679315,0.961128526645768,2.7722323049001814,0.4017761883840018,0.259860788863109,0.5032679738562091,131,0.6156492640424085,0.1605857548705898,0.6261161538535376,0.5302936166000269,1.720458718581087
120,2022-06-25,7,0.7088442219280903,0.5637975274084441,0.8026342451874366,0.1962973886963128,0.0440478139839528,0.3871582962492053,0.6753923774437102,0.4417965169569202,0.915621079046424,0.6077443847583941,0.5017921146953405,0.6886864085041762,2.6624315712159885,1.8624187668410208,6.25,-0.6077443847583941,-0.6886864085041762,-0.5017921146953405,2.300139846532694,1.19510582010582,3.3170466883821934,0.4465959195617753,0.299837925445705,0.5312977099236641,146,0.66955100807869,0.2068429227789097,0.5966527075333232,0.5741019995020142,2.030143118884178
122,2022-07-05,7,0.6968338322886596,0.5671232876712329,0.7793910062512603,0.2188096262249336,0.0784893267651888,0.3256308908482822,0.6432986720396051,0.5087155963302752,0.8544457978075518,0.6045819431727789,0.5064220183486239,0.6687402799377916,2.7927200152199694,2.0693102299233592,3.3924375133518483,-0.6045819431727789,-0.6687402799377916,-0.5064220183486239,2.296891054031491,1.1883378016085793,3.0831792975970425,0.4394914754020018,0.2879980911476974,0.5046082949308756,156,0.7011221758713329,0.23309069767904234,0.5926454090781306,0.6019635327497319,2.2295271719476872
123,2022-07-10,7,0.7234649875124409,0.5870599429115129,0.8051282051282052,0.2345057227571768,0.0864345738295318,0.3386505024724836,0.6224838239683175,0.4940419447092469,0.8408839779005525,0.6325905074522317,0.531328896029378,0.7051070840197694,2.1952410595963787,1.6527143581938102,2.613636363636364,-0.6325905074522317,-0.7051070840197694,-0.531328896029378,2.331597343051625,1.2232081911262798,3.321572580645161,0.4511757768053888,0.297698945349952,0.5287410926365795,161,0.7153638726949003,0.24499826747241915,0.593094981276451,0.6150046358101502,2.325400565683374
125,2022-07-20,7,0.717465231485535,0.5900046274872744,0.785232153814686,0.2623076519359384,0.1269268612659888,0.3594771241830065,0.5863821172091152,0.4711538461538461,0.7747380675203726,0.6281141584120262,0.5291499777481086,0.6888217522658611,2.399170146577588,1.8679138321995463,2.808667211774325,-0.6281141584120262,-0.6888217522658611,-0.5291499777481086,2.321306377913444,1.3660220994475138,3.108356290174472,0.446297669589397,0.3169811320754717,0.511768661735037,171,0.740469917376311,0.2666744905012779,0.5953753340248014,0.6385989739886035,2.5067615690002576
127,2022-07-30,7,0.7614487930979287,0.638,0.8089602704987321,0.3067577398336203,0.1650253655625186,0.3870047543581617,0.5321515044263688,0.4419561243144424,0.7167008196721312,0.6607510882841898,0.5674641148325359,0.7113154738104758,2.310506295028703,1.8888888888888888,2.6592282659228266,-0.6607510882841898,-0.7113154738104758,-0.5674641148325359,2.6547817517699426,1.3853868194842405,3.324949698189135,0.4816756464449133,0.3338105464089716,0.5279031109000237,181,0.7608269983716198,0.28587296901028303,0.5953907843403172,0.6581099676581239,2.6707889911716727
128,2022-08-09,7,0.8049889527860585,0.7035096909376637,0.8430717863105175,0.3459752203698087,0.2186621697582911,0.4036780223093156,0.4868830531313014,0.424828178694158,0.6411439114391144,0.6850603974445717,0.610236220472441,0.7260700389105058,2.455646287605377,2.0892968263845675,2.844671884406984,-0.6850603974445717,-0.7260700389105058,-0.610236220472441,3.0035936315770946,1.5818463925523665,3.643298969072165,0.5150279772361417,0.361723198811587,0.5596913300045393,191,0.7763220813902274,0.30298099403880663,0.5892213774371129,0.672878948824577,2.8136003325042385
129,2022-08-14,7,0.7621171039260175,0.3834788448623237,0.8159600074060359,0.3325083250783784,-0.0785059270856631,0.4689725330620549,0.5035289402999699,0.3614958448753462,1.170388349514563,0.6470215729680036,0.4496833216045038,0.6998266897746968,3.147582597645358,0.6279555702188497,6.61437908496732,-0.6470215729680036,-0.6998266897746968,-0.4496833216045038,2.954958330161468,1.0237079184447606,3.568118628359592,0.4935597180252377,0.2506661929294724,0.5330015148236312,196,0.7822695171492562,0.3108439894120387,0.5829686316180869,0.6783697022750026,2.875952943771674
130,2022-08-19,7,0.767493955417124,0.6666666666666666,0.8062838569880824,0.3277850846727799,0.1625158294639088,0.5309108069844266,0.5075411461120242,0.3064118372379778,0.7204066811909949,0.6568771642035524,0.5161086544535691,0.6985519069957169,2.763344544835619,2.341024198086662,6.634214186369958,-0.6568771642035524,-0.6985519069957169,-0.5161086544535691,2.768946684694725,1.732824427480916,3.3168421052631576,0.4919551400965766,0.385259092372063,0.5296017222820237,201,0.7870557864775831,0.3182799627630839,0.5743427149627962,0.682580060733688,2.9317478174418277
131,2022-08-24,7,0.7700579317011312,0.6913451511991658,0.8164419312744672,0.3314993974334826,0.1695618754803997,0.3939494131261365,0.5028708674914896,0.4347722960151802,0.7100420609884333,0.6613366188634899,0.5909759686120647,0.7086743044189853,2.86560199835466,2.4603405617814,3.33152370611654,-0.6613366188634899,-0.7086743044189853,-0.5909759686120647,2.967398483357688,1.6708955223880595,3.5561613958560523,0.5001211978696052,0.3659806008989827,0.5368738988170149,206,0.790726084820804,0.32530311675782286,0.5632734663257821,0.6855242918094788,2.9806372666146945
132,2022-09-13,7,0.795487412416205,0.6983606557377049,0.8332958885643675,0.3444522854063881,0.2215450502388403,0.4084995663486557,0.4884232971716207,0.4199507389162561,0.6372707659115426,0.6782454018779931,0.6044738179969497,0.7210682492581603,2.7577424243304822,2.231715652768284,3.135039717563989,-0.6782454018779931,-0.7210682492581603,-0.6044738179969497,3.047240109299298,2.034548944337812,3.9170731707317072,0.5131903764172996,0.4282578875171468,0.5627832577979206,226,0.795557324773748,0.349226969985466,0.4966903870269732,0.6856746763229218,3.1015821898958578
