parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,ndre_max_pred,ndre_mean_pred,ndmi_mean_pred,msi_mean_pred,lluvia_acum_pred,etc_acum_pred
7,0.7887253832,0.5445686587,0.6767574776,0.5178565276,2.4323534117,1.4969182942,0.4712202434,0.3094343946,0.5619064216,0.3799943536,0.0674113581,0.9477589857,865.94,1319.78008494553,80,69.60389255217468,63.385596737117595,71.77676771532357,64.6582899925868,69.42469138843049,65.85356331110911,68.28032962461938,63.96624967439854,69.71909371121161,64.0190884285036,62.899384230748886,63.37211612999471,73.76203457032253,64.68031328484243
8,0.7032923154,0.55747560565,0.5876042653,0.51255300235,1.7634755991,1.2134124929,0.4039286902,0.29350554515,0.4728485473,0.36414172115,0.0873368675499999,0.873303381,891.9,1459.82156049656,80,62.14922645829239,64.18308380053023,60.87189495596084,63.95557303319407,61.10982066926876,61.28915126795076,61.39794702928373,62.45150688718823,61.26620849756433,62.431337450677816,63.94633861031967,69.9496833766681,74.7934232978389,67.17674237094367
9,0.7482215073,0.5839626207,0.6296790798,0.5274512692,2.1233070154,1.4342724828,0.4456726152,0.3224883692,0.5219509421,0.3936523933,0.1313672958,0.8091424439,890.03,1443.49631598757,70,66.06963025634565,65.81964835236565,66.01832195123681,65.92959300812555,65.58291224274662,64.84497267664442,65.66739318141977,65.2076082503487,65.92673863284953,65.38703573676648,66.25984782354156,69.76610530787451,74.71912834712799,66.88572276357665
1,0.6512525625,0.497295015833333,0.5667661228,0.474493820266667,1.5270857154,1.0396701337,0.368123682,0.257175124266667,0.4275598631,0.3210277644,-0.0046570701333332,1.06770365116667,653.77,1155.53779247926,60,57.60837370106947,60.464679902749154,58.32305474435617,58.91273238478309,58.17124013145293,58.491918501979754,57.73591585979766,58.99669094696077,56.96765486568496,58.11317595897234,59.112662653716825,37.43424645977564,65.3325374086449,61.75247184024601
10,0.7965685909,0.629578321533333,0.6600610961,0.5682260822,2.5858456834,1.78172892095,0.4991195364,0.36583675325,0.5789106444,0.4441754819,0.17911959395,0.739835725166667,658.18,1416.69398940101,75,70.2882703465592,68.63812521168856,69.73453153445992,71.33225468323819,71.33276543653646,70.43898289968942,71.1337874426412,69.32979248487669,71.3330413223066,70.44727311881897,68.76891680409466,63.481591730887686,65.50774635657814,66.40793496962064
11,0.8109556015,0.6410295244,0.6749039001,0.571797406683333,2.7319613357,1.88613820345,0.5113111201,0.376820118783333,0.5956966976,0.45562673275,0.199270314216667,0.710449983266667,658.18,1440.54271596961,75,71.5436432703458,69.34566559145905,71.55004535428176,71.80545508554279,73.14914017050755,72.11996079952516,72.38070684747457,70.37424794119406,72.92628147097449,71.59419523360097,69.82770452983047,58.90881886355172,65.50774635657814,66.83307084053364
13,0.6673009887,0.5330805696,0.5558404663,0.47366437205,1.3487218845,1.02690625375,0.3558612818,0.2734028801,0.4119276417,0.32673406575,0.06872670675,0.89737732925,650.7,1062.85012345549,50,59.00871740560997,62.675777251837886,56.98667110913627,58.80283051738085,55.95398584827815,58.28642144656126,56.48175355115413,60.53985802744009,55.48393010617181,58.68470157636158,62.96849714518832,68.6209624939366,65.21056655373444,60.10018852943822
14,0.702393661,0.53956151625,0.6035515392,0.49983567775,1.895898854,1.3308196804,0.4132874718,0.29926022555,0.4848140103,0.36535006905,0.0854472288499999,0.8963524354,657.65,1309.51407507601,65,62.070812225275716,63.07621828038355,62.82250322067512,62.27052785036547,62.7559841747139,63.17939400062513,62.355135748140455,62.9987441911732,62.40190465090429,62.552361865129484,63.84705053350859,68.69307252291962,65.48668949889003,64.49730774640726
15,0.7526896384,0.5938866281,0.6183222841,0.52181216755,2.0395822439,1.49268546983333,0.4497215014,0.339724348933333,0.5197748704,0.403409662733333,0.149974955816667,0.780777043,599.52,1139.88011961922,50,66.45950769223694,66.43282725124624,64.62920305279665,65.18241218435283,64.5421232706804,65.78541530698641,66.08150138056554,66.84665167677579,65.72019783630185,66.36429387559906,67.23755788896796,67.95811410544805,63.17718923962471,61.47335260221557
16,0.6080801851,0.493257906,0.5470376403,0.466808726966667,1.164440696,0.891223027466667,0.3176156079,0.245579343033333,0.3799245903,0.304587600433333,-0.0211438472,1.06824786703333,610.53,996.351545628944,30,53.84126494232173,60.2152372670793,55.909943810407086,57.89445771994098,53.66317244486317,56.101936510935985,52.57009825596556,57.893998248382886,52.44637590788286,56.46657962892927,58.246391028478456,37.27341717016077,63.614615660655346,58.91476126071409
2,0.7814160199,0.614988901416667,0.6464411501,0.5393527472,2.2300227027,1.61553031696667,0.4731859887,0.355094550283333,0.5450876632,0.4201102133,0.14820976605,0.789692480966667,606.51,1174.83998308477,65,68.9660966241631,67.73668245758063,68.06859292958264,67.50653853741092,66.90950302942088,67.76320375831347,68.48138028545601,68.30827021400684,68.12274936424951,68.03696972776987,67.14480878452859,68.64047053232508,63.45490138158694,62.096559546145016
3,0.6760044499,0.563202465966667,0.5737940207,0.505541435366667,1.6482823351,1.2442699943,0.3879977081,0.3046661365,0.4506676276,0.367181348933333,0.0974600730333333,0.8473571705,654.37,1293.89852976897,50,59.768158670893214,64.53693177357957,59.18267976950281,63.02654058800938,59.67784448492631,61.785953627430146,59.76857292930168,63.512815508471874,59.160917195352916,62.735777233813856,64.4782464314304,70.5278254339264,65.35637536074465,64.21893948910036
4,0.7428678641,0.5756661116,0.6309486826,0.5122323565,2.2829568271,1.52477644485,0.4569679957,0.3322555961,0.5329992777,0.39567894575,0.1080566787,0.87313835125,648.12,1184.09670007223,65,65.60248535016936,65.3070283885302,66.17361480756534,63.91308746630554,67.56753113668782,66.30207645526318,66.82265155285076,66.13641585470593,66.97538608107021,65.59000900598542,65.03502831643769,69.95615999725706,65.10806335970547,62.26157307116234
5,0.7758504254,0.60003814515,0.6563320036,0.540478332016667,2.2607091228,1.5451610533,0.4713631518,0.33852426425,0.5460087351,0.410854742516667,0.128622683583333,0.831373026216667,712.72,1445.50880411428,75,68.48045740178875,66.81291367189564,69.27840350304861,67.65567849670626,67.2909682404937,66.6302663966245,68.29494587640903,66.73253046395209,68.21017245968507,67.10997020054151,66.11563651553594,70.44301474819598,67.67461620244654,66.92159809176201
6,0.7595438129,0.59846779815,0.6498465371,0.5418927561,2.1959588177,1.53629281435,0.4537377939,0.3376667491,0.5317152713,0.40853258365,0.1368180234,0.81590174685,657.21,1197.99497836839,75,67.05758503585191,66.71588596871996,68.48512656839787,67.8430896514154,66.48605229651882,66.48748873042024,66.49227599172102,66.65098566107957,66.85351523250011,66.87738990052847,66.54624768433244,70.04072811064849,65.46920833401687,62.509328716757636
7,0.7961441643,0.613678494433333,0.6673902325,0.555524835166667,2.6522001386,1.79256931386667,0.4999610426,0.3588689926,0.5816532423,0.435801620233333,0.1609980866,0.7854714486,665.44,1432.11933865557,75,70.25123599129329,67.65571577963094,70.63100287650279,69.64933977757997,72.15762269183064,70.61351202662273,71.21985422739104,68.66719816375357,71.59335368006396,69.60857285302001,67.81675086163206,68.33044500537817,65.79618557698527,66.68291272453811
8,0.7497140971,0.58688256435,0.6442860628,0.5317693952,2.2020109543,1.5071299676,0.4464650022,0.3286497826,0.5279887833,0.4008198607,0.13626322845,0.82218212,657.21,1179.0527954228,75,66.19986973926089,66.0000641622229,67.80499106728811,66.50174459220536,66.56128686471013,66.0179701233649,65.7484361985331,65.79352354422895,66.49981742013236,66.10490725802819,66.51709686115656,70.24201000932813,65.46920833401687,62.17165863527959
9,0.7653320659,0.59118879985,0.6581450295,0.53673637525,2.2551884611,1.49886251435,0.4601426509,0.33237605545,0.5412418211,0.40279760405,0.13271968775,0.8088699112,657.21,1181.50411417322,75,67.56265285669767,66.26613538081253,69.50016575074419,67.15986932124295,67.2223404770143,65.88486504047944,67.14734597073308,66.14787085226476,67.75772311500845,66.30299195769905,66.33090711959127,69.75377170675928,65.46920833401687,62.21535671403643
