parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,ndre_max,ndre_mean,ndmi_mean,msi_mean,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,ndre_max_pred,ndre_mean_pred,ndmi_mean_pred,msi_mean_pred
11,0.801741008939484,0.594824639117298,0.689579032395677,0.542718051436831,3.12324463596999,1.68753055170962,0.518910644352002,0.345493453808908,0.604629271983135,0.421787790229831,0.149708377329958,0.793792957182154,75,70.30548897344866,69.68400605573632,69.51352231249996,71.70715568318118,71.8721429233573,71.8314550651518,71.3848078635034,70.62813710756484,70.98123059700791,71.79640797784377,69.88169996231903,65.3286817065818
13,0.66849493041216,0.483523315974606,0.582348911872056,0.44095321560296,1.43243390542904,0.899993900467801,0.358433241267176,0.242947682889963,0.424311916621224,0.293716429639449,0.0315865333062915,0.970694906267973,50,49.01581203388639,59.121281128165634,51.461847328217786,54.80833278116549,50.91381413470377,56.467901720105445,47.483290030497,57.67965508877371,48.71980604731489,55.44060336809882,60.81077330306926,65.19554952746732
14,0.811390077139082,0.465162262731338,0.703278837988274,0.451743965533211,2.94189579815776,1.118016871019,0.513234803683221,0.249765156183433,0.594892938580561,0.31422801827792,0.0269818227955295,1.01984555384817,65,71.84718946480771,57.37877933831289,71.81981868424502,56.60021865762809,69.62424580533221,60.72117365764261,70.53944767973682,58.54049927145444,69.77921290438464,58.060108107173875,60.45716392899083,57.01587930936271
15,0.784649740521895,0.53460343380208,0.676323520964124,0.485585293227038,2.56289239855117,1.2687408429419,0.491877143541198,0.298746847406337,0.564743111156701,0.358803373334916,0.0889675985059672,0.887605447134372,50,67.57469503850221,63.96888957202746,67.28202072559164,62.219827816145695,64.92633508268672,63.66155208874588,67.35843599246506,64.72543056960686,66.05700820015403,63.75276097165032,65.21723544695182,70.97069955359578
16,0.653471141251014,0.457563309673253,0.596158465782987,0.441478813711084,1.38958994358168,0.803474766003975,0.352036926088979,0.22236191020148,0.419247219417291,0.280802608150165,-0.0416901158269266,1.12142513251746,30,46.61535401527907,56.65762303375422,53.78661930143531,54.895612333812934,50.382744735399555,54.58497110498495,46.53062231305896,55.080284045862186,48.094534151295214,53.79139826814365,55.1836421351049,28.889866108390752
2,0.796460039871669,0.515383763491586,0.678979421894622,0.473634861054744,2.71766755308098,1.2607466642526,0.492250238686705,0.286786791376677,0.567933539099485,0.346337686939782,0.066460569972731,0.944313604833428,65,69.46171085536658,62.144903253122,67.72912887163947,60.23536790691121,66.84483992675794,63.50559872384632,67.41400481463144,63.21523108447943,66.45088859390187,62.16078654375876,63.48885398770435,68.12559082887894
3,0.713524499426732,0.514107275811773,0.61050676480978,0.472190505887379,2.03670588319809,1.08193221046472,0.427125792905963,0.271843061462369,0.495219811076901,0.332381947415392,0.064085327639549,0.912312350087823,50,56.21050765002322,62.023761941818705,56.2020864233985,59.99552177557406,58.40402611354652,60.017220887331035,57.7143644149779,61.328282297073706,57.47387599934172,60.37851962792996,63.306452085834934,70.31057523270388
4,0.783366068946176,0.533963422641978,0.677123894207989,0.482381632109307,2.78510446184751,1.32177700685229,0.487030220847367,0.300365223442198,0.568395014600259,0.360148211977313,0.0616976170609953,0.955246600311029,65,67.36959366932419,63.9081511940473,67.41675971118462,61.68783558697345,67.68074951787297,64.69620099323693,66.63653492119356,64.92978334605195,66.50786093592293,63.92450833160092,63.123092710432395,67.03509632283969
5,0.779337333705219,0.541131417775853,0.679993041198148,0.501237509252208,2.69809050909894,1.3245491759289,0.481234005367466,0.295752376037258,0.567391795453269,0.366225616184769,0.0715485414872447,0.954790048126723,75,66.72589388691433,64.58840870351301,67.8997668056052,64.81899701310915,66.60217401680464,64.75028148259933,65.77324610299421,64.34731786607128,66.38400659421134,64.70064466132659,63.87957440723368,67.08413976781065
6,0.794706853435986,0.547816799838595,0.693483224562296,0.506431249520946,2.621129452968,1.32737884139627,0.490585529247674,0.302744803305019,0.570626855029642,0.369919150427052,0.0826662157225443,0.910230830571319,75,69.18159174609869,65.22286523799579,70.17077428353046,65.68145698055557,65.64820850831853,64.8054836326047,67.16606285159543,65.23025353404606,66.78339707178709,65.172340473003,64.73333357805757,70.40070449519872
