parcela,ndvi_max,ndvi_mean,gndvi_max,gndvi_mean,cire_max,cire_mean,ndre1_max,ndre1_mean,msi_mean,lluvia_acum,etc_acum,rendimiento,ndvi_max_pred,ndvi_mean_pred,gndvi_max_pred,gndvi_mean_pred,cire_max_pred,cire_mean_pred,ndre1_max_pred,ndre1_mean_pred,msi_mean_pred,lluvia_acum_pred,etc_acum_pred
7,0.7961441643,0.613678494433333,0.6673902325,0.555524835166667,2.6522001386,1.79256931386667,0.4999610426,0.3588689926,0.7854714486,665.44,1432.11933865557,75,69.61881095351754,66.15420856166787,69.85352750027505,68.80913507000216,72.89807081021755,71.24160458033774,71.36461216090095,68.12303693656565,64.70458056802232,63.37895260875115,63.54810461950657
8,0.7497140971,0.58688256435,0.6442860628,0.5317693952,2.2020109543,1.5071299676,0.4464650022,0.3286497826,0.82218212,657.21,1179.0527954228,75,64.97279252539846,64.1586222071314,66.6215453575393,65.20338733094846,65.79722191091653,64.94789756831247,64.65139754154433,64.21770723521712,66.14498002231716,63.125266512020204,62.233290066791334
9,0.7653320659,0.59118879985,0.6581450295,0.53673637525,2.2551884611,1.49886251435,0.4601426509,0.33237605545,0.8088699112,657.21,1181.50411417322,75,66.53560247228108,64.47932258127386,68.56024012444838,65.95730631162584,66.63599248514855,64.76560690246116,66.36780478448607,64.69926595354343,65.75383209522488,63.125266512020204,62.24602596433521
10,0.7940925934,0.641291275733333,0.659580619,0.561637318333333,2.3084224136,1.70972003953333,0.4799057273,0.370132330966667,0.736183948966667,455.78,1487.0008257624,65,69.4135207874074,68.21062867478628,68.76106100174219,69.73692560510216,67.47565337927426,69.41484500555296,68.84787195244681,69.57863587047834,60.98567714504353,56.91627617611309,63.83324297482184
11,0.8083343841,0.6443836641,0.6727001753,0.566477998833333,2.677409407,1.89038162183333,0.5066676148,0.3802186399,0.7061839732,455.78,1493.21687553583,40,70.83862365785112,68.44092962005134,70.5963215730068,70.47167405820798,73.29569743478575,73.39828695984761,72.20621946869733,70.88212334928147,57.72036211019638,56.91627617611309,63.8655386414007
13,0.7120264081,0.5717516527,0.5973031634,0.504073454033333,1.7170724855,1.25326719263333,0.4055693098,0.308923025866667,0.830733026233333,465.05,1579.6411032771,40,61.20157899574799,63.031770452908525,60.04922989039875,60.999525925611344,58.14827139745302,59.35042844642328,59.51939977057675,61.66835240489686,66.31749752794946,57.20201981119157,64.31455821897828
15,0.7681010677,0.620950845,0.6338648016,0.54216581335,2.0627089725,1.51580481851667,0.4548285853,0.34834587055,0.751700707983333,464.33,1694.8815671232,45,66.81268226488356,66.69580586809141,65.16374226223115,66.7814200380345,63.60000714292286,65.13917102362481,65.70094303906724,66.76309863596876,62.377146887485445,57.179826130797125,64.91329338559072
2,0.7340920888,0.5899440244,0.6093461149,0.5240337321,1.8146160419,1.3581563227,0.4240098859,0.3250410334,0.8143804371,453.04,1457.99427453075,50,63.409578366491765,64.38661981280282,61.733887019359884,64.0292204970761,59.68682913995818,61.66314903669922,61.83350646217926,63.75133649172391,65.9338510564672,56.83181689238978,63.682538598035165
3,0.7229065976,0.567940208833333,0.6175088068,0.516388280466667,2.0168574378,1.37600669718333,0.4326277671,0.31351309905,0.853134152,464.37,1510.15295836948,65,62.290303694350776,62.74791893710937,62.87574473595437,62.8687465180794,62.876789369017416,62.05673537482113,62.914963811679065,62.26154293285024,66.47745047000305,57.18105911304126,63.95353055013433
4,0.6981606528,0.558131626,0.5998050619,0.51282756,1.841794375,1.3160240002,0.4112605592,0.30744849,0.856869471,467.61,1583.28544414554,65,59.814104057017126,62.017439569583516,60.39921395734133,62.32827832257967,60.11551388718962,60.734165359363345,60.23359428644758,61.4777931971678,66.46300768882492,57.28093067481627,64.33349249747938
5,0.7983085053,0.631101802,0.6810898194,0.56861326295,2.7152117448,1.82870850255,0.505164185,0.3702328524,0.7417909646,401.49,1300.37559036898,65,69.83538544451318,67.45178303371651,71.7699270419412,70.79577766444544,73.89195495966503,72.03844449816982,72.01755416118915,69.59162659191736,61.511887774411235,55.242811025259705,62.86362616074351
7,0.7903678363,0.6354770224,0.659336067,0.56329223175,2.3993584938,1.72805828175,0.4819129541,0.36654936915,0.74044065285,464.79,1586.16090432519,65,69.04080346928842,67.77762095392218,68.7268512592051,69.98811860842474,68.90999118105633,69.81918843310359,69.09975871261392,69.11559771688573,61.38758351818299,57.19400542660469,64.34843203409952
8,0.8391308115,0.645368196166667,0.71713199,0.578420607883333,3.0196888815,1.985464341,0.5359702106,0.382595355266667,0.723639191416667,396.2,1263.7642396076,65,73.9202640225808,68.51425115625977,76.81177244375348,72.28439719197706,78.69448291102017,75.49478411123411,75.88340030374206,71.18927423486372,59.71247284236239,55.07974912347274,62.67341082780893
9,0.6987930485,0.547793111233333,0.5983076195,0.49584479945,2.1034458323,1.48701960236667,0.4314355624,0.315260302816667,0.916360938883333,257.67,1037.57795622772,65,59.877384647661266,61.247494323034026,60.189740638913634,59.750529792475525,64.24255098040219,64.50448025973598,62.76535412166347,62.487339926361074,64.64890525020199,50.80962336646925,61.498253443456875
