Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
13,2023-04-29,59.0,0.4274325332,0.4004688944,0.8764492873999999,0.2226634273,-0.0268951037,1.1213442635,299.57147,1215,300.3463884027278,301.5261262309029,25481218.0,1215,25734784.59698151,23343670.15756141,0.12,63.29999999999999,7.0440235,1215,6.456782209544279,5.811681155580701,292.0462351,300.2429159356338,18.476522,32.10261634942287,0.66154741318,4.659955524804129,158.55131917245004
13,2023-04-30,60.0,0.4307129949,0.4026707597,0.8868718935000001,0.2248722893999999,-0.0241034216,1.1157101941,299.3832,1216,300.28033258274684,301.6025392046532,28004490.0,1216,25449340.86595232,23416518.5622832,-0.0,63.29999999999999,6.4046254,1216,6.365367190753863,5.831313321798442,298.4508605,306.07422925743225,24.50715,26.646113037216782,0.665319944135,4.261125013333602,162.81244418578365
13,2023-05-01,61.0,0.4339744402,0.4048602402,0.8972294828,0.2270677327,-0.0213270868999999,1.1101063789,299.63574,1217,300.4848357838656,301.67821881960606,28034174.0,1217,25308394.268765893,23488277.096305527,-0.0,63.29999999999999,7.0073533,1217,6.31078672126815,5.850575309582245,305.45821379999995,311.9248045670145,20.764627,31.91154796685058,0.6690706062299999,4.68841412049879,167.50085830628242
13,2023-05-02,62.0,0.4372168691,0.4070373359,0.9075220553,0.2292497572,-0.0185660995999999,1.1045328179,301.82547,1218,300.9801363464346,301.75314237611457,27218420.0,1218,25367369.08422553,23558924.027514827,0.55,63.84999999999999,6.965681,1218,6.320564422774555,5.869461339684341,312.42389479999997,317.79426590669885,34.49095,25.17928474267415,0.672799399465,4.686505993664761,172.18736429994718
13,2023-05-03,63.0,0.4404402816,0.4092020468,0.917749611,0.2314183629,-0.0158204597,1.0989895111,302.09723,1219,301.7036479123111,301.82728740130733,20058384.0,1219,25565666.583439853,23628437.96044706,0.21,64.05999999999999,5.1931334,1219,6.389592787421673,5.887965745656983,317.6170282,323.6822316523558,41.77878,25.558214082280145,0.67650632384,3.51318758564472,175.7005518855919
13,2023-05-04,64.0,0.4436446777,0.4113543729,0.9279121499,0.2335735498,-0.0130901672,1.0934764585,302.58954,1220,302.52468010566605,301.9006316558284,24660416.0,1220,25759193.73167672,23696797.8427674,0.08,64.13999999999999,6.049101,1220,6.484182524780088,5.906082975552566,323.6661292,329.5883146279084,37.019516,32.01653928131746,0.680191379355,4.11454635304771,179.8150982386396
13,2023-05-05,65.0,0.4468300574,0.4134943142,0.938009672,0.2357153179,-0.0103752220999999,1.0879936601,303.72888,1221,303.27785283613525,301.97315314050854,25590228.0,1221,25781858.62658996,23763982.97164589,0.02,64.15999999999998,6.3635554,1221,6.555726978469666,5.923807593589405,330.0296846,335.5121222214978,37.677185,39.8855612863358,0.6838545660099999,4.351746416347591,184.1668446549872
13,2023-05-06,66.0,0.4499964207,0.4156218707,0.9480421773,0.2378436672,-0.0076756243999999,1.0825411158999998,303.84595,1222,303.8049808180561,302.04483010296315,26678510.0,1222,25512161.924939346,23829973.000027355,0.0,64.15999999999998,6.9699097,1222,6.558541842748743,5.9411342817826505,336.9995943,341.45325650328044,39.14489,39.24065809987541,0.687495883805,4.791784229242542,188.95862888422974
13,2023-05-07,67.0,0.4531437676,0.4177370424,0.9580096658,0.2399585977,-0.0049913741,1.0771188259,303.1318,1223,303.993559599628,302.11564104411707,25094986.0,1223,24920730.940439872,23894747.94279348,1.4,65.55999999999999,6.4084983,1223,6.465487585758888,5.958057841539861,343.40809260000003,347.4113143448203,37.7866,38.78096135347354,0.69111533274,4.429011434968224,193.38764031919797
13,2023-05-08,68.0,0.4562720981,0.4198398293,0.9679121375,0.2420601094,-0.0023224712,1.0717267901,302.70236,1224,303.80186576172866,302.18556472465303,23474004.0,1224,24082765.66323387,23958288.18281536,2.79,68.35,6.0879984,1224,6.276284034003342,5.974573195220762,349.49609100000004,353.3858875400411,39.29828,37.96564232557748,0.694712912815,4.2294111016770595,197.61705142087504
13,2023-05-09,69.0,0.4593814122,0.4219302313999999,0.9777495924,0.2441482023,0.0003310843,1.0663650084999998,302.7115,1225,303.2651850936503,302.2545801713823,23439546.0,1225,23152621.967813324,24020574.47689448,0.22,68.57,6.0082645,1225,6.016357011108264,5.990675387660708,355.50435550000003,359.3765629277018,42.56778,36.30511224401827,0.69828862403,4.195502750513296,201.81255417138834
13,2023-05-10,70.0,0.4624717099,0.4240082487,0.9875220305,0.2462228763999999,0.0029692923999999,1.0610334811,303.6844,1226,302.4832344828346,302.3226666835355,24604006.0,1226,22311286.58050565,24081587.961590625,0.02,68.58999999999999,6.4998302,1226,5.727477660119043,6.0063595876573945,362.00418570000005,365.3829225153592,39.80212,39.648853204427255,0.701842466385,4.561856858651708,206.37441103004005
13,2023-05-11,71.0,0.4655429912,0.4260738812,0.9972294518,0.2482841317,0.0055921530999999,1.0557322079,303.19305,1227,301.5937614377456,302.3898038389714,24137214.0,1227,21706591.35035953,24141310.158934623,0.15,68.74,6.0582857,1227,5.454146321652765,6.0216210894203925,368.06247140000005,371.4045436047796,45.859043,43.86840936922027,0.7053744398799999,4.273359882270513,210.64777091231056
13,2023-05-12,72.0,0.4685952560999999,0.4281271289,1.0068718563,0.2503319682,0.0081996664,1.0504611889,302.02524,1228,300.740299665407,302.4559715003028,20779638.0,1228,21407716.324624386,24199722.98202443,1.23,69.97,5.1172256,1228,5.230761489006048,6.0364553139830335,373.17969700000003,377.44099891876266,54.54928,51.27051452974723,0.7088845445149999,3.6275221386364973,214.27529305094706
13,2023-05-13,73.0,0.4716285046,0.4301679918,1.016449244,0.2523663859,0.0107918323,1.0452204240999998,298.3579,1229,300.04255692187064,302.5211498209364,17225130.0,1229,21389573.85571407,24256808.740502752,24.15,94.12,4.180913,1229,5.07385202433416,6.050857810576261,377.36061,383.4918567293389,54.304,50.45841885222988,0.71237278029,2.9783686179606046,217.25366166890765
13,2023-05-14,74.0,0.4746427367,0.4321964699,1.0259616149000002,0.2543873848,0.0133686508,1.0400099135,297.98004,1230,299.5761195525774,302.5853192510257,16530848.0,1230,21551440.704919435,24312550.14591457,12.06,106.18,3.845899,1230,4.981454633571532,6.064824257964012,381.206509,389.5566809873029,59.120094,51.73385043415375,0.715839147205,2.753045060396562,220.00670672930423
13,2023-05-15,75.0,0.4776379524,0.4342125632,1.035408969,0.2563949649,0.0159301218999999,1.0348296571,299.21478,1231,299.3648881004003,302.6484605433348,25789168.0,1231,21761829.122297622,24366930.316942982,2.26,108.44,5.53392,1231,4.938976610215806,6.078350465739732,386.740429,395.6350314530426,41.366238,50.05434432260506,0.71928364526,3.980458150177219,223.98716487948144
13,2023-05-16,76.0,0.4806141517,0.4362162717,1.0447913063,0.2583891262,0.0184762455999999,1.0296796548999998,299.734,1232,299.38600162054206,302.71055475901176,23139434.0,1232,21912421.57749368,24419932.784521703,2.46,110.9,5.0407224,1232,4.928609174917043,6.091432375583631,391.7811514,401.7264638286263,48.842953,46.91915078235642,0.722706274455,3.6429617062658664,227.63012658574732
13,2023-05-17,77.0,0.4835713346,0.4382075954,1.0541086268000002,0.2603698687,0.0210070219,1.0245599069,299.64893,1233,299.58398588566257,302.7715832732688,23996844.0,1233,21961035.82583806,24471541.496822733,2.01,112.91,5.3795543,1233,4.93832218271893,6.104066062480335,397.1607057,407.8305298911066,43.64062,43.51022303094833,0.72610703479,3.906132221264794,231.5362588070121
13,2023-05-18,78.0,0.4865095010999999,0.4401865343,1.0633609305,0.2623371924,0.0235224507999999,1.0194704131,301.09613,1234,299.88915390469884,302.831527780969,24146530.0,1234,21947859.02244272,24521740.82411767,0.42,113.33,5.614834,1234,4.966954063197055,6.11624773589651,402.77553969999997,413.9467776270032,45.669434,46.95174624610248,0.7294859262649999,4.095942381314214,235.63220118832632
13,2023-05-19,79.0,0.4894286512,0.4421530884,1.0725482174000005,0.2642910973,0.0260225322999999,1.0144111735,301.37195,1235,300.2351139749096,302.8903703021166,22130264.0,1235,21978934.96104761,24570515.56351117,0.21,113.54,5.436787,1235,5.0236312479010286,6.127973740918151,408.21232669999995,420.0747513679213,47.115955,44.9770718342992,0.73284294888,3.9843110175124483,239.61651220583877
13,2023-05-20,80.0,0.4923287849,0.4441072577,1.0816704875,0.2662315833999999,0.0285072664,1.0093821881,299.05545,1236,300.57138313133163,302.94809318725027,17281324.0,1236,22182619.492769755,24617850.943545185,11.84,125.38,4.199944,1236,5.1220092594518905,6.139240559347181,412.41227069999997,426.21399192726847,58.31284,47.688046578966194,0.7361781026349999,3.0919068050932523,242.70841901093203
13,2023-05-21,81.0,0.4952099022,0.4460490422,1.0907277408,0.2681586507,0.0309766531,1.0043834569,300.0737,1237,300.86904905249713,303.00467912273666,19917662.0,1237,22654360.512963224,24663732.628672432,2.16,127.54,4.421854,1237,5.271780348614873,6.150044810757034,416.83412469999996,432.3640367380255,51.050728,54.13270346568811,0.73949138753,3.2699229499150806,245.9783419608471
13,2023-05-22,82.0,0.4980720031,0.4479784419,1.0997199773000002,0.2700722992,0.0334306924,0.9994149799,301.4694,1238,301.11955037859445,303.06011113596367,25008272.0,1238,23409444.92198782,24708146.723598026,0.01,127.55,5.7188535,1238,5.4708613706634095,6.1603832535068905,422.5529782,438.5244199915324,40.054707,53.082580804633054,0.742782803565,4.247866035907513,250.22620799675462
13,2023-05-23,83.0,0.5009150876,0.4498954568,1.108647197,0.2719725289,0.0358693842999999,0.9944767571,301.27084,1239,301.32839958199725,303.11437260043124,27587700.0,1239,24360905.12152689,24751079.77748758,0.0,127.55,6.136676,1239,5.701372910470555,6.170252785714285,428.6896542,444.6946727772467,44.16069,46.90948313082279,0.74605235074,4.57828155552974,254.80448955228437
13,2023-05-24,84.0,0.5037391556999999,0.4518000869,1.1175093999000003,0.2738593398,0.0382927288,0.9895687885,301.57208,1240,301.5066844418095,303.16744724073845,26405948.0,1240,25331503.2158971,24792518.78804088,0.0,127.55,6.12838,1240,5.931123067558465,6.179650446185771,434.8180342,450.8743232234325,43.86677,48.985778340300655,0.7493000290549999,4.591995312060081,259.3964848643445
13,2023-05-25,85.0,0.5065442074,0.4536923322,1.126306586,0.2757327319,0.0407007259,0.9846910741,301.97162,1241,301.663317925023,303.2193191374652,25544068.0,1241,26097444.241214328,24832451.205429576,0.01,127.56000000000002,6.170271,1241,6.120362483311689,6.188573415305381,440.9883052,457.0628966387378,40.99213,44.66087461345361,0.7525258385099999,4.6432883581089355,264.0397732224534
