Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,msi_mean_pred_1,msi_mean_pred_2,msi_mean_pred_3,msi_mean_pred_4,msi_mean_pred_5,msi_mean_pred_6,msi_mean_pred_7,msi_mean_pred_8,msi_mean_pred_9
16,2022-06-10,5,0.5101435798738206,0.3298479087452471,0.6948383437322745,-0.032895677490997,-0.2104487044449125,0.1456500488758553,1.0735852483868695,0.7457337883959044,1.533084311632871,0.4720470592378695,0.3588732394366197,0.588937093275488,1.4712308736767716,0.7673702726473175,2.186287192755498,6.6018114,0.7566651168548937,4.995360394434969,80,1.2230148429924916,1.0994746490142442,1.0677939769571596,1.0942868232479495,1.0986188510419075,1.1106894969850662,0.8262524187044602,0.402400399381352,0.16418200762726687
17,2022-06-25,5,0.5491317495923033,0.3717105263157895,0.7245508982035929,-0.003379500731661,-0.1521518129447645,0.1808862955369815,1.0104671057596044,0.6936431623931624,1.3589128697042363,0.4915818571117192,0.3807947019867549,0.6054888507718696,2.051969899984897,1.1881832378969288,2.8934624697336564,5.834705,0.8015015120311487,4.676524879755704,95,1.1877874071538839,0.9842959873829221,0.9520965865845714,0.9661072557773783,0.9545515471090629,0.8311031251238239,0.9989718773626297,0.5988893375683088,0.29794673536761135
18,2022-06-30,5,0.5486376490906337,0.3739040742650851,0.72639336711193,0.0442790564231483,-0.1213950368879946,0.2134411947728687,0.919486717654262,0.6482051282051282,1.2763358778625955,0.4797308389889515,0.3684210526315789,0.6085836909871245,2.2368473801079243,1.1788671310290446,3.835086633663367,5.2296433,0.8009332964542287,4.188595447548771,100,1.1760449285410148,0.9483804812865827,0.9168026991081748,0.926032022306957,0.9099656256501327,0.7574140651279979,1.0377841845740292,0.6641023321871092,0.35125404945355054
19,2022-07-05,5,0.5913855370956468,0.4088848594741613,0.7459649122807017,0.0823295655545515,-0.0876459313469245,0.26954986760812,0.8529202016134795,0.5753615127919911,1.192131398013751,0.5190242186115188,0.4006243496357961,0.6390328151986183,2.496878837853202,1.2890891711047383,3.989916550764952,5.821026,0.8500933676599938,4.948415595576383,105,1.1643024499281456,0.9137036657472941,0.8831090621495141,0.8873733411347373,0.8673400017555069,0.6948657622521424,1.0657049039531987,0.7269926805169871,0.4080433666570356
20,2022-07-10,5,0.6027476589985623,0.422023476802683,0.7853309481216458,0.0878937339749277,-0.0920770877944325,0.2589088615578682,0.8430216213636712,0.5886773547094188,1.2028301886792452,0.5389291904725797,0.4078583287216381,0.6794278502313841,1.861228681634402,1.0227516634470917,2.601734489659773,6.6173306,0.8631598078483467,5.711813809164984,110,1.1525599713152763,0.880265540765056,0.8509942532248911,0.8501799654995085,0.826789159319128,0.6437247516299962,1.0821862467065344,0.7862502300984976,0.4675755320619758
22,2022-07-20,5,0.6265616616961034,0.4375578168362627,0.7693304535637149,0.1492095348462134,-0.0451270383010997,0.3,0.7452813461438664,0.5384615384615384,1.0945194598888006,0.5561868123760282,0.4248101265822784,0.6704730831973899,2.099183447348804,1.103850641773629,2.9115821023335475,6.577692,0.8905459109505188,5.85773671409194,120,1.1290750140895378,0.817105362471732,0.7914154295429645,0.7803648390145068,0.7522741176169372,0.5751985920948393,1.079877071346015,0.8888905788012134,0.5913070415624642
23,2022-07-30,5,0.6951473021544833,0.4927267918540068,0.8234691787835348,0.2080764466479796,-0.0135082979544577,0.3800159872102318,0.6608196035301946,0.4492585727525486,1.0273865414710486,0.6064977755793621,0.4628687690742624,0.699885452462772,2.114900453135298,1.230677764565993,2.713253012048193,5.3640223,0.9694193974776556,5.199987266122709,130,1.1055900568637995,0.7588999464066108,0.7378948481928094,0.7168994496395793,0.6869657808964504,0.5484129331870875,1.0313884607812973,0.9630357886337146,0.7143905390675853
24,2022-08-09,5,0.7586834733264068,0.5556799104644656,0.8608695652173913,0.2573884823944055,0.0186625194401244,0.4102141680395387,0.5951520176420598,0.4182242990654206,0.9633587786259542,0.6522623197277334,0.4997104806022003,0.7353058776489404,2.2891253505621743,1.3255813953488371,2.812407898614795,5.821786,1.0424859943253677,6.069130366959506,140,1.0821050996380612,0.7056492925696924,0.6902611293048384,0.6600348288642034,0.6311416520423465,0.5568107682371348,0.9409632328796107,1.0018576216083044,0.8278157206905337
26,2022-08-24,5,0.72894019139978,0.5268315445636957,0.8258972833630776,0.2633477323282484,0.0453987730061349,0.3954963526799873,0.5867953194113253,0.4331818181818181,0.9131455399061033,0.6357959212059993,0.4989154013015184,0.7189567925262749,2.697759060363466,1.5265918516711394,3.494544691565254,5.9032273,1.0082812201097469,5.952113224629167,155,1.0468776637994535,0.6350634909921945,0.6294735246247591,0.5875114450607456,0.5652103821946997,0.6163202770754737,0.7438719034576735,0.9861433674310001,0.9602029129491614
27,2022-09-13,5,0.7609845479237626,0.5596730245231608,0.8402777777777778,0.2870289287955873,0.0516470109800732,0.3963394342762063,0.557393497675284,0.4323164918970448,0.9017788089713844,0.6550436887279082,0.5288077581289219,0.7204839382561535,2.682777535704724,1.501023092662964,3.726169844020797,4.602117,1.045132230112327,4.809820803447852,175,0.9999077493479767,0.5582907566875737,0.5674278582194954,0.5151646695922962,0.5091312120334728,0.7325766465629897,0.42442124875640275,0.8334758771727775,1.0282706488444404
28,2022-09-23,5,0.757000432213454,0.5881006864988558,0.8274760383386581,0.275122188943273,0.0547143145568342,0.388178361562392,0.5718506423230579,0.4407370517928287,0.8962480857580398,0.648175946313411,0.5437987857762359,0.7147751605995717,2.8004613039484485,1.5,4.049094375595805,4.214055,1.040550497045472,4.384937024826956,185,0.9764227921222383,0.527336532877567,0.5441641945252265,0.48945367201559364,0.4936142428107102,0.785871308237077,0.2691740774622531,0.7141801897295381,1.0070139740009552
30,2022-10-13,5,0.7584344285963329,0.5058823529411764,0.8364274962368289,0.266268921677631,-0.0001673080140538,0.3901168014375561,0.5836819623670401,0.4387280248190279,1.000334672021419,0.6711825150709184,0.5367753100663398,0.7407912687585266,2.436737560919326,1.2332695984703632,3.0478309232480534,4.4506645,1.0421995928857828,4.638480729971207,205,0.9294528776707615,0.4802923719421621,0.5122983068054845,0.45851279392554456,0.4841190044645298,0.8470755698118779,0.030599940979271878,0.44329293127510716,0.8615586695902806
