Fecha,RH12,Dia,Reconstruida,Ajustados
2022-02-06,31.518362,768,43.28507616985177,45.32697442513068
2022-02-07,46.164917,769,46.17250955169273,45.26674143527346
2022-02-08,72.40545,770,49.049378386834476,45.20732414229085
2022-02-09,41.96447,771,51.17339530226595,45.14873681150671
2022-02-10,52.291946,772,51.93644332430101,45.09099350898169
2022-02-11,56.57996,773,51.02047245432044,45.034108098136194
2022-02-12,49.88616,774,48.48598652798741,44.9780942364219
2022-02-13,28.959076,775,44.76871442940683,44.92296537204282
2022-02-14,34.63294,776,40.58460451600431,44.86873474072654
2022-02-15,40.99842,777,36.767386654430986,44.81541536254652
2022-02-16,47.063385,778,34.07990668430256,44.763020038796085
2022-02-17,40.11452,779,33.045892172442024,44.71156134891508
2022-02-18,26.675589,780,33.841863480279294,44.66105164746966
2022-02-19,32.352398,781,36.272154601592,44.61150306118609
2022-02-20,37.550144,782,39.82852684150314,44.56292748603936
2022-02-21,46.891373,783,43.815556764443606,44.51533658439702
2022-02-22,45.69551,784,47.508890694207416,44.46874178221927
2022-02-23,45.199768,785,50.308463128146684,44.42315426631571
2022-02-24,49.802364,786,51.853104490706116,44.37858498165953
2022-02-25,62.655693,787,52.07450279748748,44.33504462875972
2022-02-26,56.367058,788,51.18369083892895,44.29254366109211
2022-02-27,51.00515,789,49.59826592581537,44.25109228258955
2022-02-28,37.441628,790,47.830259342766446,44.21070044519211
2022-03-01,42.172478,791,46.36106352173087,44.17137784645773
2022-03-02,46.497444,792,45.53056431207975,44.13313392723397
2022-03-03,48.056274,793,45.46318565691374,44.09597786939139
2022-03-04,51.12071,794,46.04520432976016,44.05991859361911
2022-03-05,44.08388,795,46.95704423337104,44.02496475728302
2022-03-06,49.021,796,47.753060810276864,43.99112475234734
2022-03-07,46.252968,797,47.971381930692374,43.958406703359735
2022-03-08,45.873314,798,47.24947472047249,43.92681846550076
2022-03-09,46.081024,799,45.41884630195894,43.89636762269794
2022-03-10,46.37598,800,42.55568201316511,43.867061485804925
2022-03-11,39.11882,801,38.973277850401445,43.838907090846305
2022-03-12,25.349024,802,35.155459129584784,43.81191119732831
2022-03-13,36.991386,803,31.645017075410454,43.78608028661594
2022-03-14,36.340385,804,28.91381650518542,43.761420560376905
2022-03-15,21.082712,805,27.247886478745666,43.73793793909265
2022-03-16,23.865854,806,26.678902455546098,43.715638060636955
2022-03-17,32.295128,807,26.982581430085414,43.69452627892232
2022-03-18,22.249268,808,27.746886607845532,43.674607662614584
2022-03-19,22.210417,809,28.49315850776745,43.655886993916006
2022-03-20,42.2954,810,28.817106391947167,43.638368767417106
2022-03-21,38.328564,811,28.50920874140955,43.62205718901757
2022-03-22,16.277689,812,27.61839411469957,43.60695617491649
2022-03-23,20.328365,813,26.43836140354321,43.59306935067212
2022-03-24,23.97944,814,25.418435541755493,43.580400050331406
2022-03-25,23.282986,815,25.02381469714302,43.568951315629576
2022-03-26,26.066843,816,25.586293979903303,43.55872589525981
2022-03-27,32.387592,817,27.190666533996332,43.54972624421334
2022-03-28,38.623314,818,29.632249185171364,43.54195452319002
