Fecha,SRF,holtwinters_predicts
2020-06-14,23040962.0,24223293.81072038
2020-06-15,27557050.0,23714504.187621307
2020-06-16,24434674.0,26281919.346467413
2020-06-17,26261184.0,25751296.096956473
2020-06-18,24912738.0,25047480.627783373
2020-06-19,24742772.0,23278359.404467262
2020-06-20,25005322.0,27228280.519375056
2020-06-21,24799062.0,24446064.24762445
2020-06-22,21356594.0,20566106.987207536
2020-06-23,24673608.0,26039709.557148807
2020-06-24,18711214.0,26165888.66398222
2020-06-25,14476290.0,21939770.84256984
2020-06-26,17264102.0,18629992.622661706
2020-06-27,23525164.0,17491648.08529979
2020-06-28,24351744.0,18484332.817072105
2020-06-29,25976354.0,20076534.602832474
2020-06-30,25140130.0,20377688.33252727
2020-07-01,25122510.0,27288532.883339316
2020-07-02,26687814.0,27036553.43705323
2020-07-03,26883500.0,26692306.708764814
2020-07-04,28450596.0,27676059.733508915
2020-07-05,28460508.0,27337700.351689726
2020-07-06,26060434.0,26865596.625820078
2020-07-07,25068010.0,22080110.401557617
2020-07-08,24547832.0,26428384.627785303
2020-07-09,25577118.0,25039319.488610223
2020-07-10,26514282.0,28471949.552327245
2020-07-11,27570362.0,28724652.342817273
2020-07-12,28659364.0,27035129.390668437
2020-07-13,28650874.0,26788013.001210332
2020-07-14,28105018.0,28791701.657293774
2020-07-15,27337726.0,25333196.278549887
2020-07-16,24305072.0,27320791.639408313
2020-07-17,26718938.0,28488478.020613544
2020-07-18,25714078.0,27520628.56709184
2020-07-19,27657172.0,27685346.77855606
2020-07-20,25493358.0,27559558.107969336
2020-07-21,27106372.0,25969976.273172855
2020-07-22,27915048.0,24893028.915286988
2020-07-23,26816202.0,27485814.314467236
2020-07-24,26762120.0,27989188.85307634
2020-07-25,21639604.0,24716291.2986186
2020-07-26,14190962.0,21579428.596613843
2020-07-27,9337847.0,15015794.669770218
2020-07-28,13825486.0,13574728.666042544
2020-07-29,9683968.0,11341083.653186956
2020-07-30,23392706.0,15881545.610154584
2020-07-31,24469380.0,20423995.86081314
2020-08-01,26705378.0,23525787.364938423
2020-08-02,23211228.0,23220875.039911807
2020-08-03,26283932.0,24496918.946188062
2020-08-04,24391670.0,24163001.557284817
2020-08-05,24681500.0,24975002.59305898
2020-08-06,25998696.0,25632657.689697683
2020-08-07,22969202.0,24789068.07417913
2020-08-08,21181744.0,23196686.68864126
2020-08-09,15903239.0,20540474.146454785
2020-08-10,17925220.0,19292679.280727513
2020-08-11,23606894.0,20755074.039740026
2020-08-12,24916256.0,22507087.99882877
2020-08-13,25716464.0,22700180.447275482
2020-08-14,27781326.0,24216481.26604177
2020-08-15,26134254.0,25718674.796657044
2020-08-16,24177780.0,24633675.119920284
2020-08-17,25507832.0,26272805.86853107
2020-08-18,23765794.0,25767720.111951254
2020-08-19,20169384.0,23426689.052424245
2020-08-20,24037228.0,21218760.561517708
2020-08-21,25029930.0,18871417.772769693
2020-08-22,24610662.0,25984117.543733075
2020-08-23,23958042.0,27323664.582464974
2020-08-24,24796692.0,25732335.24170637
2020-08-25,16590756.0,21933270.031174116
2020-08-26,23134702.0,21286182.232626516
2020-08-27,24188188.0,23528228.226007752
2020-08-28,25414676.0,23812466.251737304
2020-08-29,25819084.0,21884592.023491316
2020-08-30,25093258.0,24855366.76364751
2020-08-31,23574204.0,25129610.157967795
2020-09-01,24878106.0,24128796.750573464
2020-09-02,25986296.0,23817813.779918678
2020-09-03,25216718.0,21914221.338793613
2020-09-04,21853010.0,23727514.532561857
2020-09-05,8963539.0,19604164.05353442
2020-09-06,16343973.0,15478803.363133322
2020-09-07,21047108.0,17842609.653583564
2020-09-08,23142812.0,22041587.005004548
2020-09-09,21613018.0,21872229.769362044
2020-09-10,14943459.0,18903975.822002556
2020-09-11,17320074.0,17502133.62019861
2020-09-12,23210112.0,20310796.268827036
2020-09-13,22103806.0,20502018.295457494
2020-09-14,15561369.0,19592955.12007575
2020-09-15,14985582.0,15597502.012896236
2020-09-16,15865133.0,13813846.130429117
2020-09-17,18042004.0,17131628.70102762
2020-09-18,21577728.0,19137235.317420587
2020-09-19,21567676.0,21452339.664863072
2020-09-20,21339852.0,21764302.767958146
2020-09-21,23864196.0,22065176.16180747
2020-09-22,23890126.0,19912024.304701217
2020-09-23,23971064.0,24724342.175296776
2020-09-24,24092610.0,23997565.55810131
2020-09-25,24211572.0,23950977.096702848
2020-09-26,22974356.0,23359069.777940564
2020-09-27,22738310.0,23268155.11392075
2020-09-28,22025318.0,22837502.182805832
2020-09-29,23051594.0,22961855.90803923
2020-09-30,24953878.0,23623984.274912134
2020-10-01,24601910.0,25040064.235226616
2020-10-02,18491542.0,17883630.27662187
2020-10-03,23949630.0,22138148.00980064
2020-10-04,23866624.0,20348322.979256656
2020-10-05,23936826.0,23834202.226524293
2020-10-06,20391038.0,22901289.343903862
2020-10-07,23382262.0,24171912.04162462
2020-10-08,21980398.0,22946213.70204685
2020-10-09,22687164.0,24041231.404943176
2020-10-10,22407646.0,22248959.532016527
2020-10-11,22676970.0,22996734.60384921
2020-10-12,20186182.0,23436171.167973712
2020-10-13,16103229.0,18861198.929573
2020-10-14,19155838.0,17919545.484022282
