Fecha,srf,srf_holtwin_predicts
2021-02-17,21333026.0,15555761.081422223
2021-02-18,14862983.0,18164534.974793486
2021-02-19,13866667.0,11735451.30949368
2021-02-20,21676770.0,17895919.729716204
2021-02-21,21875184.0,22135849.748428702
2021-02-22,14269215.0,19061845.444944903
2021-02-23,19635068.0,18576861.954169683
2021-02-24,21479122.0,18742740.27297464
2021-02-25,20525448.0,16131980.564806588
2021-02-26,21297436.0,20075399.2375667
2021-02-27,21194188.0,21711432.815551583
2021-02-28,21042962.0,22685134.691404782
2021-03-01,19508576.0,23053167.83169679
2021-03-02,6287462.5,16590066.660017224
2021-03-03,22040282.0,14792427.00449486
2021-03-04,22042094.0,18504978.705688104
2021-03-05,20505918.0,21937004.994326476
2021-03-06,20605780.0,21150820.934639804
2021-03-07,16550995.0,18115816.176791005
2021-03-08,8060535.0,13606772.126608081
2021-03-09,14578054.0,11409114.042848237
2021-03-10,22140950.0,19361743.790160485
2021-03-11,22309564.0,21476394.552123897
2021-03-12,19169106.0,17646382.044134304
2021-03-13,17694934.0,19306261.798373893
2021-03-14,22981502.0,16729687.31668471
2021-03-15,20969262.0,20711565.699564293
2021-03-16,23187702.0,25476098.02360035
2021-03-17,24201428.0,25076767.24725417
2021-03-18,24390628.0,22938448.109434415
2021-03-19,24860468.0,15486424.60492345
2021-03-20,23161358.0,23305673.846327428
2021-03-21,23291760.0,30333124.0895069
2021-03-22,24648178.0,26237799.93629686
2021-03-23,25256148.0,24990923.23468603
2021-03-24,25442190.0,26491403.75493759
2021-03-25,25386726.0,26284549.8952446
2021-03-26,25288114.0,25892173.077221
2021-03-27,25343956.0,25326170.71919834
2021-03-28,19325062.0,20746348.719772737
2021-03-29,13776429.0,16838994.572464503
2021-03-30,24688644.0,20805264.574460868
2021-03-31,23952122.0,24646086.493749455
2021-04-01,11653948.0,18423894.274569385
2021-04-02,7722753.0,14085405.03844361
2021-04-03,19695392.0,15079321.493498066
2021-04-04,20086086.0,18377462.528863583
2021-04-05,25841184.0,20910729.262178235
2021-04-06,25696840.0,19992834.868297238
2021-04-07,24612012.0,21260995.41339028
2021-04-08,25140462.0,23450749.992860448
2021-04-09,25651144.0,24436770.221002422
2021-04-10,24757752.0,26257701.44118509
2021-04-11,25901064.0,27302908.493174143
2021-04-12,25198348.0,27034082.09894789
2021-04-13,25001486.0,27778035.866958372
2021-04-14,25164636.0,26122041.67655885
2021-04-15,21951230.0,23975135.03798475
2021-04-16,25672154.0,23893655.720341027
2021-04-17,16215244.0,19191912.012629054
2021-04-18,8321855.0,17512685.509171255
2021-04-19,18202458.0,13883080.958972229
2021-04-20,22940266.0,19085440.584163968
2021-04-21,14969614.0,16700894.094109083
2021-04-22,20287102.0,17624239.82952705
2021-04-23,26105844.0,23784082.593001485
2021-04-24,25642798.0,21716826.213846087
2021-04-25,26018316.0,25717640.928284347
2021-04-26,25845848.0,24318926.38364672
2021-04-27,25070538.0,26574842.607811928
2021-04-28,26389520.0,26168850.039706852
2021-04-29,24822286.0,27453168.610069208
2021-04-30,15006085.0,23513000.576970406
2021-05-01,14484039.0,16131890.460451467
2021-05-02,25898280.0,20041039.430810466
2021-05-03,28345286.0,22152162.385826107
2021-05-04,27386268.0,27268075.032863602
2021-05-05,20679756.0,25797486.52331561
2021-05-06,22164528.0,23360166.485557895
2021-05-07,21076028.0,22535772.965144146
2021-05-08,24510676.0,22789231.005685814
2021-05-09,25662978.0,24098444.723536238
2021-05-10,22681608.0,21314292.50147765
2021-05-11,20220188.0,22476282.227844007
2021-05-12,13301388.0,19272299.109856315
2021-05-13,21451562.0,17810906.734176587
2021-05-14,19613666.0,18750604.16944119
2021-05-15,21939136.0,23656458.70845492
2021-05-16,22571016.0,21960135.487348482
2021-05-17,26089860.0,23873790.297028735
2021-05-18,22612286.0,23044664.20696155
2021-05-19,26584010.0,23727747.16119291
2021-05-20,27284956.0,23938169.39965479
2021-05-21,26394408.0,26477947.7743107
2021-05-22,23697696.0,26086040.808649145
2021-05-23,23912774.0,24997123.88658714
2021-05-24,25105244.0,24250257.16233288
2021-05-25,22412512.0,24959932.75663342
2021-05-26,22183384.0,22894877.904447183
2021-05-27,24506090.0,23909739.09450517
2021-05-28,27275894.0,25601638.512132943
2021-05-29,18804076.0,23035697.92525809
2021-05-30,19168984.0,21719311.38079738
2021-05-31,22585958.0,20948933.322522033
2021-06-01,21641430.0,19210843.14820034
2021-06-02,18492634.0,17960428.036108445
2021-06-03,11712114.0,16557399.092118822
2021-06-04,19419436.0,18744356.380443964
2021-06-05,24937568.0,22717174.658954937
2021-06-06,27546252.0,25269778.889096167
2021-06-07,27189198.0,26280524.336822994
2021-06-08,26031614.0,24999582.034968693
2021-06-09,24909676.0,23626231.2852594
2021-06-10,23563798.0,25263852.259858347
2021-06-11,26402984.0,25628950.862022217
2021-06-12,21143664.0,25097263.37277001
2021-06-13,18505254.0,21383955.927083064
2021-06-14,23880658.0,20990544.228226483
2021-06-15,24557514.0,22619268.570786007
2021-06-16,23741696.0,24299805.498166583
2021-06-17,21357406.0,24392154.527479388
2021-06-18,20598410.0,21809316.686116148
2021-06-19,15891733.0,19461690.56507461
2021-06-20,25326968.0,20759016.72017973
2021-06-21,24461686.0,21536289.18610857
2021-06-22,14896197.0,19053627.197922625
2021-06-23,22051944.0,21894680.84848842
2021-06-24,24156232.0,22784275.273844346
2021-06-25,23484214.0,23020089.88228681
2021-06-26,24853230.0,23689609.060396284
2021-06-27,22561178.0,23859686.3201079
2021-06-28,17818498.0,21143931.499981306
2021-06-29,19720292.0,18023740.392516345
2021-06-30,11714808.0,16288687.843757236
2021-07-01,20766914.0,18356693.627780322
2021-07-02,24225158.0,20474951.974247664
2021-07-03,23339688.0,22312508.044503566
2021-07-04,24958098.0,23747590.12346632
2021-07-05,22520868.0,23670978.896338273
2021-07-06,18264912.0,22022635.424689256
2021-07-07,8730634.0,15637487.003272822
2021-07-08,16644286.0,14785986.408241246
2021-07-09,13609025.0,15331598.870707244
2021-07-10,21274984.0,17565012.707364988
2021-07-11,24293280.0,20779012.77342576
2021-07-12,21613512.0,21549488.049051534
2021-07-13,18486702.0,20526357.40743628
2021-07-14,24532632.0,20503369.232784737
2021-07-15,21270692.0,19551549.23368025
2021-07-16,21670932.0,21453245.95954021
2021-07-17,25022754.0,24239319.723035168
2021-07-18,25573374.0,24575695.337993585
2021-07-19,26132352.0,26175610.407002732
2021-07-20,27399772.0,26040752.086226307
2021-07-21,24458260.0,26213519.430961363
2021-07-22,22188030.0,23632461.51119519
2021-07-23,25064514.0,23937981.060617656
2021-07-24,28806266.0,25377267.18212441
2021-07-25,27921832.0,24559395.30120427
2021-07-26,27283146.0,24764499.11503671
2021-07-27,26125660.0,23251320.02451126
2021-07-28,24742432.0,26187789.06219087
2021-07-29,22868010.0,23061230.42962182
2021-07-30,23749246.0,28317297.119337577
2021-07-31,25331572.0,26657657.569361366
2021-08-01,27040268.0,27025696.4171744
2021-08-02,26207122.0,25142934.335003383
2021-08-03,24319584.0,26991700.32440795
2021-08-04,21386042.0,24337264.078708634
2021-08-05,24379832.0,23453789.86592101
2021-08-06,25849558.0,24753133.488938317
2021-08-07,25268854.0,24315999.500873137
2021-08-08,24028970.0,24146218.21629284
2021-08-09,24557376.0,22438796.609239362
2021-08-10,25040512.0,24643296.26438252
2021-08-11,26347558.0,26998915.68262832
2021-08-12,26601338.0,26977381.323891513
2021-08-13,27050056.0,25768102.295657054
2021-08-14,26577624.0,26463330.922714442
2021-08-15,24476820.0,26246021.131716616
2021-08-16,25056386.0,24009707.21169825
2021-08-17,25098184.0,26433576.55319447
2021-08-18,25243278.0,25597579.01807741
2021-08-19,25395554.0,24072081.613010243
2021-08-20,21037412.0,24204897.698438752
2021-08-21,13783249.0,18762486.18859997
2021-08-22,19668346.0,20121014.697358873
2021-08-23,25768852.0,21900294.43185085
2021-08-24,25303090.0,24064106.397921514
2021-08-25,23917194.0,21404332.70490904
2021-08-26,24696306.0,24771803.847179756
2021-08-27,27161912.0,26047743.319320846
2021-08-28,26363508.0,26600312.38335654
2021-08-29,19737146.0,23752760.686888844
2021-08-30,23700182.0,22605915.602253176
2021-08-31,23591068.0,23347727.312994987
2021-09-01,23538184.0,23256878.759733845
2021-09-02,22006750.0,22724733.37861699
2021-09-03,18861086.0,19360298.833153717
2021-09-04,18813048.0,19255105.01677598
2021-09-05,23823050.0,15839884.280073402
2021-09-06,22175282.0,21310063.277301285
2021-09-07,24670050.0,23702391.429272443
2021-09-08,22590864.0,26813080.383056
2021-09-09,21862334.0,23836159.527331267
2021-09-10,22192906.0,19948968.57750081
2021-09-11,20113938.0,21729598.466849197
2021-09-12,20598676.0,23760430.20651415
2021-09-13,18661232.0,20814169.187564693
2021-09-14,22568890.0,17956412.377660524
2021-09-15,20826058.0,18453272.451405287
2021-09-16,15741785.0,18251181.989787273
2021-09-17,20306034.0,19196724.841392666
2021-09-18,21226520.0,21340206.314173207
2021-09-19,23669572.0,22373459.148840826
2021-09-20,23869572.0,23323383.308133382
2021-09-21,21454782.0,24129965.11857504
2021-09-22,15360479.0,19654212.957628764
2021-09-23,19473582.0,20173476.3805622
2021-09-24,17439526.0,19451251.58215199
2021-09-25,17676472.0,18281592.140840545
2021-09-26,20554784.0,17238995.13415719
2021-09-27,23711740.0,19117115.26938916
2021-09-28,21756816.0,21413111.506740313
2021-09-29,19664698.0,22128618.429279808
2021-09-30,15994822.0,21427150.303156216
2021-10-01,18992626.0,19270264.650966026
2021-10-02,8528112.0,12201226.394108754
2021-10-03,14822646.0,14177824.7779924
2021-10-04,14368995.0,11835310.936913189
2021-10-05,18428724.0,14915650.333448293
