Parcela,Fecha,dias,ndvi,gndvi,cire,ndre1,ndre,ndmi,msi,temp,dia_x,reconstruida_temp,ajustados_temp,srf,dia_y,reconstruida_srf,ajustados_srf,precip,precip_acum,et,dia,reconstruida_et,ajustados_et,et_acum,et_acum_ajustados,rh12,rh12_holtwin_predicts,kc,etc,etc_acum
1,2021-03-30,124.0,0.4872276272,0.4797599965,1.0515096971,0.2563333127,0.3212472292,-0.0155253223999999,1.087816724,298.95828,455,296.9084558975413,298.628708433737,24609950.0,455,17908425.607552666,20018997.80929124,0.0,54.23000000000001,6.0585394,455,4.879843784974824,4.956743703186023,455.8051707,443.0788514355876,31.758732,32.66737583569007,0.73031177128,4.424622640583668,268.3112437987301
1,2021-03-31,125.0,0.4890843754,0.4806993526999999,1.0576210593,0.2576935139,0.3225827561,-0.013961628,1.0844064888,301.2614,456,295.7742734118562,298.71534451900976,23874332.0,456,16856531.391100742,20114556.90178967,0.55,54.78000000000001,6.05838,456,4.472812138821984,4.984906185343171,461.8635507,448.06375762093074,38.72327,31.983596262323665,0.73244703171,4.43744244797123,272.74868624670137
1,2021-04-01,126.0,0.4909296062,0.4816327633,1.0636895593,0.2590446247,0.3239095693999999,-0.0124064148,1.0810144126,293.34088,457,295.1382049854183,298.8021132422208,11550329.0,457,16494052.037187392,20210026.12458954,0.92,55.70000000000001,4.2620068,457,4.259871164117316,5.012952439832465,466.1255575,453.0767100607632,50.784096,40.901420823516624,0.7345690471299999,3.13073827393758,275.87942452063896
1,2021-04-02,127.0,0.4927633196,0.4825602283,1.0697151971,0.2603866451,0.3252276690999999,-0.0108596827999999,1.0776404953999998,292.65506,458,295.1247955743611,298.88898857761177,7612969.5,458,16879700.63014834,20305376.56478144,0.03,55.73000000000001,2.2920275,458,4.279436622198426,5.040874051829043,468.41758500000003,458.1175841125923,46.59075,45.17785091274326,0.7366778175400001,1.6884858164416625,277.5679103370806
1,2021-04-03,128.0,0.4945855156,0.4834817476999999,1.0756979727,0.2617195751,0.3265370552,-0.009321432,1.0742847372,295.77423,459,295.7378957509028,298.9759444674467,19614376.0,459,17939076.322903432,20400579.34542935,0.04,55.77000000000001,4.7997828,459,4.522609321463673,5.068662643905008,473.21736780000003,463.18624675649727,42.669125,45.52254112180895,0.7387733429400001,3.5459515845419136,281.1138619216225
1,2021-04-04,129.0,0.4963961942,0.4843973215,1.0816378861,0.2630434147,0.3278377276999999,-0.0077916624,1.070947138,296.6481,460,296.876081917848,299.06295482982785,20007164.0,460,19490570.674220104,20495605.634316027,0.16,55.93000000000001,4.6738544,460,4.9403506597464375,5.09630987854294,477.8912222,468.2825566350402,35.41197,41.33044547245496,0.74085562333,3.462651314865663,284.57651323648815
1,2021-04-05,130.0,0.4981953554,0.4853069497,1.0875349373,0.2643581639,0.3291296865999999,-0.0062703739999999,1.0676276978,298.31332,461,298.36845664327205,299.14999356651856,25777374.0,461,21292671.51062249,20590426.65267484,0.0,55.93000000000001,5.9749603,461,5.459249577259376,5.123807460637431,483.86618250000004,473.4063640956777,28.930952,37.08609656596012,0.74292465871,4.4389453416833,289.01545857817143
1,2021-04-06,131.0,0.4999829992,0.4862106322999999,1.0933891263,0.2656638227,0.3304129318999999,-0.0047575668,1.0643264166,299.82794,462,300.017237616812,299.2370345707717,25633898.0,462,23096887.7586311,20685013.683905475,0.0,55.93000000000001,6.2255874,462,6.000076938736984,5.151147139983891,490.09176990000003,478.5575112356616,33.094482,34.55474824615877,0.74498044908,4.63794089703879,293.6533994752102
1,2021-04-07,132.0,0.5017591256,0.4871083692999999,1.0992004531,0.2669603911,0.3316874635999999,-0.0032532408,1.0610432944,302.60544,463,301.634048931438,299.32405173516,24549208.0,463,24690680.61687366,20779338.082270764,0.11,56.040000000000006,6.7080927,463,6.493296887752779,5.178320713753903,496.79986260000004,483.73583194941546,28.997555,37.30105174688168,0.74702299444,5.011099495735104,298.6644989709453
1,2021-04-08,133.0,0.5035237346,0.4880001606999999,1.1049689177000002,0.2682478691,0.3329532817,-0.0017573959999999,1.0577783312,303.29105,464,303.06167766094075,299.4110189594065,25081288.0,464,25920323.49413913,20873371.28157204,0.01,56.05,6.736477,464,6.887700106717935,5.205320028956333,503.5363396,488.9411519783718,20.76748,31.44662026595796,0.74905229479,5.045973555650055,303.71047252659537
1,2021-04-09,134.0,0.5052768262,0.4888860064999999,1.1106945201,0.2695262567,0.3342103862,-0.0002700324,1.054531527,305.15482,465,304.180123293184,299.4979101582138,25594328.0,465,26692277.57948386,20967084.80380044,0.05,56.1,7.3837295,465,7.151468062047351,5.232136984883518,510.92006910000003,494.17328896325535,33.292854,30.284878471632872,0.7510683501300001,5.54568553337121,309.2561580599666
1,2021-04-10,135.0,0.5070184004,0.4897659067,1.1163772603,0.2707955539,0.3354587770999999,0.0012088499999999,1.0513028818,306.01578,466,304.9022414577552,299.58469926908776,24701444.0,466,26960071.731580388,21060450.26776149,0.0,56.1,7.544823,466,7.268007095427927,5.25876353554174,518.4648921,499.4320524987971,21.456404,27.57256346811109,0.75307116046,5.681788612075299,314.9379466720419
1,2021-04-11,136.0,0.5087484572000001,0.4906398613,1.1220171383000002,0.2720557607,0.3366984543999999,0.0026792512,1.0480923956,303.17484,467,305.1677150584312,299.6713602601549,25849738.0,467,26708545.77164539,21153439.397670373,0.0,56.1,6.5661874,467,7.230633192263292,5.285191692065305,525.0310795,504.7172441908624,40.52925,23.015675789019568,0.75506072578,4.957870223851491,319.8958168958934
1,2021-04-12,137.0,0.5104669966000001,0.4915078703,1.1276141541,0.2733068771,0.3379294181,0.0041411712,1.0449000684,302.74536,468,304.9432704841666,299.75786713797066,25147998.0,468,25946758.04901622,21246024.03171525,0.0,56.1,6.632687,468,7.040003054251213,5.31141352511346,531.6637665000001,510.02865771597584,39.530323,27.251875686466185,0.7570370460900001,5.021189774119544,324.91700667001294
1,2021-04-13,138.0,0.5121740186000001,0.4923699337,1.1331683077,0.2745489031,0.3391516682,0.00559461,1.0417259002,303.5794,469,304.2324698257031,299.8441939553155,24951890.0,469,24715111.616687488,21338176.130586088,0.04,56.14,6.393017,469,6.70621261823228,5.337421167249484,538.0567835,515.3660788832253,41.078075,33.85289656146365,0.7590001213900002,4.852300679048335,329.76930734906125
1,2021-04-14,139.0,0.5138695232,0.4932260515,1.1386795990999998,0.2757818387,0.3403652046999999,0.0070395676,1.038569891,303.48135,470,303.09202632463945,299.9303148189783,25117868.0,470,23103669.204051506,21429867.78596639,0.01,56.15,6.378918,470,6.254584078574545,5.363206815301165,544.4357015,520.7292856985265,39.4393,40.75117397000562,0.76094995168,4.854037343870682,334.62334469293194
1,2021-04-15,140.0,0.5155535104,0.4940762237,1.1441480282999998,0.2770056839,0.3415700275999999,0.008476044,1.0354320408,303.26843,471,301.6461437937797,300.01620389752213,21899926.0,471,21270823.9487964,21521071.228985213,0.45,56.6,5.9649634,471,5.731595180524848,5.38876273270203,550.4006649,526.1180484312285,51.526424,49.31476143304769,0.76288653696,4.550590271319147,339.1739349642511
1,2021-04-16,141.0,0.5172259802000001,0.4949204503,1.1495735953,0.2782204387,0.3427661368999999,0.0099040391999999,1.0323123496,305.1749,472,300.088330165223,300.10183542903303,25630206.0,472,19447983.46315998,21611758.83862704,0.03,56.63,6.7767677,472,5.206332544030165,5.414081251812568,557.1774326000001,531.5321296830411,40.14956,49.00568684970028,0.7648098772300002,5.182938872653231,344.3568738369043
1,2021-04-17,142.0,0.5188869326000001,0.4957587313,1.1549563001,0.2794261031,0.3439535326,0.0113235532,1.0292108174,297.68198,473,298.66270398369784,300.1871837288465,16155045.0,473,17918710.97327891,21701903.150096763,0.72,57.35,4.8704314,473,4.763873184001111,5.439154776220781,562.0478640000001,536.9712844592619,53.02187,48.07301532141307,0.7667199724900001,3.734257029022433,348.09113086592674
1,2021-04-18,143.0,0.5205363676,0.4965910667,1.1602961426999998,0.2806226771,0.3451322146999999,0.0127345859999999,1.0261274442,292.5209,474,297.62345777222515,300.2722231972516,8246789.5,474,16969437.5730209,21791476.863137472,1.42,58.77,2.9127243,474,4.489885579946495,5.4639757830213735,564.9605883000002,542.4352602422833,46.658604,47.81805962916152,0.76861682274,2.2387688969835904,350.3298997629103
1,2021-04-19,144.0,0.5221742852,0.4974174565,1.1655931231,0.2818101607,0.3463021831999999,0.0141371376,1.02306223,295.84488,475,297.17966183505,300.3569283271697,18151616.0,475,16820564.477056034,21880452.8502983,0.19,58.96,4.098025,475,4.44948003586342,5.4885368250728686,569.0586133000002,547.9237970673562,42.258846,45.46926717259673,0.77050042798,3.157530016372739,353.48742977928305
1,2021-04-20,145.0,0.5238006854,0.4982379006999999,1.1708472413,0.2829885539,0.3474634380999999,0.015531208,1.0200151748,299.26715,476,297.43985492833684,300.441273711805,22901014.0,476,17557139.963568285,21968804.165150013,0.35,59.31,5.731687,476,4.666480315920226,5.512830533232004,574.7903003000001,553.4366276005882,33.1083,40.06770104751455,0.77237078821,4.426987605963011,357.91441738524605
