Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max,gndvi_mean,gndvi_min,gndvi_max,evi_mean,evi_min,evi_max,Evapotranspiration,Kc,ETc,Dia,ndmi_mean_pred_1,ndmi_mean_pred_2,ndmi_mean_pred_3,ndmi_mean_pred_4,ndmi_mean_pred_5,ndmi_mean_pred_6,ndmi_mean_pred_7,ndmi_mean_pred_8,ndmi_mean_pred_9
13,2022-05-16,11,0.5776752974567249,0.3501303214596003,0.6867695184665732,0.1282730742582828,-0.056342271768605,0.2391269199676637,0.7768161614282892,0.6140396659707724,1.11941251596424,0.5267009220127522,0.4019323671497584,0.6085599643334819,2.3804605241391914,0.9025755879059352,3.2891777055736067,6.634955,0.8343265920752335,5.53571939372253,90,0.06032122789827796,0.11572907391418182,0.11939197011339259,0.11592791085378694,0.11862943821038716,0.12604683675696537,0.08545101233388497,0.10446315225047212,0.08020758150944726
14,2022-05-21,11,0.581954418245535,0.3839526117393645,0.6687960687960688,0.1422070727561576,-0.1192030230161456,0.2454646427249167,0.755276974870226,0.6058263971462544,1.2706708268330733,0.5126453965037561,0.3921993499458288,0.5775984812529663,2.674578753431561,1.2667401922167951,3.731834384425556,6.268201,0.8392475809823652,5.260572526361242,95,0.06773591452967312,0.13205011594649074,0.13568237717168152,0.13282775124022728,0.13630308976507763,0.1472841786337582,0.11216994410723569,0.11972446138229306,0.0957825464270641
16,2022-05-31,11,0.5659549780767311,0.1953743152769324,0.7192546583850932,0.1458987859806961,-0.0704923839886645,0.2810257975881545,0.7511917772096511,0.5612488083889419,1.1516768292682926,0.4964840561359719,0.20935960591133,0.6149358226371062,inf,-308.3333333333333,inf,5.706679,0.8208482247882408,4.684317326586333,105,0.08256528779246344,0.16295598151360902,0.16639656832853517,0.16485299003455808,0.1695171762077477,0.18498982458105906,0.1641201373038097,0.15171083106554661,0.13041885539418435
18,2022-06-05,11,0.6797760808477191,0.3905579399141631,0.7775760326827054,0.1950288492841747,-0.0429931079750574,0.3153274814314652,0.6785712404329729,0.5205338809034907,1.089849108367627,0.5897885491001167,0.4121065375302663,0.6713856713856714,2.525224663720276,1.143854748603352,3.104039634146342,6.74893,0.951742492974877,6.423243463112937,110,0.08997997442385863,0.1775408050484184,0.1808259295115936,0.1799593299564643,0.18501664955401928,0.20139637344005634,0.1884416266907234,0.168072041867928,0.14905965964860904
17,2022-06-10,11,0.6929142709184488,0.437308868501529,0.8003502626970228,0.2012218933482419,-0.0143021535426598,0.3309597022171872,0.6697451972263011,0.5026750972762646,1.0290193462308206,0.6009185355900774,0.4554759467758444,0.6859368593685937,2.123849686668346,1.1933240611961058,2.623502994011976,6.6018114,0.966851411556216,6.382970670917919,115,0.0973946610552538,0.19154688908406114,0.19464051915406838,0.19445005475491736,0.19975750375365053,0.2161971662697888,0.2111560299633144,0.18442947205200752,0.16824564656090088
19,2022-06-25,11,0.7218533209263479,0.4704170708050436,0.8095238095238095,0.2215497641223481,-0.0147847278635255,0.3433744592212786,0.6417878946675539,0.4887881679389313,1.0300131926121372,0.614648593800605,0.4661508704061896,0.6983240223463687,2.7507347597866545,1.4548693586698338,3.4028979238754324,5.834705,1.0001313190653,5.8354712080069016,130,0.11963872094943928,0.23009270419599034,0.23242354426045952,0.23415622929240087,0.23934453771468273,0.25167949412165314,0.26706561439745613,0.23165909817114108,0.22615105761751364
20,2022-07-05,11,0.704393904706434,0.4980276134122288,0.7918713711478339,0.2388411928166153,0.0235849056603773,0.3540179956562209,0.6180012923836835,0.4770852428964253,0.9539170506912442,0.6011358259202786,0.4718992248062015,0.6811229834485648,2.9290007006607204,1.6978143807412098,3.44854986094557,5.821026,0.9800529904123992,5.704913938568326,140,0.1344680942122296,0.2528962167747771,0.2545894932363263,0.257429776917782,0.26185010165299594,0.2689691897167892,0.2927869632520377,0.25995885314963196,0.2619799384051613
21,2022-07-10,11,0.7186889201513861,0.523859465128474,0.802791123312743,0.2441245117075131,0.027763041556145,0.3612807393959399,0.6110899725127225,0.4692046556741028,0.9459738472126634,0.6209598782724146,0.4743784880771182,0.7043941411451398,2.2568478362173177,1.4222873900293256,3.031120331950208,6.6173306,0.996492258174094,6.594118712678532,145,0.14188278084362477,0.26342986381542066,0.2647740130224816,0.26809373153491045,0.2719467077129899,0.2760898457902581,0.3021325932952337,0.2727355430325738,0.2781759253498166
24,2022-07-20,11,0.7127172625443909,0.5205223880597015,0.7921273772666961,0.2778250853033138,0.0835964766494931,0.377165991902834,0.5682337632898258,0.4522577610536218,0.8457055214723926,0.6180332679054349,0.5054168629298162,0.6916666666666667,2.4783116308174926,1.609692773691043,3.014082117407533,6.577692,0.9896248519260497,6.509447471515161,155,0.1567121541064151,0.2827609393992081,0.28336008590246997,0.28746091585616473,0.289870764543929,0.2879707321714067,0.31432309847767215,0.2950423071063298,0.3058799338586815
26,2022-07-30,11,0.7570526828927757,0.5709745762711864,0.8277027027027027,0.3123461239505576,0.0286489235463637,0.4142947501581278,0.5273745400868494,0.4141323792486583,0.9442979564930783,0.6540840900619999,0.530568209062575,0.7352941176470589,2.327543318184948,1.4267483409903012,2.728455754771544,5.3640223,1.040610585326692,5.581858385308429,165,0.17154152736920542,0.2997770569863296,0.29958746014100657,0.30420262288587474,0.304853481439201,0.2975886386819706,0.3191271535772202,0.3126198474005926,0.32612069186703607
