Fecha,rh12,dia,reconstruida_rh12,ajustados_rh12
2021-05-11,52.334393,497,55.672538864030365,46.598940116549834
2021-05-12,76.96015,498,57.625343922792425,46.658220310365905
2021-05-13,56.536697,499,57.51467184124043,46.718483693458325
2021-05-14,49.03756,500,55.502483994145905,46.77971322708454
2021-05-15,47.395355,501,52.14431448408615,46.84189159933463
2021-05-16,47.718124,502,48.225164455963586,46.90500123002604
2021-05-17,47.363735,503,44.54431855849384,46.96902427567414
2021-05-18,48.39419,504,41.71557385209254,47.03394263453728
2021-05-19,36.170364,505,40.042213345008804,47.09973795173484
2021-05-20,35.387367,506,39.49960038318994,47.16639162443682
2021-05-21,39.778496,507,39.82154217536608,47.2338848071236
2021-05-22,43.234642,508,40.652135753968736,47.30219841691425
2021-05-23,42.37225,509,41.70443264511991,47.37131313896204
2021-05-24,43.28804,510,42.86779978296064,47.44120943191538
2021-05-25,44.727432,511,44.22685365335331,47.51186753344302
2021-05-26,51.00619,512,45.98866729800051,47.58326746582151
2021-05-27,42.813824,513,48.34946347821511,47.65538904158373
2021-05-28,42.503544,514,51.354862083480946,47.7282118692266
2021-05-29,56.685623,515,54.810751408603075,47.80171535897658
2021-05-30,68.719055,516,58.28387786648103,47.87587872861113
2021-05-31,59.22645,517,61.198660829626824,47.95068100933465
2021-06-01,59.098217,518,63.00114940259759,48.0261010517072
2021-06-02,57.897045,519,63.33519534703813,48.10211753162416
2021-06-03,77.69267,520,62.16918670542893,48.178708956345424
2021-06-04,58.62964,521,59.82671994923022,48.25585367057223
2021-06-05,49.42812,522,56.906360065843145,48.33352986256985
2021-06-06,50.532738,523,54.11320115496992,48.41171557033468
2021-06-07,52.08362,524,52.05526664764412,48.49038868780367
2021-06-08,51.412098,525,51.07033507722816,48.56952697110462
2021-06-09,50.38734,526,51.13916512134164,48.64910804484527
2021-06-10,59.038857,527,51.9126074464218,48.72910940843973
2021-06-11,50.528946,528,52.84249112014241,48.80950844247027
2021-06-12,53.19687,529,53.372258955689354,48.8902824150826
2021-06-13,58.50535,530,53.12448629428297,48.97140848841313
2021-06-14,50.7893,531,52.02472957020386,49.05286372504604
2021-06-15,46.75351,532,50.32339650939136,49.134625094498546
2021-06-16,42.43342,533,48.51157445038229,49.21666947973253
2021-06-17,47.421173,534,47.161234136269236,49.298973683690605
2021-06-18,45.897232,535,46.743483955035124,49.38151443585474
2021-06-19,53.252113,536,47.48332739877683,49.46426839882578
2021-06-20,47.438145,537,49.29493385096187,49.54721217492182
2021-06-21,50.867825,538,51.813518060597154,49.630322312793545
2021-06-22,67.99642,539,54.50850412652058,49.71357531405488
2021-06-23,54.42867,540,56.838285807393504,49.79694763992687
2021-06-24,54.83327,541,58.39709204593652,49.88041571789296
2021-06-25,51.841503,542,59.01129291039296,49.963955948363825
2021-06-26,52.854733,543,58.76222873391687,50.047544711349914
2021-06-27,53.730022,544,57.93754427801583,50.13115837313972
2021-06-28,64.495316,545,56.93426392922992,50.214773292981846
2021-06-29,54.076954,546,56.147811995573726,50.298365829769224
2021-06-30,75.63312,547,55.87953941249139,50.38191234872334
2021-07-01,57.02035,548,56.28347070245785,50.46538922807663
2021-07-02,52.04753,549,57.356699935168876,50.54877286575131
2021-07-03,53.263638,550,58.96375243206351,50.632039686032556
2021-07-04,51.0008,551,60.87811838518453,50.71516614623423
2021-07-05,57.49485,552,62.82539282569925,50.79812874335531
2021-07-06,61.621784,553,64.51969622695712,50.880904020725104
2021-07-07,89.767395,554,65.69365288638807,50.96346857463528
2021-07-08,56.626575,555,66.12743566617671,51.045799060957016
2021-07-09,75.88978,556,65.68158659488165,51.12787220174132
2021-07-10,61.10518,557,64.33208476596272,51.20966479180047
2021-07-11,60.586796,558,62.19799933516752,51.2911537052691
