Fecha,temp,dia,reconstruida_temp,ajustados_temp
2021-11-21,298.17944,691,296.1529133417593,295.38922663610333
2021-11-22,295.77832,692,296.47360306636034,295.32770533305467
2021-11-23,295.77963,693,296.5390196315806,295.26725590354437
2021-11-24,296.91016,694,296.27438550312314,295.2078959395123
2021-11-25,297.18353,695,295.70835000152516,295.14964271584296
2021-11-26,291.60486,696,294.9712285733641,295.09251318533836
2021-11-27,294.54156,697,294.26123012602716,295.03652397378426
2021-11-28,293.8169,698,293.78783960639635,294.9816913751117
2021-11-29,294.3319,699,293.7091655782587,294.9280313466554
2021-11-30,294.4433,700,294.08257965376015,294.8755595045097
2021-12-01,295.79727,701,294.84438268848515,294.8242911189839
2021-12-02,296.44342,702,295.8255175943024,294.7742411101586
2021-12-03,296.404,703,296.7991905553921,294.72542404354317
2021-12-04,296.91898,704,297.5461926893871,294.67785412583765
2021-12-05,296.90067,705,297.91797622028076,294.6315452007975
2021-12-06,297.47623,706,297.87802765149655,294.58651074520554
2021-12-07,296.51855,707,297.5087105007209,294.5427638649493
2021-12-08,297.06384,708,296.98146878150897,294.50031729120747
2021-12-09,299.14337,709,296.49971973364876,294.45918337674465
2021-12-10,298.11505,710,296.2323129893521,294.41937409231645
2021-12-11,296.39,711,296.25840240454124,294.3809010231858
2021-12-12,293.25378,712,296.54104444756393,294.3437753657515
2021-12-13,296.10016,713,296.9379298997876,294.3080079242897
2021-12-14,297.29178,714,297.2461713773018,294.2736091078098
2021-12-15,297.51416,715,297.2675752937135,294.24058892702516
2021-12-16,297.1417,716,296.87453372143233,294.2089569914397
2021-12-17,297.55634,717,296.0564436308885,294.1787225065516
2021-12-18,297.49673,718,294.9323744941639,294.14989427117393
2021-12-19,290.93802,719,293.72570837214204,294.12248067487457
2021-12-20,290.6564,720,292.7076102566467,294.0964896955341
2021-12-21,291.71683,721,292.1251496610927,294.0719288970245
2021-12-22,293.312,722,292.1341404334588,294.0488054270078
2021-12-23,294.0697,723,292.7552219269412,294.02712601485587
2021-12-24,294.79715,724,293.8650141294869,294.00689696969226
2021-12-25,295.92725,725,295.2244214938061,293.9881241785558
2021-12-26,295.3934,726,296.5361698964459,293.97081310468775
2021-12-27,295.20312,727,297.5161782064008,293.95496878594156
2021-12-28,296.6763,728,297.9602770653447,293.94059583331693
2021-12-29,298.34216,729,297.78967083304894,293.927698429618
2021-12-30,298.06058,730,297.0646109782916,293.91628032823576
2021-12-31,297.1126,731,295.9641880627515,293.906344852056
2022-01-01,299.8379,732,294.7386599630913,293.8978948924924
2022-01-02,292.81503,733,293.64717844076097,293.8909329086447
2022-01-03,287.66034,734,292.8966943368611,293.8854609265832
2022-01-04,289.81967,735,292.5967244279566,293.88148053875955
2022-01-05,292.70642,736,292.7400601460969,293.8789929035425
2022-01-06,295.2901,737,293.21269277986903,293.8779987448816
2022-01-07,294.5645,738,293.82895739227195,293.87849835209596
2022-01-08,297.38022,739,294.3819103019797,293.8804915797903
2022-01-09,297.8444,740,294.69563401214026,293.88397784789737
2022-01-10,291.36783,741,294.666232135316,293.88895614184634
2022-01-11,290.65198,742,294.28165390957224,293.8954250128586
2022-01-12,292.83148,743,293.6163051996581,293.9033825783689
2022-01-13,293.40714,744,292.80318850721966,293.91282652257365
2022-01-14,293.86267,745,291.99231908463923,293.9237540971044
2022-01-15,292.3794,746,291.30777802045776,293.93616212182803
2022-01-16,288.34378,747,290.81593966967387,293.9500469857721
2022-01-17,289.6964,748,290.5139905138187,293.9654046481757
2022-01-18,292.92587,749,290.34168630230084,293.9822306396655
2022-01-19,294.5201,750,290.21207478056846,294.0005200635561
2022-01-20,290.6056,751,290.0507741226147,294.0202675972756
2022-01-21,283.57315,752,289.83030061816464,294.041467493914
2022-01-22,285.87433,753,289.5870459335234,294.064113583896
2022-01-23,288.50842,754,289.4137394719631,294.0881992767765
2022-01-24,292.7469,755,289.4281890247958,294.1137175631582
2022-01-25,293.85733,756,289.7273662430967,294.14066101673194
2022-01-26,292.48468,757,290.3417797757873,294.1690217964375
2022-01-27,292.6063,758,291.2064072877334,294.19879164874567
2022-01-28,289.28708,759,292.16041472935046,294.2299619100603
2022-01-29,287.70346,760,292.9793748237117,294.2625235092392
2022-01-30,291.32547,761,293.43317465569277,294.2964669702345
2022-01-31,294.12103,762,293.3536175210917,294.33178241485
2022-02-01,294.87833,763,292.6910434658176,294.3684595656161
2022-02-02,297.27945,764,291.5410272826625,294.40648774878053
2022-02-03,292.11426,765,290.13027791129264,294.44585589741496
2022-02-04,283.93152,766,288.76305968421906,294.48655255463524
2022-02-05,284.7081,767,287.7420567362697,294.5285658769361
2022-02-06,287.97787,768,287.28649892442525,294.57188363763737
2022-02-07,288.12936,769,287.4724228527073,294.61649323044236
2022-02-08,287.53455,770,288.2140969258798,294.66238167310667
2022-02-09,289.52197,771,289.29339086988966,294.709535611216
2022-02-10,291.63043,772,290.42890869738034,294.7579413220727
2022-02-11,293.04413,773,291.3637973736962,294.8075847186895
2022-02-12,294.57748,774,291.94459910538524,294.8584513538886
2022-02-13,288.68488,775,292.16572480405745,294.91052642450654
2022-02-14,287.88828,776,292.16468679578537,294.9637947757022
2022-02-15,291.43967,777,292.1689637353282,295.01824090536667
2022-02-16,294.67877,778,292.41128095226446,295.0738489686353
2022-02-17,298.7448,779,293.0409496387416,295.1306027824982
2022-02-18,294.2153,780,294.060993460746,295.1884858305106
2022-02-19,291.097,781,295.31315883710374,295.2474812675986
2022-02-20,295.3048,782,296.51778802370313,295.30757192496196
2022-02-21,296.75742,783,297.35768719793623,295.36874031507045
2022-02-22,298.32156,784,297.5803147011278,295.43096863675294
2022-02-23,298.95685,785,297.08575387843615,295.49423878037794
2022-02-24,296.7573,786,295.9714332438,295.5585323331239
2022-02-25,293.7197,787,294.517497331432,295.62383058433755
2022-02-26,293.2557,788,293.11511753958257,295.6901145309793
