Fecha,Temperature,Dia,Reconstruida,Ajustados
2022-09-04,300.02267,978,299.8961929624325,301.92552921328263
2022-09-05,299.518,979,299.5864409467116,301.8530305703228
2022-09-06,299.7514,980,299.70991197641183,301.7797048064868
2022-09-07,300.29614,981,300.2408018505614,301.7055732609741
2022-09-08,301.67838,982,301.0326565621834,301.63065750748194
2022-09-09,302.5163,983,301.8539108622336,301.55497934792714
2022-09-10,302.1538,984,302.453450506767,301.4785608061012
2022-09-11,301.85098,985,302.63619845789896,301.4014241212611
2022-09-12,301.9422,986,302.3244302814372,301.32359174165697
2022-09-13,301.47882,987,301.5843139873929,301.2450863179997
2022-09-14,301.03473,988,300.60799721916237,301.16593069686877
2022-09-15,298.856,989,299.655939440006,301.08614791406336
2022-09-16,299.28015,990,298.9773267553215,301.005761187899
2022-09-17,299.5323,991,298.73385748837586,300.92479391245
2022-09-18,299.8257,992,298.9513507210996,300.84326965074195
2022-09-19,299.816,993,299.51468189960815,300.76121212789366
2022-09-20,299.5948,994,300.20740831191176,300.67864522421354
2022-09-21,300.12946,995,300.78281098582715,300.59559296824926
2022-09-22,299.65604,996,301.0428444645055,300.51207952979547
2022-09-23,300.615,997,300.8990868879466,300.4281292128597
2022-09-24,301.25146,998,300.3960234974734,300.3437664485894
2022-09-25,300.80737,999,299.6897700430373,300.2590157881622
2022-09-26,298.85117,1000,298.990339379812,300.17390189564077
2022-09-27,298.66022,1001,298.4877197965919,300.08844954079547
2022-09-28,298.99307,1002,298.28727573157687,300.0026835918955
2022-09-29,298.15637,1003,298.37655363844436,299.91662900847194
2022-09-30,297.78342,1004,298.6346615618599,299.83031083405416
2022-10-01,298.5006,1005,298.88069908983994,299.74375418888144
2022-10-02,298.25925,1006,298.94422215356303,299.65698426259263
2022-10-03,298.522,1007,298.7330018880687,299.5700263068955
2022-10-04,298.8255,1008,298.2740016080419,299.48290562821785
2022-10-05,298.53366,1009,297.7123554854754,299.39564758034317
2022-10-06,297.33328,1010,297.2672461977165,299.30827755703194
2022-10-07,297.71753,1011,297.1582501435406,299.2208209846315
2022-10-08,297.91003,1012,297.5260622660892,299.1333033146768
2022-10-09,298.6874,1013,298.3740715947896,299.0457500164833
2022-10-10,298.08276,1014,299.5511385307177,298.9581865697349
2022-10-11,299.63745,1015,300.78307177766067,298.87063845706905
2022-10-12,301.5752,1016,301.7448493306911,298.78313115666055
2022-10-13,302.46393,1017,302.15253374561394,298.6956901348071
2022-10-14,301.43607,1018,301.8472743356213,298.6083408385181
2022-10-15,301.39648,1019,300.8458311890639,298.521108688109
2022-10-16,301.39633,1020,299.34201813710933,298.43401906980364
2022-10-17,301.2362,1021,297.65818183600356,298.3470973283463
2022-10-18,293.31607,1022,296.1607124358168,298.26036875962575
2022-10-19,291.60114,1023,295.1640557734878,298.17385860331393
2022-10-20,294.05386,1024,294.8506662451566,298.0875920355206
2022-10-21,295.5082,1025,295.229085751493,298.0015941614664
2022-10-22,297.1234,1026,296.1406720345939,297.91589000817726
2022-10-23,298.6172,1027,297.31113231592286,297.83050451720055
2022-10-24,300.46454,1028,298.4303319673552,297.74546253734684
2022-10-25,298.3973,1029,299.23654613750875,297.66078881745847
2022-10-26,297.94366,1030,299.5813265288401,297.57650799920697
2022-10-27,299.6699,1031,299.4581043905272,297.49264460992214
2022-10-28,300.48853,1032,298.9891199057405,297.40922305545377
2022-10-29,296.66507,1033,298.3776086891324,297.3262676130694
2022-10-30,296.61502,1034,297.84168201768347,297.24380242438906
2022-10-31,297.77673,1035,297.5503669500266,297.1618514883595
2022-11-01,298.45358,1036,297.5799845426614,297.08043865427015
2022-11-02,298.16135,1037,297.90154724642395,296.9995876148125
2022-11-03,299.19186,1038,298.39975755516474,296.91932189918504
2022-11-04,299.9298,1039,298.91471684994974,296.83966486624587
2022-11-05,298.63812,1040,299.2914384322899,296.7606396977147
2022-11-06,298.5587,1041,299.42130057211176,296.68226939142664
2022-11-07,298.21695,1042,299.2636218543305,296.6045767546395
2022-11-08,299.12546,1043,298.8429964974536,296.5275843973961
2022-11-09,297.9866,1044,298.2263242523466,296.4513147259447
2022-11-10,297.9677,1045,297.4899098365486,296.37578993621804
2022-11-11,298.67444,1046,296.6896055187556,296.3010320073742
2022-11-12,294.29605,1047,295.845046949797,296.22706269539987
2022-11-13,292.60123,1048,294.9433806438799,296.1539035267793
2022-11-14,296.77997,1049,293.96048035501803,296.08157579222944
2022-11-15,294.43024,1050,292.8910127638793,296.01010054050414
2022-11-16,290.9999,1051,291.7750842070388,295.9394985722683
2022-11-17,287.6109,1052,290.7098399095292,295.86979043404483
2022-11-18,291.52634,1053,289.83916682873325,295.80099641223484
2022-11-19,290.6604,1054,289.32208050312914,295.73313652721407
2022-11-20,287.85568,1055,289.2880569718371,295.66623052750674
2022-11-21,288.19,1056,289.79294355791626,295.6002978840381
2022-11-22,290.18826,1057,290.79024210588454,295.5353577844682
2022-11-23,294.73022,1058,292.12888787270833,295.4714291276077
2022-11-24,296.49643,1059,293.5810660174003,295.40853051791817
2022-11-25,294.79208,1060,294.89434414617045,295.3466802600978
2022-11-26,292.3112,1061,295.8543397785347,295.28589635375425
2022-11-27,295.31854,1062,296.33993897699736,295.22619648816664
2022-11-28,296.19824,1063,296.3542968576257,295.1675980371374
2022-11-29,298.28732,1064,296.0213941403356,295.1101180539362
2022-11-30,295.9165,1065,295.5480018889707,295.05377326633743
2022-12-01,292.5381,1066,295.16150341685466,294.9985800717515
2022-12-02,295.71692,1067,295.04180394209715,294.9445545324536
2022-12-03,296.80762,1068,295.26792681568656,294.8917123709086
2022-12-04,296.7979,1069,295.79586164086015,294.840068965196
2022-12-05,296.4567,1070,296.47481595717477,294.78963934453435
2022-12-06,296.61853,1071,297.09702947508487,294.7404381849076
2022-12-07,296.34702,1072,297.46549712245803,294.69247980479395
2022-12-08,296.6804,1073,297.45785440136166,294.6457781609991
2022-12-09,296.78223,1074,297.0654611321467,294.60034684459447
2022-12-10,295.92548,1075,296.3943782842382,294.5561990769617
2022-12-11,295.73416,1076,295.6272140210842,294.51334770594553
2022-12-12,296.14972,1077,294.9578516619818,294.47180520211424
2022-12-13,297.07892,1078,294.52058603240033,294.4315836551308
2022-12-14,294.9407,1079,294.3378942642866,294.39269477023447
2022-12-15,293.32663,1080,294.30578162236134,294.35514986483446
2022-12-16,293.79175,1081,294.2238019844344,294.3189598652161
2022-12-17,290.927,1082,293.8621215529053,294.28413530336127
2022-12-18,290.09042,1083,293.04514840282025,294.2506863138834
2022-12-19,292.76434,1084,291.7246309882515,294.21862263107806
2022-12-20,292.9772,1085,290.017181658757,294.1879535860901
2022-12-21,289.7391,1086,288.1915708492636,294.1586881041979
2022-12-22,292.2122,1087,286.6067560785645,294.1308347022165
2022-12-23,282.2842,1088,285.61751341238227,294.1044014860183
2022-12-24,280.18634,1089,285.47552958708104,294.07939614817474
2022-12-25,284.0812,1090,286.25615647617565,294.0558259657173
2022-12-26,291.0243,1091,287.83373735909345,294.0336977980197
2022-12-27,290.32953,1092,289.9136436796233,294.013018084802
2022-12-28,292.71082,1093,292.1115738708875,293.99379284425606
2022-12-29,295.10315,1094,294.05593543998344,293.9760276712946
2022-12-30,295.3866,1095,295.4820762047643,293.95972773592257
2022-12-31,295.14496,1096,296.2900975102015,293.94489778173283
2023-01-01,295.93295,1097,296.5500308036992,293.93154212452566
2023-01-02,296.85117,1098,296.4553355435534,293.91966465105276
2023-01-03,298.1543,1099,296.24230709438757,293.9092688178859
2023-01-04,295.57117,1100,296.10356244631004,293.9003576504114
2023-01-05,294.74466,1101,296.12481471259036,293.89293374194943
2023-01-06,295.58267,1102,296.2653769908488,293.8869992529992
2023-01-07,296.60275,1103,296.3872895593461,293.8825559106105
2023-01-08,296.06848,1104,296.32097373515586,293.879605007881
2023-01-09,295.86667,1105,295.9426985705498,293.87814740357976
2023-01-10,296.38275,1106,295.2352187514292,293.87818352189754
2023-01-11,296.02002,1107,294.3090338977613,293.87971335232317
2023-01-12,295.36414,1108,293.3757093427605,293.88273644964676
2023-01-13,290.50116,1109,292.6817323612823,293.88725193408925
2023-01-14,288.84778,1110,292.42553506309815,293.8932584915582
2023-01-15,291.8345,1111,292.6866515488566,293.90075437403067
2023-01-16,294.9126,1112,293.39224081517096,293.9097374000614
2023-01-17,295.0443,1113,294.3336319736147,293.9202049554181
2023-01-18,297.21426,1114,295.2284424523453,293.932153993842
2023-01-19,295.2769,1115,295.8080854947291,293.94558103793446
2023-01-20,295.5499,1116,295.9015775626531,293.96048218016887
2023-01-21,296.24664,1117,295.48759594009533,293.9768530840279
2023-01-22,293.87595,1118,294.6974078124547,293.9946889852655
2023-01-23,291.59604,1119,293.76794617900237,294.0139846932933
2023-01-24,296.76282,1120,292.9612180656219,294.03473459269145
2023-01-25,292.21265,1121,292.47757179263107,294.0569326448423
