Fecha,Temperature
2021-04-27,303.44586
2021-04-28,304.5444
2021-04-29,304.3317
2021-04-30,302.30316
2021-05-01,299.69907
2021-05-02,304.1274
2021-05-03,297.15366
2021-05-04,306.54736
2021-05-05,303.40848
2021-05-06,302.91275
2021-05-07,301.57034
2021-05-08,302.24506
2021-05-09,303.53674
2021-05-10,303.64645
2021-05-11,302.47464
2021-05-12,298.4179
2021-05-13,298.7395
2021-05-14,299.90866
2021-05-15,301.2402
2021-05-16,302.2479
2021-05-17,303.9124
2021-05-18,304.17343
2021-05-19,303.50708
2021-05-20,302.18393
2021-05-21,303.243
2021-05-22,301.8997
2021-05-23,302.0809
2021-05-24,302.7652
2021-05-25,303.01706
2021-05-26,303.29828
2021-05-27,304.1152
2021-05-28,304.0941
2021-05-29,301.994
2021-05-30,300.58093
2021-05-31,301.93118
2021-06-01,300.77042
2021-06-02,299.5491
2021-06-03,298.18597
2021-06-04,300.06146
2021-06-05,302.6941
2021-06-06,304.02563
2021-06-07,304.30725
2021-06-08,304.43658
2021-06-09,303.75003
2021-06-10,301.67047
2021-06-11,301.90164
2021-06-12,301.1142
2021-06-13,299.519
2021-06-14,301.9095
2021-06-15,302.8974
2021-06-16,302.02927
2021-06-17,300.53494
2021-06-18,301.311
2021-06-19,301.74396
2021-06-20,304.40686
2021-06-21,305.58652
2021-06-22,301.04495
2021-06-23,302.17505
2021-06-24,302.23468
2021-06-25,301.88058
2021-06-26,301.8595
2021-06-27,300.6083
2021-06-28,299.4969
2021-06-29,299.85922
2021-06-30,298.8502
2021-07-01,300.4637
2021-07-02,301.52176
2021-07-03,301.61258
2021-07-04,302.50967
2021-07-05,301.9542
2021-07-06,300.2076
2021-07-07,298.411
2021-07-08,300.6208
2021-07-09,298.65173
2021-07-10,300.246
2021-07-11,301.08295
2021-07-12,301.15268
2021-07-13,299.50742
2021-07-14,300.69757
2021-07-15,300.93973
2021-07-16,301.16025
2021-07-17,301.9266
2021-07-18,301.96695
2021-07-19,302.2994
2021-07-20,302.72266
2021-07-21,301.8947
2021-07-22,300.9457
2021-07-23,301.84323
2021-07-24,302.84216
2021-07-25,302.60956
2021-07-26,302.93195
2021-07-27,303.0525
2021-07-28,301.7714
2021-07-29,301.25626
2021-07-30,301.56854
2021-07-31,302.12244
2021-08-01,303.07132
2021-08-02,302.9497
2021-08-03,302.0007
2021-08-04,301.84973
2021-08-05,302.7977
2021-08-06,302.22293
2021-08-07,302.6356
2021-08-08,302.13147
2021-08-09,302.01993
2021-08-10,302.09097
2021-08-11,302.34216
2021-08-12,301.81787
2021-08-13,302.24203
2021-08-14,303.25
2021-08-15,302.9578
2021-08-16,303.16956
2021-08-17,303.33047
2021-08-18,303.21988
2021-08-19,303.472
2021-08-20,301.38367
2021-08-21,298.87106
2021-08-22,299.11362
2021-08-23,301.39297
2021-08-24,301.4842
2021-08-25,301.1612
2021-08-26,301.0304
2021-08-27,300.9798
2021-08-28,301.33282
2021-08-29,300.6471
2021-08-30,301.41476
2021-08-31,302.01047
2021-09-01,301.9296
2021-09-02,300.98096
